RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
3,1975,John Denver's Greatest Hits,John Denver,,1973,Pop/Rock
4,1975,Back Home Again,John Denver,,1974,Folk
5,1975,Phoebe Snow,Phoebe Snow,,1974,Pop/Rock
7,1975,An Evening With John Denver,John Denver,,1974,Pop/Rock
8,1975,Average White Band,Average White Band,,1974,R&B
9,1975,On The Border,Eagles,,1974,Pop/Rock
11,1975,Perfect Angel,Minnie Riperton,,1974,R&B
12,1975,Between The Lines,Janis Ian,,1975,Pop/Rock
13,1975,Have You Never Been Mellow,Olivia Newton-John,,1975,Pop/Rock
15,1975,A Song For You,The Temptations,,1975,R&B
16,1975,War Child,Jethro Tull,,1974,Pop/Rock
18,1975,I Feel A Song,Gladys Knight And The Pips,,1974,R&B
19,1975,Young Americans,David Bowie,,1975,Pop/Rock
20,1975,Melissa,Melissa Manchester,,1975,Pop/Rock
21,1975,Hearts,America,,1975,Pop/Rock
22,1975,Not Fragile,Bachman-Turner Overdrive,,1974,Pop/Rock
23,1975,Welcome To My Nightmare,Alice Cooper,,1975,Pop/Rock
24,1975,Mister Magic,"Grover Washington, Jr.",,1974,Jazz
25,1975,One Of These Nights,Eagles,,1975,Pop/Rock
26,1975,Fire,Ohio Players,,1974,R&B
27,1975,Judith,Judy Collins,,1975,Folk
29,1975,Flying Start,The Blackbyrds,,1974,R&B
30,1975,Eldorado,Electric Light Orchestra,,1974,Pop/Rock
31,1975,Toys In The Attic,Aerosmith,,1975,Pop/Rock
32,1975,Chicago VIII,Chicago,,1975,Pop/Rock
35,1975,Explores Your Mind,Al Green,,1974,R&B
36,1975,Sheer Heart Attack,Queen,,1974,Pop/Rock
38,1975,Free And Easy,Helen Reddy,,1974,Vocal
39,1975,Serenade,Neil Diamond,,1974,Pop/Rock
40,1975,Blood On The Tracks,Bob Dylan,,1975,Pop/Rock
41,1975,Before The Next Teardrop Falls,Freddy Fender,,1974,Pop/Rock
42,1975,Sun Goddess,Ramsey Lewis,,1974,Jazz
43,1975,Spirit Of America,The Beach Boys,,1975,Pop/Rock
44,1975,The Heat Is On,The Isley Brothers,,1975,R&B
45,1975,Diamonds And Rust,Joan Baez,,1975,Folk
46,1975,Straight Shooter,Bad Company,,1975,Pop/Rock
47,1975,Mother Lode,Loggins & Messina,,1974,Pop/Rock
48,1975,Verities & Balderdash,Harry Chapin,,1974,Pop/Rock
49,1975,Endless Summer,The Beach Boys,,1974,Pop/Rock
51,1975,Caught In The Act,Commodores,,1975,R&B
53,1975,Gorilla,James Taylor,,1975,Pop/Rock
54,1975,Heart Like A Wheel,Linda Ronstadt,,1974,Pop/Rock
55,1975,Holiday,America,,1974,Pop/Rock
56,1975,It'll Shine When It Shines,Ozark Mountain Daredevils,,1974,Pop/Rock
57,1975,Late For The Sky,Jackson Browne,,1974,Pop/Rock
59,1975,Barry Manilow II,Barry Manilow,,1974,Pop/Rock
60,1975,Stampede,The Doobie Brothers,,1975,Pop/Rock
61,1975,Goodnight Vienna,Ringo Starr,,1974,Pop/Rock
62,1975,Love Will Keep Us Together,Captain & Tennille,,1975,Pop/Rock
63,1975,Red Octopus,Jefferson Starship,,1975,Pop/Rock
65,1975,White Gold,Love Unlimited Orchestra,,1974,R&B
67,1975,Night Birds,Labelle,,1974,R&B
68,1975,Miles Of Aisles,Joni Mitchell,,1974,Pop/Rock
69,1975,Chicago VII,Chicago,,1974,Pop/Rock
70,1975,The Dark Side Of The Moon,Pink Floyd,,1973,Pop/Rock
71,1975,Caribou,Elton John,,1974,Pop/Rock
72,1975,Survival,The O'Jays,,1975,R&B
73,1975,Wrap Around Joy,Carole King,,1974,Pop/Rock
74,1975,The Manhattan Transfer,The Manhattan Transfer,,1975,Vocal
76,1975,Blow By Blow,Jeff Beck,,1975,Pop/Rock
77,1975,A Quiet Storm,Smokey Robinson,,1975,R&B
78,1975,It's Only Rock 'N Roll,The Rolling Stones,,1974,Pop/Rock
79,1975,Souvenirs,Dan Fogelberg,,1974,Pop/Rock
80,1975,The Original Soundtrack,10cc,,1975,Pop/Rock
81,1975,Ambrosia,Ambrosia,,1975,Pop/Rock
83,1975,Walls And Bridges,John Lennon,,1974,Pop/Rock
84,1975,Autobahn,Kraftwerk,,1974,Electronic
86,1975,Why Can't We Be Friends?,War,,1975,R&B
87,1975,Blue Jays,Justin Hayward & John Lodge,,1975,Pop/Rock
90,1975,Frampton,Peter Frampton,,1976,Pop/Rock
91,1975,ButterFly,Barbra Streisand,,1974,Vocal
93,1975,Can't Get Enough,Barry White,,1974,R&B
96,1975,Feelings,Paul Anka,,2002,Easy Listening
97,1975,Closeup,Frankie Valli,,1975,Pop/Rock
98,1975,Four Wheel Drive,Bachman-Turner Overdrive,,1975,Pop/Rock
100,1975,This Is The Moody Blues,The Moody Blues,,1974,Pop/Rock
