RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,1998,Titanic,Soundtrack,,1997,Stage & Screen
2,1998,Let's Talk About Love,Celine Dion,,1997,Pop/Rock
3,1998,Sevens,Garth Brooks,,1997,Country
4,1998,Backstreet Boys,Backstreet Boys,,1996,Pop/Rock
5,1998,Come On Over,Shania Twain,,1997,Country
6,1998,Yourself Or Someone Like You,matchbox 20,,1996,Pop/Rock
7,1998,City Of Angels,Soundtrack,,1998,Stage & Screen
8,1998,Big Willie Style,Will Smith,,1997,Rap
9,1998,Savage Garden,Savage Garden,,1997,Pop/Rock
10,1998,Spiceworld,Spice Girls,,1997,Pop/Rock
11,1998,My Way,Usher,,1997,R&B
12,1998,ReLoad,Metallica,,1997,Pop/Rock
13,1998,Hello Nasty,Beastie Boys,,1998,Rap
16,1998,Higher Ground,Barbra Streisand,,1997,Vocal
17,1998,Tubthumper,Chumbawamba,,1997,Pop/Rock
18,1998,Ray Of Light,Madonna,,1998,Pop/Rock
20,1998,Harlem World,Mase,,1997,Rap
21,1998,Butterfly,Mariah Carey,,1997,R&B
22,1998,'N Sync,'N Sync,,1998,Pop/Rock
24,1998,The Miseducation Of Lauryn Hill,Lauryn Hill,,1998,R&B
25,1998,Spice,Spice Girls,,1996,Pop/Rock
26,1998,MY OWN PRISON,Creed,,1997,Pop/Rock
27,1998,The Velvet Rope,Janet,,1997,R&B
28,1998,Surfacing,Sarah McLachlan,,1997,Pop/Rock
29,1998,Never S-A-Y Never,Brandy,,1998,R&B
30,1998,Before These Crowded Streets,Dave Matthews Band,,1998,Pop/Rock
32,1998,The Dance,Fleetwood Mac,,1997,Pop/Rock
33,1998,Stunt,Barenaked Ladies,,1998,Pop/Rock
34,1998,It's Dark And Hell Is Hot,DMX,,1998,Rap
35,1998,Third Eye Blind,Third Eye Blind,,1997,Pop/Rock
36,1998,Aquarium,Aqua,,1997,Pop/Rock
37,1998,Hope Floats,Soundtrack,,1998,Stage & Screen
38,1998,R U Still Down? [Remember Me],2Pac,,1997,Rap
39,1998,Left Of The Middle,Natalie Imbruglia,,1998,Pop/Rock
41,1998,Middle Of Nowhere,Hanson,,1997,Pop/Rock
42,1998,"Da Game Is To Be Sold, Not To Be Told",Snoop Dogg,,1998,Rap
43,1998,ANYTIME,Brian McKnight,,1997,R&B
44,1998,The Limited Series,Garth Brooks,,1998,Country
45,1998,Levert.Sweat.Gill,LSG,,1997,R&B
46,1998,Vol. 2... Hard Knock Life,JAY-Z,,1998,Rap
47,1998,Ghetto D,Master P,,1997,Rap
48,1998,LIVE,Erykah Badu,,1997,R&B
50,1998,Fush Yu Mang,Smash Mouth,,1997,Pop/Rock
51,1998,Everywhere,Tim McGraw,,1997,Country
52,1998,The Wedding Singer,Soundtrack,,1998,Stage & Screen
53,1998,Yield,Pearl Jam,,1998,Pop/Rock
55,1998,Kenny G Greatest Hits,Kenny G,,1997,Jazz
56,1998,Wide Open Spaces,Dixie Chicks,,1998,Country
57,1998,ZOOT SUIT RIOT,Cherry Poppin' Daddies,,1997,Pop/Rock
