RANK,ALBUM,ARTIST,DATE,GENRE
1,21,Adele,2011,Pop/Rock
2,Speak Now,Taylor Swift,2010,Country
3,Born This Way,Lady Gaga,2011,Pop/Rock
4,My Kinda Party,Jason Aldean,2010,Country
5,The Gift,Susan Boyle,2010,Vocal
6,Tha Carter IV,Lil Wayne,2011,Rap
7,Pink Friday,Nicki Minaj,2010,Rap
8,Sigh No More,Mumford & Sons,2009,Pop/Rock
9,Loud,Rihanna,2010,Pop/Rock
10,Teenage Dream,Katy Perry,2010,Pop/Rock
11,My Beautiful Dark Twisted Fantasy,Kanye West,2010,Rap
12,Doo-Wops & Hooligans,Bruno Mars,2010,Pop/Rock
13,Recovery,Eminem,2010,Rap
14,Watch The Throne,Jay Z Kanye West,2011,Rap
15,O Holy Night (EP),Jackie Evancho,2010,Vocal
16,Born Free,Kid Rock,2010,Pop/Rock
17,Nothing Like This,Rascal Flatts,2010,Country
18,My World 2.0,Justin Bieber,2010,Pop/Rock
19,Need You Now,Lady Antebellum,2010,Country
20,"Glee: The Music, The Christmas Album",Soundtrack,2010,Holiday
21,4,Beyonce,2011,R&B
22,Greatest Hits... So Far!!!,P!nk,2010,Pop/Rock
23,You Get What You Give,Zac Brown Band,2010,Country
24,Illuminations,Josh Groban,2010,Easy Listening
25,Own The Night,Lady Antebellum,2011,Country
26,F.A.M.E.,Chris Brown,2011,R&B
27,The Beginning,The Black Eyed Peas,2010,Rap
28,Never Say Never: The Remixes (EP),Justin Bieber,2011,Pop/Rock
29,My Worlds Acoustic,Justin Bieber,2010,Pop/Rock
30,The Band Perry,The Band Perry,2010,Country
31,Femme Fatale,Britney Spears,2011,Pop/Rock
32,NOW 37,Various Artists,2011,Pop/Rock
33,The Incredible Machine,Sugarland,2010,Country
34,NOW 38,Various Artists,2011,Pop/Rock
35,Mylo Xyloto,Coldplay,2011,Pop/Rock
36,Get Closer,Keith Urban,2010,Pop/Rock
37,19,Adele,2008,Pop/Rock
38,Rolling Papers,Wiz Khalifa,2011,Rap
39,Wasting Light,Foo Fighters,2011,Pop/Rock
41,Hell: The Sequel (EP),Bad Meets Evil,2011,Rap
42,Hemingway's Whiskey,Kenny Chesney,2010,Country
43,Love Letter,R. Kelly,2010,R&B
44,Lungs,Florence + The Machine,2009,Pop/Rock
45,Dream With Me,Jackie Evancho,2011,Vocal
46,This Is Country Music,Brad Paisley,2011,Country
47,I Am Not A Human Being,Lil Wayne,2010,Rap
49,Duets II,Tony Bennett,2011,Vocal
50,Brothers,The Black Keys,2010,Pop/Rock
51,No Mercy,T.I.,2010,Rap
52,NOW 36,Various Artists,2010,Pop/Rock
53,Burlesque,Soundtrack,2010,Stage & Screen
54,Michael,Michael Jackson,2010,R&B
55,Torches,Foster The People,2011,Pop/Rock
56,The Fame,Lady Gaga,2008,Pop/Rock
57,Clear As Day,Scotty McCreery,2011,Country
58,Revolution,Miranda Lambert,2009,Country
59,Lasers,Lupe Fiasco,2011,Rap
60,Number One Hits,Tim McGraw,2010,Country
61,Tailgates & Tanlines,Luke Bryan,2011,Country
62,Hands All Over,Maroon 5,2010,Pop/Rock
63,BTR (Soundtrack),Big Time Rush,2010,Pop/Rock
64,NOW 39,Various Artists,2011,Pop/Rock
65,Tron: Legacy (Soundtrack),Daft Punk,2010,Stage & Screen
66,Chief,Eric Church,2011,Country
67,A Year Without Rain,Selena Gomez & The Scene,2010,Pop/Rock
68,The Foundation,Zac Brown Band,2008,Country
69,Cannibal,Ke$ha,2010,Pop/Rock
70,Hello Fear,Kirk Franklin,2011,Religious
71,I'm With You,Red Hot Chili Peppers,2011,Pop/Rock
72,Red River Blue,Blake Shelton,2011,Country
73,Loaded: The Best Of Blake Shelton,Blake Shelton,---, 
74,I Remember Me,Jennifer Hudson,2011,R&B
75,Cole World: The Sideline Story,J. Cole,2011,Rap
76,When The Sun Goes Down,Selena Gomez & The Scene,2011,Pop/Rock
77,Late Nights & Early Mornings,Marsha Ambrosius,2011,R&B
78,The Lady Killer,CeeLo Green,2010,R&B
79,"Save Me, San Francisco",Train,2009,Pop/Rock
80,The Light Of The Sun,Jill Scott,2011,R&B
81,Best Night Of My Life,Jamie Foxx,2010,R&B
82,Christmas,Michael Buble,2011,Vocal
83,My Christmas,Andrea Bocelli,2009,Holiday
84,Merry Christmas II You,Mariah Carey,2010,Holiday
85,Kidz Bop 19,Kidz Bop Kids,2011,Children's
86,Songs For Japan,Various Artists,2011,Pop/Rock
87,Lemonade Mouth,Soundtrack,2011,Stage & Screen
88,Fearless,Taylor Swift,2008,Country
89,And If Our God Is For Us...,Chris Tomlin,2010,Religious
90,Country Strong,Soundtrack,2010,Country
91,Thank Me Later,Drake,2010,Rap
92,Hot Sauce Committee Part Two,Beastie Boys,2011,Rap
93,Come Around Sundown,Kings Of Leon,2010,Pop/Rock
94,Under The Mistletoe,Justin Bieber,2011,Holiday
95,Animal,Ke$ha,2010,Pop/Rock
96,Calling All Hearts,Keyshia Cole,2010,R&B
97,The Suburbs,Arcade Fire,2010,Pop/Rock
98,All I Want Is You,Miguel,2010,R&B
99,Stronger,Sara Evans,2011,Country
100,Bon Iver,Bon Iver,2011,Pop/Rock
101,"Charleston, SC 1966",Darius Rucker,2010,Country
102,Journey's Greatest Hits,Journey,1988,Pop/Rock
103,Outlaws Like Me,Justin Moore,2011,Country
104,"Passion, Pain & Pleasure",Trey Songz,2010,R&B
105,Libra Scale,Ne-Yo,2010,R&B
106,Kidz Bop 20,Kidz Bop Kids,2011,Children's
107,A Thousand Suns,Linkin Park,2010,Pop/Rock
108,My World (EP),Justin Bieber,2009,Pop/Rock
109,WOW Hits 2011,Various Artists,2010,Religious
110,"Glee: The Music, Season Two: Volume 5",Soundtrack,2011,Pop/Rock
111,Paper Airplane,Alison Krauss + Union Station,2011,Country
112,No Boys Allowed,Keri Hilson,2010,R&B
113,Enjoy Yourself,Billy Currington,2010,Country
114,The E.N.D.,The Black Eyed Peas,2009,Pop/Rock
115,Goodbye Lullaby,Avril Lavigne,2011,Pop/Rock
117,The King Is Dead,The Decemberists,2011,Pop/Rock
118,Last Train To Paris,Diddy - Dirty Money,2010,Rap
119,Love?,Jennifer Lopez,2011,Pop/Rock
120,Number Ones,Michael Jackson,2003,R&B
121,Awake,Skillet,2009,Religious
122,Noel,Josh Groban,2007,Vocal
123,Helplessness Blues,Fleet Foxes,2011,Pop/Rock
124,Planet Pit,Pitbull,2011,Latin
125,Finally Famous,Big Sean,2011,Rap
126,Stronger,Kelly Clarkson,2011,Pop/Rock
127,Glory In The Highest: Christmas Songs Of Worship,Chris Tomlin,2009,Religious
128,34 Number Ones,Alan Jackson,2010,Country
129,Here For A Good Time,George Strait,2011,Country
130,Danger Days: The True Lives Of The Fabulous Killjoys,My Chemical Romance,2010,Pop/Rock
131,So Beautiful Or So What,Paul Simon,2011,Pop/Rock
132,Sorry For Party Rocking,LMFAO,2011,Pop/Rock
133,Nightmare,Avenged Sevenfold,2010,Pop/Rock
134,Man On The Moon II: The Legend Of Mr. Rager,Kid Cudi,2010,Rap
135,The King Of Limbs,Radiohead,2011,Pop/Rock
136,lovestrong.,Christina Perri,2011,Pop/Rock
137,Until The Whole World Hears,Casting Crowns,2009,Religious
138,Neighborhoods,Blink-182,2011,Pop/Rock
139,Science & Faith,The Script,2010,Pop/Rock
140,NOW That's What I Call Christmas! 4,Various Artists,2010,Holiday
141,Evanescence,Evanescence,2003,Pop/Rock
142,American Tragedy,Hollywood Undead,2011,Pop/Rock
143,Codes And Keys,Death Cab For Cutie,2011,Pop/Rock
144,Neon,Chris Young,2011,Country
145,Curtain Call: The Hits,Eminem,2005,Rap
