RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,1973,The World Is A Ghetto,War,,1972,R&B
2,1973,Summer Breeze,Seals & Crofts,,1972,Pop/Rock
3,1973,Talking Book,Stevie Wonder,,1972,R&B
4,1973,No Secrets,Carly Simon,,1972,Pop/Rock
7,1973,I Am Woman,Helen Reddy,,1972,Vocal
9,1973,I'm Still In Love With You,Al Green,,1972,R&B
10,1973,Seventh Sojourn,The Moody Blues,,1972,Pop/Rock
11,1973,The Dark Side Of The Moon,Pink Floyd,,1973,Pop/Rock
12,1973,Hot August Night,Neil Diamond,,1972,Pop/Rock
13,1973,Loggins And Messina,Loggins & Messina,,1972,Pop/Rock
14,1973,Catch Bull At Four,Cat Stevens,,1972,Pop/Rock
15,1973,Billion Dollar Babies,Alice Cooper,,1973,Pop/Rock
16,1973,Can't Buy A Thrill,Steely Dan,,1972,Pop/Rock
17,1973,The Captain And Me,The Doobie Brothers,,1973,Pop/Rock
18,1973,The Best Of Bread,Bread,,1973,Pop/Rock
20,1973,Rocky Mountain High,John Denver,,1972,Folk
21,1973,Big Bambu,Cheech & Chong,,1972,Comedy/Spoken
22,1973,Tapestry,Carole King,,1971,Pop/Rock
23,1973,Diamond Girl,Seals & Crofts,,1973,Pop/Rock
25,1973,Toulouse Street,The Doobie Brothers,,1972,Pop/Rock
26,1973,Made In Japan,Deep Purple,,1972,Pop/Rock
27,1973,Machine Head,Deep Purple,,1972,Pop/Rock
28,1973,Aloha From Hawaii Via Satellite,Elvis Presley,,1973,Pop/Rock
29,1973,Moving Waves,Focus,,1971,Pop/Rock
31,1973,Jesus Was A Capricorn,Kris Kristofferson,,1972,Country
34,1973,Life And Times,Jim Croce,,1973,Pop/Rock
36,1973,The Six Wives Of Henry VIII,Rick Wakeman,,1973,Pop/Rock
38,1973,Green Is Blues,Al Green,,1970,R&B
39,1973,Sittin' In,Loggins & Messina,,1971,Pop/Rock
40,1973,Homecoming,America,,1972,Pop/Rock
41,1973,Creedence Gold,Creedence Clearwater Revival,,1972,Pop/Rock
42,1973,There Goes Rhymin' Simon,Paul Simon,,1973,Pop/Rock
43,1973,Living In The Material World,George Harrison,,1973,Pop/Rock
44,1973,Call Me,Al Green,,1973,R&B
45,1973,Chicago VI,Chicago,,1973,Pop/Rock
46,1973,Superfly,Curtis Mayfield,,1972,R&B
47,1973,LIVING IN THE PAST,Jethro Tull,,1972,Pop/Rock
48,1973,Hot Rocks 1964-1971,The Rolling Stones,,1972,Pop/Rock
52,1973,Rhymes & Reasons,Carole King,,1972,Pop/Rock
54,1973,Space Oddity,David Bowie,,1969,Pop/Rock
55,1973,I've Got So Much To Give,Barry White,,1973,R&B
56,1973,Masterpiece,The Temptations,,1973,R&B
57,1973,Neither One Of Us (Wants To Be The First To Say Goodbye),Gladys Knight And The Pips,,1973,R&B
60,1973,Back Stabbers,The O'Jays,,1972,R&B
61,1973,Keeper Of The Castle,Four Tops,,1972,R&B
62,1973,Shoot Out At The Fantasy Factory,Traffic,,1973,Pop/Rock
63,1973,Class Clown,George Carlin,,1972,Comedy/Spoken
64,1973,Desperado,Eagles,,1973,Pop/Rock
65,1973,Guitar Man,Bread,,1972,Pop/Rock
66,1973,Fantasy,Carole King,,1973,Pop/Rock
67,1973,In The Right Place,Dr. John,,1973,Pop/Rock
68,1973,Transformer,Lou Reed,,1972,Pop/Rock
69,1973,For The Roses,Joni Mitchell,,1972,Pop/Rock
71,1973,Head To The Sky,"Earth, Wind & Fire",,1973,R&B
73,1973,Prelude,Deodato,,1972,Jazz
74,1973,Music Is My Life,Billy Preston,,1972,R&B
75,1973,Live At The Sahara Tahoe,Isaac Hayes,,1973,R&B
76,1973,Fresh,Sly & The Family Stone,,1973,R&B
78,1973,Live Concert At The Forum,Barbra Streisand,,1972,Vocal
80,1973,Honky Chateau,Elton John,,1972,Pop/Rock
81,1973,Composite Truth,Mandrill,,1973,R&B
82,1973,"The Smoker You Drink, The Player You Get",Joe Walsh,,1973,Pop/Rock
83,1973,Farewell Andromeda,John Denver,,1973,Pop/Rock
84,1973,Natural High,Bloodstone,,1973,R&B
86,1973,Tower of Power,Tower Of Power,,1973,R&B
88,1973,Back To The World,Curtis Mayfield,,1973,R&B
89,1973,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,David Bowie,,1972,Pop/Rock
90,1973,360 Degrees Of Billy Paul,Billy Paul,,1972,R&B
92,1973,Black Byrd,Donald Byrd,,1973,Jazz
93,1973,Close To The Edge,Yes,,1972,Pop/Rock
94,1973,Of A Simple Man,Lobo,,1972,Pop/Rock
95,1973,A Passion Play,Jethro Tull,,1973,Pop/Rock
96,1973,Will The Circle Be Unbroken,Nitty Gritty Dirt Band,,1972,Country
97,1973,Touch Me In The Morning,Diana Ross,,1973,R&B
100,1973,Leon Live,Leon Russell,,1973,Pop/Rock
