RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,2004,Confessions,Usher,,2004,R&B
2,2004,Speakerboxxx/The Love Below,OutKast,,2003,Rap
3,2004,Closer,Josh Groban,,2003,Vocal
4,2004,DIARY OF ALICIA KEYS,Alicia Keys,,2003,R&B
5,2004,Feels Like Home,Norah Jones,,2004,Pop/Rock
6,2004,Fallen,Evanescence,,2003,Pop/Rock
7,2004,Shock'n Y'All,Toby Keith,,2003,Country
8,2004,In The Zone,Britney Spears,,2003,Pop/Rock
9,2004,The Very Best Of Sheryl Crow,Sheryl Crow,,2003,Pop/Rock
10,2004,When The Sun Goes Down,Kenny Chesney,,2004,Country
11,2004,The Black Album,JAY-Z,,2003,Rap
12,2004,The College Dropout,Kanye West,,2004,Rap
13,2004,Now 14,Various Artists,,2003,Pop/Rock
14,2004,In This Skin,Jessica Simpson,,2003,Pop/Rock
15,2004,Songs About Jane,Maroon 5,,2002,Pop/Rock
16,2004,Now 16,Various Artists,,2004,Pop/Rock
17,2004,Metamorphosis,Hilary Duff,,2003,Pop/Rock
18,2004,Autobiography,Ashlee Simpson,,2004,Pop/Rock
19,2004,Here For The Party,Gretchen Wilson,,2004,Country
20,2004,Beg For Mercy,G Unit,,2003,Rap
21,2004,The Singles 1992-2003,No Doubt,,2003,Pop/Rock
22,2004,Under My Skin,Avril Lavigne,,2004,Pop/Rock
23,2004,Blink-182,Blink-182,,---, 
24,2004,The Reason,Hoobastank,,2003,Pop/Rock
25,2004,Musicology,Prince,,2004,R&B
26,2004,The Long Road,Nickelback,,2003,Pop/Rock
27,2004,Now 15,Various Artists,,2004,Pop/Rock
28,2004,Live Like You Were Dying,Tim McGraw,,2004,Country
29,2004,Dangerously In Love,Beyonce,,2003,R&B
30,2004,D12 World,D12,,2004,Rap
31,2004,Soulful,Ruben Studdard,,2003,R&B
32,2004,Kamikaze,Twista,,2004,Rap
33,2004,Meteora,Linkin Park,,2003,Pop/Rock
34,2004,Afterglow,Sarah McLachlan,,2003,Pop/Rock
35,2004,ELEPHUNK,The Black Eyed Peas,,2003,Rap
36,2004,Come Away With Me,Norah Jones,,2002,Jazz
37,2004,Jackpot,Chingy,,2003,Rap
38,2004,As Time Goes By ... The Great American Songbook Vol. II,Rod Stewart,,2003,Pop/Rock
39,2004,Suit,Nelly,,2004,Rap
40,2004,The Beautiful Letdown,Switchfoot,,2003,Pop/Rock
41,2004,Chicken*N*Beer,Ludacris,,2003,Rap
42,2004,Greatest Hits,Guns N' Roses,,2004,Pop/Rock
43,2004,Measure Of A Man,Clay Aiken,,2003,Pop/Rock
44,2004,Los Lonely Boys,Los Lonely Boys,,2004,Pop/Rock
45,2004,Horse Of A Different Color,Big & Rich,,2004,Country
46,2004,The Hunger For More,Lloyd Banks,,2004,Rap
47,2004,Away From The Sun,3 Doors Down,,2002,Pop/Rock
48,2004,Life For Rent,Dido,,2003,Pop/Rock
49,2004,Contraband,Velvet Revolver,,2004,Pop/Rock
50,2004,Get Born,Jet,,2003,Pop/Rock
51,2004,Genius Loves Company,Ray Charles,,2004,R&B
52,2004,Ocean Avenue,Yellowcard,,2003,Pop/Rock
53,2004,Golden Road,Keith Urban,,2002,Country
54,2004,License To Chill,Jimmy Buffett,,2004,Country
55,2004,Greatest Hits Volume II And Some Other Stuff,Alan Jackson,,2003,Country
56,2004,Let It Be... Naked,The Beatles,,2003,Pop/Rock
57,2004,Tupac: Resurrection,Soundtrack,,2003,Rap
58,2004,The Cheetah Girls (EP),Soundtrack,,2004,Pop/Rock
59,2004,Mud On The Tires,Brad Paisley,,2003,Country
60,2004,Juve The Great,Juvenile,,2003,Rap
61,2004,A Crow Left Of The Murder...,Incubus,,2004,Pop/Rock
62,2004,To The 5 Boroughs,Beastie Boys,,2004,Rap
63,2004,Greatest Hits Volume II,Alan Jackson,,2003,Country
64,2004,Good News For People Who Love Bad News,Modest Mouse,,2004,Pop/Rock
65,2004,50 Number Ones,George Strait,,2004,Country
66,2004,U Gotta Feel Me,Lil' Flip,,2004,Rap
67,2004,Kid Rock,Kid Rock,,2003,Pop/Rock
68,2004,Martina,Martina McBride,,2003,Country
69,2004,Motown,Michael McDonald,,2003,Pop/Rock
70,2004,Greatest Hits,Red Hot Chili Peppers,,2003,Pop/Rock
71,2004,Take A Look In The Mirror,Korn,,2003,Pop/Rock
73,2004,Damita Jo,Janet Jackson,,2004,R&B
74,2004,Kiss Of Death,Jadakiss,,2004,Rap
75,2004,Happy People/U Saved Me,R. Kelly,,2004,R&B
76,2004,A Rush Of Blood To The Head,Coldplay,,2002,Pop/Rock
77,2004,Vol. 3: (The Subliminal Verses),Slipknot,,2004,Pop/Rock
78,2004,Sweat,Nelly,,2004,Rap
79,2004,Up!,Shania Twain,,2002,Country
80,2004,Only You,"Harry Connick, Jr.",,2004,Vocal
81,2004,Kings Of Crunk,Lil Jon & The East Side Boyz,,2002,Rap
82,2004,Da Derrty Versions - The Reinvention,Nelly,,2003,Rap
83,2004,Heavier Things,John Mayer,,2003,Pop/Rock
84,2004,JoJo,JoJo,,---, 
85,2004,Hurt No More,Mario Winans,,2004,R&B
86,2004,American Idiot,Green Day,,2004,Pop/Rock
87,2004,Straight Outta Ca$hville,Young Buck,,2004,Rap
88,2004,Live In Texas,Linkin Park,,2003,Pop/Rock
90,2004,Melt,Rascal Flatts,,2002,Country
91,2004,Shrek 2,Soundtrack,,2004,Stage & Screen
92,2004,Private Room,Avant,,2003,R&B
93,2004,Me & My Brother,Ying Yang Twins,,2003,Rap
94,2004,Terrorist Threats,Westside Connection,,2003,Rap
95,2004,Long Black Train,Josh Turner,,2003,Country
96,2004,Encore,Eminem,,2004,Rap
97,2004,Three Days Grace,Three Days Grace,,2003,Pop/Rock
98,2004,Unleashed,Toby Keith,,2002,Country
