RANK,ALBUM,ARTIST,DATE,GENRE
92,American Capitalist,Five Finger Death Punch,2011,Pop/Rock
93,Boys & Girls,Alabama Shakes,2012,Pop/Rock
94,Someone To Watch Over Me,Susan Boyle,2011,Vocal
96,Careless World: Rise Of The Last King,Tyga,2012,Rap
97,Brothers,The Black Keys,2010,Pop/Rock
98,Lungs,Florence + The Machine,2009,Pop/Rock
99,Chapter V,Trey Songz,2012,R&B
100,Speak Now: World Tour Live CD + DVD,Taylor Swift,N/A,N/A
101,Kidz Bop 22,Kidz Bop Kids,2012,Children's
102,Nothing But The Beat,David Guetta,2011,Electronic
103,Recovery,Eminem,2010,Rap
104,Emotional Traffic,Tim McGraw,2012,Country
105,Heavenly Christmas,Jackie Evancho,2011,Vocal
106,Slipstream,Bonnie Raitt,2012,Pop/Rock
107,Hunter Hayes,Hunter Hayes,2011,Country
108,Greatest Hits,Guns N' Roses,2004,Pop/Rock
109,Hell On Heels,Pistol Annies,2011,Country
110,Hard 2 Love,Lee Brice,2012,Country
111,The Foundation,Zac Brown Band,2008,Country
112,Back To Love,Anthony Hamilton,2011,R&B
113,Maybach Music Group Presents: Self Made 2,Various Artists,2012,Rap
114,Clockwork Angels,Rush,2012,Pop/Rock
115,Cole World: The Sideline Story,J. Cole,2011,Rap
116,Elevate (Soundtrack),Big Time Rush,2011,Pop/Rock
117,Journey's Greatest Hits,Journey,1988,Pop/Rock
118,Strange Clouds,B.o.B,2012,Rap
119,A Very She & Him Christmas,She & Him,2011,Pop/Rock
120,Up All Night,Kip Moore,2012,Pop/Rock
121,When The Sun Goes Down,Selena Gomez & The Scene,2011,Pop/Rock
122,Rock Of Ages,Soundtrack,2012,Stage & Screen
123,Planet Pit,Pitbull,2011,Latin
124,Thirty Miles West,Alan Jackson,2012,Country
125,My Christmas,Andrea Bocelli,2009,Holiday
126,Fearless,Taylor Swift,2008,Country
127,Uno!,Green Day,2012,Pop/Rock
128,Legend: The Best Of Bob Marley And The Wailers,Bob Marley And The Wailers,1984,Reggae
129,Ambition,Wale,2011,Rap
130,WOW Hits 2012,Various Artists,2011,Pop/Rock
131,The Path Of Totality,Korn,2011,Pop/Rock
132,Kisses On The Bottom,Paul McCartney,2012,Pop/Rock
133,Night Visions,Imagine Dragons,2012,Pop/Rock
134,My World 2.0,Justin Bieber,2010,Pop/Rock
135,Home,Dierks Bentley,2012,Country
136,+,Ed Sheeran,2017,Pop/Rock
137,Tempest,Bob Dylan,2012,Pop/Rock
138,Dreams And Nightmares,Meek Mill,2012,Rap
139,Open Invitation,Tyrese,2011,R&B
140,Battle Born,The Killers,2012,Pop/Rock
141,Pluto,Future,2012,Rap
142,Chronicle The 20 Greatest Hits,Creedence Clearwater Revival Featuring John Fogerty,1976,Pop/Rock
143,The Carpenter,The Avett Brothers,2012,Pop/Rock
144,North,matchbox twenty,2012,Pop/Rock
145,The Very Best Of Neil Diamond: The Studio Recordings,Neil Diamond,2011,Pop/Rock
146,Barefoot Blue Jean Night,Jake Owen,2011,Country
147,The Bodyguard,Whitney Houston,1992,Stage & Screen
148,Scars & Stories,The Fray,2012,Pop/Rock
149,Unbroken,Demi Lovato,2011,Pop/Rock
150,Port Of Morrow,The Shins,2012,Pop/Rock
151,Write Me Back,R. Kelly,2012,R&B
152,Pink Friday,Nicki Minaj,2010,Rap
153,Need You Now,Lady Antebellum,2010,Country
154,The 2nd Law,Muse,2012,Pop/Rock
155,Push And Shove,No Doubt,2012,Pop/Rock
156,Eye On It,tobyMac,2012,Religious
157,The Idler Wheel Is Wiser Than...,Fiona Apple,2012,Pop/Rock
158,Megalithic Symphony,AWOLNATION,2011,Pop/Rock
159,Evanescence,Evanescence,2003,Pop/Rock
160,Project X,Soundtrack,2012,Electronic
161,Kaleidoscope Dream,Miguel,2012,R&B
162,Shake It Up: Live 2 Dance: Music From The Disney Channel Series,Soundtrack,2012,Stage & Screen
164,The Best Of Lynyrd Skynyrd: 20th Century Masters The Millennium Collection,Lynyrd Skynyrd,1999,Pop/Rock
165,Wasting Light,Foo Fighters,2011,Pop/Rock
166,Christmas Symphony,Mannheim Steamroller With Members Of The Czech Philharmonic Orchestra,2011,Holiday
167,Formula: Vol. 1,Romeo Santos,2011,Latin
168,The Muppets,Soundtrack,1979,Children's
169,The Gift,Susan Boyle,2010,Vocal
170,"Merry Christmas, Baby",Rod Stewart,2012,Holiday
171,Noel,Josh Groban,2007,Vocal
172,God's Not Dead,newsboys,2011,Religious
173,Hats Off To The Bull,Chevelle,2011,Pop/Rock
174,Immortal,Michael Jackson,2011,R&B
175,A Charlie Brown Christmas (Soundtrack),Vince Guaraldi Trio,1965,Holiday
176,Sinatra: Best Of The Best,Frank Sinatra,2011,Vocal
177,Outlaws Like Me,Justin Moore,2011,Country
178,NOW That's What I Call Country: Volume 5,Various Artists,2012,Country
179,Blue Slide Park,Mac Miller,2011,Rap
180,Glory In The Highest: Christmas Songs Of Worship,Chris Tomlin,2009,Religious
181,NOW 39,Various Artists,2011,Pop/Rock
182,Americana,Neil Young With Crazy Horse,2012,Pop/Rock
183,How Great Is Our God: The Essential Collection,Chris Tomlin,2011,Religious
184,Number One Hits,Tim McGraw,2010,Country
185,New Life,Monica,2012,R&B
186,Wild Ones,Flo Rida,2012,Rap
187,Coexist,The xx,2012,Pop/Rock
188,Trespassing,Adam Lambert,2012,Pop/Rock
189,Camp,Childish Gambino,2011,Rap
190,Food & Liquor II: The Great American Rap Album Pt. 1,Lupe Fiasco,2012,Rap
191,Punching Bag,Josh Turner,2012,Country
192,That's Why God Made The Radio,The Beach Boys,2012,Pop/Rock
193,The Dark Side Of The Moon,Pink Floyd,1973,Pop/Rock
194,The Wanted,The Wanted,2010,Pop/Rock
195,The Best Of Lionel Richie: 20th Century Masters The Millennium Collection,Lionel Richie,2003,R&B
196,#1 Girl,Mindless Behavior,2011,R&B
197,Gravity,Lecrae,2012,Religious
198,Whitney Houston,Whitney Houston,1985,R&B
199,Love After War,Robin Thicke,2011,R&B
200,Licensed To Ill,Beastie Boys,1986,Rap
