RANK,ALBUM,ARTIST,DATE,GENRE
1,21,Adele,2011,Pop/Rock
2,Christmas,Michael Buble,2011,Vocal
3,Take Care,Drake,2011,Rap
4,Red,Taylor Swift,2012,Pop/Rock
5,Up All Night,One Direction,2011,Pop/Rock
6,Tailgates & Tanlines,Luke Bryan,2011,Country
7,Babel,Mumford & Sons,2012,Pop/Rock
8,Talk That Talk,Rihanna,2011,Pop/Rock
9,Tuskegee,Lionel Richie,2012,Country
10,El Camino,The Black Keys,2011,Pop/Rock
11,Believe,Justin Bieber,2013,Pop/Rock
12,Own The Night,Lady Antebellum,2011,Country
13,Under The Mistletoe,Justin Bieber,2011,Holiday
14,Blown Away,Carrie Underwood,2012,Country
15,Here And Now,Nickelback,2011,Pop/Rock
16,19,Adele,2008,Pop/Rock
17,Mylo Xyloto,Coldplay,2011,Pop/Rock
18,Whitney: The Greatest Hits,Whitney Houston,2000,R&B
19,My Kinda Party,Jason Aldean,2010,Country
20,Some Nights,fun.,2012,Pop/Rock
21,Overexposed,Maroon 5,2012,Pop/Rock
22,NOW 41,Various Artists,2012,Pop/Rock
23,Chief,Eric Church,2011,Country
24,Stronger,Kelly Clarkson,2011,Pop/Rock
25,Teenage Dream,Katy Perry,2010,Pop/Rock
26,Pink Friday: Roman Reloaded,Nicki Minaj,2012,Rap
27,Making Mirrors,Gotye,2011,Pop/Rock
28,Sorry For Party Rocking,LMFAO,2011,Pop/Rock
29,Sigh No More,Mumford & Sons,2009,Pop/Rock
30,Night Train,Jason Aldean,2012,Country
31,TM:103: Hustlerz Ambition,Young Jeezy,2011,Rap
32,Clear As Day,Scotty McCreery,2011,Country
33,Ceremonials,Florence + The Machine,2011,Pop/Rock
34,My Life II...The Journey Continues (Act 1),Mary J. Blige,2011,R&B
35,Uncaged,Zac Brown Band,2012,Country
36,NOW 40,Various Artists,2011,Pop/Rock
37,The Truth About Love,P!nk,2012,Pop/Rock
38,The Band Perry,The Band Perry,2010,Country
39,Tha Carter IV,Lil Wayne,2011,Rap
40,Living Things,Linkin Park,2012,Pop/Rock
41,Welcome To The Fishbowl,Kenny Chesney,2012,Country
42,Concerto: One Night In Central Park,Andrea Bocelli,2011,Vocal
43,Born And Raised,John Mayer,2012,Pop/Rock
44,MDNA,Madonna,2012,Pop/Rock
45,Speak Now,Taylor Swift,2010,Country
46,Hands All Over,Maroon 5,2010,Pop/Rock
47,Four The Record,Miranda Lambert,2011,Country
48,NOW 42,Various Artists,2012,Pop/Rock
49,"God Forgives, I Don't",Rick Ross,2012,Rap
50,Wrecking Ball,Bruce Springsteen,2012,Pop/Rock
51,Watch The Throne,Jay Z Kanye West,2011,Rap
52,Clancy's Tavern,Toby Keith,2011,Country
53,Break The Spell,Daughtry,2011,Pop/Rock
54,NOW 43,Various Artists,2012,Pop/Rock
55,Halfway To Heaven,Brantley Gilbert,2010,Country
56,My Head Is An Animal,Of Monsters And Men,2012,Pop/Rock
57,The Hunger Games: Songs From District 12 And Beyond,Soundtrack,2012,Stage & Screen
58,Away From The World,Dave Matthews Band,2012,Pop/Rock
59,The Lumineers,The Lumineers,2012,Pop/Rock
60,Doo-Wops & Hooligans,Bruno Mars,2010,Pop/Rock
61,Torches,Foster The People,2011,Pop/Rock
62,The Twilight Saga: Breaking Dawn: Part 1,Soundtrack,2011,Pop/Rock
63,Bangarang (EP),Skrillex,2012,Electronic
64,Looking 4 Myself,Usher,2012,R&B
65,Lioness: Hidden Treasures,Amy Winehouse,2011,R&B
66,Blunderbuss,Jack White,2012,Pop/Rock
67,Red River Blue,Blake Shelton,2011,Country
68,Changed,Rascal Flatts,2012,Country
69,Love Is A Four Letter Word,Jason Mraz,2012,Pop/Rock
70,Born To Die,Lana Del Rey,2012,Pop/Rock
71,A Different Kind Of Truth,Van Halen,2012,Pop/Rock
72,Based On A T.R.U. Story,2 Chainz,2012,Rap
73,...Little Broken Hearts,Norah Jones,2012,Pop/Rock
74,Channel Orange,Frank Ocean,2012,R&B
75,You Get What You Give,Zac Brown Band,2010,Country
76,Duets II,Tony Bennett,2011,Vocal
77,Fortune,Chris Brown,2012,R&B
78,Tornado,Little Big Town,2012,Country
79,Kanye West Presents GOOD Music Cruel Summer,Various Artists,2012,Rap
80,"good kid, m.A.A.d city",Kendrick Lamar,2012,Rap
81,Come To The Well,Casting Crowns,2011,Pop/Rock
82,California 37,Train,2012,Pop/Rock
83,Ultimate Hits: Rock And Roll Never Forgets,Bob Seger & The Silver Bullet Band,2011,Pop/Rock
84,Kidz Bop 21,Kidz Bop Kids,2012,Children's
85,Born This Way,Lady Gaga,2011,Pop/Rock
86,2012 Grammy Nominees,Various Artists,2012,Electronic
87,Scary Monsters And Nice Sprites (EP),Skrillex,2010,Electronic
88,Barton Hollow,The Civil Wars,2011,Pop/Rock
89,Amaryllis,Shinedown,2012,Pop/Rock
90,Life Is Good,Nas,2012,Rap
91,4,Beyonce,2011,R&B
