RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,2016,25,Adele,,2015,Pop/Rock
2,2016,Views,Drake,,2016,Rap
3,2016,Purpose,Justin Bieber,,2015,Pop/Rock
4,2016,Lemonade,Beyonce,,2016,R&B
5,2016,ANTI,Rihanna,,2016,Pop/Rock
6,2016,Blurryface,twenty one pilots,,2015,Pop/Rock
7,2016,Traveller,Chris Stapleton,,2015,Country
8,2016,Made In The A.M.,One Direction,,2015,Pop/Rock
9,2016,Beauty Behind The Madness,The Weeknd,,2015,R&B
10,2016,Hamilton: An American Musical,Original Broadway Cast,,2015,Stage & Screen
11,2016,T R A P S O U L,Bryson Tiller,,2015,R&B
12,2016,When It's Dark Out,G-Eazy,,2015,Rap
13,2016,A Head Full Of Dreams,Coldplay,,2015,Pop/Rock
14,2016,The Very Best Of Prince,Prince,,2001,R&B
15,2016,Fetty Wap,Fetty Wap,,2015,Rap
16,2016,Islah,Kevin Gates,,2015,Rap
17,2016,1989,Taylor Swift,,2014,Pop/Rock
18,2016,Revival,Selena Gomez,,2015,Pop/Rock
19,2016,Montevallo,Sam Hunt,,2014,Country
20,2016,Suicide Squad: The Album,Soundtrack,,2016,Stage & Screen
21,2016,Tangled Up,Thomas Rhett,,2015,Country
22,2016,This Is Acting,Sia,,2016,Pop/Rock
23,2016,Death Of A Bachelor,Panic! At The Disco,,2016,Pop/Rock
24,2016,21,Adele,,2011,Pop/Rock
25,2016,What A Time To Be Alive,Drake & Future,,2015,Rap
26,2016,Dangerous Woman,Ariana Grande,,2016,Pop/Rock
27,2016,The Life Of Pablo,Kanye West,,2016,Rap
28,2016,DS2,Future,,2015,Rap
29,2016,Kill The Lights,Luke Bryan,,2015,Country
30,2016,2014 Forest Hills Drive,J. Cole,,2014,Rap
31,2016,That's Christmas To Me,Pentatonix,,2014,Holiday
32,2016,EVOL,Future,,2016,Rap
33,2016,Handwritten,Shawn Mendes,,2015,Pop/Rock
34,2016,Badlands,Halsey,,2015,Pop/Rock
35,2016,If You're Reading This It's Too Late,Drake,,2015,Rap
36,2016,Storyteller,Carrie Underwood,,2015,Country
37,2016,x,Ed Sheeran,,2014,Pop/Rock
38,2016,Vessel,twenty one pilots,,2013,Pop/Rock
39,2016,Royalty,Chris Brown,,2015,R&B
40,2016,Title,Meghan Trainor,,2015,Pop/Rock
41,2016,If I'm Honest,Blake Shelton,,2016,Country
42,2016,Know-It-All,Alessia Cara,,2015,R&B
43,2016,Nine Track Mind,Charlie Puth,,2016,Pop/Rock
44,2016,Cry Baby,Melanie Martinez,,2015,Pop/Rock
45,2016,Thank You,Meghan Trainor,,2016,Pop/Rock
46,2016,Immortalized,Disturbed,,2015,Pop/Rock
47,2016,Reloaded: 20 #1 Hits,Blake Shelton,,2015,Country
48,2016,Blonde,Frank Ocean,,2016,R&B
49,2016,My House (EP),Flo Rida,,2015,Rap
50,2016,Mr. Misunderstood,Eric Church,,2015,Country
51,2016,Ripcord,Keith Urban,,2016,Country
52,2016,Cleopatra,The Lumineers,,2016,Pop/Rock
53,2016,Blue Neighbourhood,Troye Sivan,,2015,Pop/Rock
54,2016,Hymns,Joey + Rory,,2016,Religious
55,2016,Purple Rain (Soundtrack),Prince And The Revolution,,1984,R&B
56,2016,Mind Of Mine,Zayn,,2016,Pop/Rock
57,2016,In The Lonely Hour,Sam Smith,,2014,Pop/Rock
58,2016,Take Care,Drake,,2011,Rap
59,2016,Chaos And The Calm,James Bay,,2015,Pop/Rock
60,2016,Lukas Graham,Lukas Graham,,2015,Pop/Rock
61,2016,To Pimp A Butterfly,Kendrick Lamar,,2015,Rap
62,2016,How Can It Be,Lauren Daigle,,2015,Religious
63,2016,The Incredible True Story,Logic,,2015,Rap
64,2016,Blackstar,David Bowie,,2016,Pop/Rock
65,2016,Late Nights: The Album,Jeremih,,2015,R&B
66,2016,1,The Beatles,,2000,Pop/Rock
67,2016,I'm Comin' Over,Chris Young,,2015,Country
68,2016,Nothing Was The Same,Drake,,2013,Rap
69,2016,California,Blink-182,,2016,Pop/Rock
70,2016,VHS,X Ambassadors,,2015,Pop/Rock
71,2016,These Things Happen,G-Eazy,,2014,Rap
72,2016,Coloring Book,Chance The Rapper,,2016,Rap
73,2016,A Moon Shaped Pool,Radiohead,,2016,Pop/Rock
74,2016,"good kid, m.A.A.d city",Kendrick Lamar,,2012,Rap
75,2016,Bouquet (EP),The Chainsmokers,,2015,Electronic
76,2016,Major Key,DJ Khaled,,2016,Rap
77,2016,The Getaway,Red Hot Chili Peppers,,2016,Pop/Rock
78,2016,American Beauty / American Psycho,Fall Out Boy,,2015,Pop/Rock
79,2016,Dig Your Roots,Florida Georgia Line,,2016,Country
80,2016,7/27,Fifth Harmony,,2016,Pop/Rock
81,2016,Legend: The Best Of Bob Marley And The Wailers,Bob Marley And The Wailers,,1984,Reggae
82,2016,untitled unmastered.,Kendrick Lamar,,2016,Rap
83,2016,Swaay (EP),DNCE,,2015,Pop/Rock
84,2016,The Eminem Show,Eminem,,2002,Rap
85,2016,Hozier,Hozier,,2014,Pop/Rock
86,2016,Best Of Bowie,David Bowie,,2002,Pop/Rock
87,2016,Meat And Candy,Old Dominion,,2015,Country
88,2016,Journey's Greatest Hits,Journey,,1988,Pop/Rock
89,2016,Delirium,Ellie Goulding,,2015,Pop/Rock
90,2016,Black,Dierks Bentley,,2016,Country
91,2016,Love Stuff,Elle King,,2015,Pop/Rock
92,2016,Metallica,Metallica,,1991,Pop/Rock
93,2016,NOW 57,Various Artists,,2016,Pop/Rock
94,2016,The Pinkprint,Nicki Minaj,,2014,Rap
95,2016,Damn Country Music,Tim McGraw,,2015,Country
96,2016,You Should Be Here,Cole Swindell,,2016,Country
97,2016,Beyonce,Beyonce,,2013,R&B
98,2016,Greatest Hits: Decade #1,Carrie Underwood,,2014,Country
99,2016,"I Like It When You Sleep, For You Are So Beautiful Yet So Unaware Of It",The 1975,,2016,Pop/Rock
100,2016,Confident,Demi Lovato,,2015,Pop/Rock
101,2016,Wildfire,Rachel Platten,,2016,Pop/Rock
102,2016,Birds In The Trap Sing McKnight,Travis Scott,,2016,Rap
103,2016,Pentatonix,Pentatonix,,2015,Vocal
104,2016,NOW 56,Various Artists,,2003,Pop/Rock
105,2016,Dark Sky Paradise,Big Sean,,2015,Rap
106,2016,SremmLife,Rae Sremmurd,,2015,Rap
107,2016,Greatest Hits I II & III: The Platinum Collection,Queen,,2001,Pop/Rock
108,2016,Joanne,Lady Gaga,,2016,Pop/Rock
109,2016,Night Visions,Imagine Dragons,,2012,Pop/Rock
110,2016,Curtain Call: The Hits,Eminem,,2005,Rap
111,2016,Anything Goes,Florida Georgia Line,,2014,Country
112,2016,JEKYLL + HYDE,Zac Brown Band,,2015,Country
113,2016,V,Maroon 5,,2014,Pop/Rock
114,2016,They Don't Know,Jason Aldean,,2016,Country
115,2016,Crash My Party,Luke Bryan,,2013,Country
116,2016,Born To Die,Lana Del Rey,,2012,Pop/Rock
117,2016,The First Time,Kelsea Ballerini,,2015,Country
118,2016,Skin,Flume,,2016,Electronic
119,2016,Daya (EP),Daya,,2015,Pop/Rock
120,2016,Peace Is The Mission,Major Lazer,,2015,Electronic
