RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,1994,The Sign,Ace Of Base,,1993,Pop/Rock
2,1994,Music Box,Mariah Carey,,1993,R&B
3,1994,Doggy Style,Snoop Doggy Dogg,,1993,Rap
4,1994,The Lion King,Soundtrack,,1994,Stage & Screen
5,1994,August And Everything After,Counting Crows,,1993,Pop/Rock
6,1994,Vs.,Pearl Jam,,1993,Pop/Rock
7,1994,Toni Braxton,Toni Braxton,,1993,R&B
8,1994,janet.,Janet Jackson,,1993,R&B
9,1994,Bat Out Of Hell II: Back Into Hell,Meat Loaf,,1993,Pop/Rock
10,1994,The One Thing,Michael Bolton,,1993,Pop/Rock
11,1994,12 Play,R. Kelly,,1993,R&B
12,1994,Not A Moment Too Soon,Tim McGraw,,1994,Country
13,1994,Purple,Stone Temple Pilots,,1994,Pop/Rock
16,1994,The Colour Of My Love,Celine Dion,,1993,Pop/Rock
17,1994,So Far So Good,Bryan Adams,,---, 
18,1994,Very Necessary,Salt-N-Pepa,,1993,Rap
19,1994,Superunknown,Soundgarden,,1994,Pop/Rock
20,1994,The Division Bell,Pink Floyd,,1994,Pop/Rock
21,1994,Get A Grip,Aerosmith,,1993,Pop/Rock
22,1994,II,Boyz II Men,,1994,R&B
23,1994,Duets,Frank Sinatra,,1993,Vocal
24,1994,Dookie,Green Day,,1994,Pop/Rock
25,1994,Common Thread: The Songs Of The Eagles,Various Artists,,1994,Country
26,1994,Candlebox,Candlebox,,1993,Pop/Rock
28,1994,Forrest Gump,Soundtrack,,1994,Stage & Screen
29,1994,In Pieces,Garth Brooks,,1993,Country
31,1994,Above The Rim,Soundtrack,,1994,Rap
33,1994,In Utero,Nirvana,,1993,Pop/Rock
34,1994,River Of Dreams,Billy Joel,,1993,Pop/Rock
35,1994,Kickin' It Up,John Michael Montgomery,,1994,Country
36,1994,Greatest Hits Volume Two,Reba McEntire,,1993,Country
38,1994,Live At The Acropolis,Yanni,,1994,New Age
39,1994,All-4-One,All-4-One,,1994,R&B
41,1994,Diary Of A Mad Band,Jodeci,,1993,R&B
42,1994,The Cross Of Changes,Enigma,,1994,New Age
43,1994,Lethal Injection,Ice Cube,,1993,Rap
44,1994,I'm Ready,Tevin Campbell,,1993,R&B
45,1994,"Everybody Else Is Doing It, So Why Can't We?",The Cranberries,,1993,Pop/Rock
46,1994,The Crow,Soundtrack,,1995,Stage & Screen
47,1994,MTV Unplugged,"10,000 Maniacs",,1993,Pop/Rock
48,1994,A Lot About Livin' (And A Little 'Bout Love),Alan Jackson,,1992,Country
50,1994,Core,Stone Temple Pilots,,1992,Pop/Rock
51,1994,Breathless,Kenny G,,1992,Jazz
52,1994,Jar Of Flies (EP),Alice In Chains,,1994,Pop/Rock
53,1994,God Shuffled His Feet,Crash Test Dummies,,1993,Pop/Rock
54,1994,New Miserable Experience,Gin Blossoms,,1992,Pop/Rock
55,1994,Longing In Their Hearts,Bonnie Raitt,,1994,Pop/Rock
56,1994,Sleepless In Seattle,Soundtrack,,1993,Stage & Screen
57,1994,Yes I Am,Melissa Etheridge,,1993,Pop/Rock
58,1994,Ten,Pearl Jam,,1991,Pop/Rock
59,1994,The Downward Spiral,Nine Inch Nails,,1994,Pop/Rock
60,1994,Tuesday Night Music Club,Sheryl Crow,,1993,Pop/Rock
61,1994,The Spaghetti Incident?,Guns N' Roses,,1993,Pop/Rock
62,1994,Voodoo Lounge,The Rolling Stones,,1994,Pop/Rock
64,1994,From The Cradle,Eric Clapton,,1994,Pop/Rock
65,1994,Read My Mind,Reba McEntire,,1994,Country
66,1994,Unplugged...And Seated,Rod Stewart,,1993,Pop/Rock
67,1994,Monster,R.E.M.,,1994,Pop/Rock
68,1994,"Hints, Allegations & Things Left Unsaid",Collective Soul,,1994,Pop/Rock
69,1994,Philadelphia,Soundtrack,,1993,Pop/Rock
70,1994,Who I Am,Alan Jackson,,1994,Country
71,1994,Metallica,Metallica,,1991,Pop/Rock
72,1994,For the Cool In You,Babyface,,1993,R&B
74,1994,Age Ain't Nothing But A Number,Aaliyah,,1994,R&B
75,1994,Rhythm Of Love,Anita Baker,,1994,R&B
76,1994,"Easy Come, Easy Go",George Strait,,1993,Country
77,1994,When Love Finds You,Vince Gill,,1994,Country
79,1994,Murder Was The Case,Soundtrack,,1994,Stage & Screen
80,1994,Rhythm Country & Blues,Various Artists,,1994,Country
81,1994,Blind Melon,Blind Melon,,1992,Pop/Rock
84,1994,Nevermind,Nirvana,,1991,Pop/Rock
85,1994,Both Sides,Phil Collins,,1993,Pop/Rock
86,1994,This Time,Dwight Yoakam,,1993,Country
87,1994,Come On Come On,Mary Chapin Carpenter,,1992,Country
88,1994,When My Heart Finds Christmas,"Harry Connick, Jr.",,1993,Vocal
89,1994,Under The Pink,Tori Amos,,1994,Pop/Rock
91,1994,Big Time,Little Texas,,1993,Country
92,1994,Seal,Seal,,1991,Pop/Rock
93,1994,MCMXC A.D.,Enigma,,1990,New Age
94,1994,Mellow Gold,Beck,,1994,Pop/Rock
95,1994,I Still Believe In You,Vince Gill,,1992,Country
96,1994,Barney's Favorites Vol. 1,Barney,,1993,Children's
97,1994,Pure Country (Soundtrack),George Strait,,1992,Country
98,1994,Black Sunday,Cypress Hill,,1993,Rap
100,1994,Shaq Diesel,Shaquille O'Neal,,1993,Rap
