RANK,ALBUM,ARTIST,DATE,GENRE
120,Doo-Wops & Hooligans,Bruno Mars,2010,Pop/Rock
121,"Quality Control: Control The Streets, Vol. 1",Various Artists,2017,Rap
122,Trench,twenty one pilots,2018,Pop/Rock
123,Die Lit,Playboi Carti,2018,Rap
124,Drip Season 3,Gunna,2018,Rap
125,Testing,A$AP Rocky,2018,Rap
126,Trip,Jhene Aiko,2017,R&B
127,1,The Beatles,2000,Pop/Rock
128,Rolling Papers 2,Wiz Khalifa,2018,Rap
129,Memories...Do Not Open,The Chainsmokers,2017,Pop/Rock
130,Voicenotes,Charlie Puth,2018,Pop/Rock
131,Songs Of Experience,U2,2017,Pop/Rock
132,Coloring Book,Chance The Rapper,2016,Rap
133,Greatest Hits,The Notorious B.I.G.,2007,Rap
134,Life's A Trip,Trippie Redd,2018,Rap
135,Greatest Hits So Far...,Zac Brown Band,2014,Country
136,Lil Boat 2,Lil Yachty,2018,Rap
137,Woodstock,Portugal. The Man,2017,Pop/Rock
138,"The Anthology: Part I, The First Five Years",Garth Brooks,2017,Country
139,If You're Reading This It's Too Late,Drake,2015,Rap
140,KIDS SEE GHOSTS,KIDS SEE GHOSTS,2018,Rap
141,Issa Album,21 Savage,2017,Rap
142,Everybody,Logic,2017,Rap
143,The Life Of Pablo,Kanye West,2016,Rap
144,Too Hard,Lil Baby,2017,Rap
145,Mr. Davis,Gucci Mane,2017,Rap
146,Mamma Mia! Here We Go Again,Soundtrack,2018,Stage & Screen
147,Expectations,Bebe Rexha,2018,Pop/Rock
148,"13 Reasons Why, Season 2",Soundtrack,2018,Pop/Rock
149,Texoma Shore,Blake Shelton,2017,Country
150,Love Yourself: Her,BTS,2017,Pop/Rock
151,Happy Endings,Old Dominion,2017,Country
152,From The Fires,Greta Van Fleet,2017,Pop/Rock
153,Greatest Hits,Bob Seger & The Silver Bullet Band,1994,Pop/Rock
154,Christmas,Michael Buble,2011,Vocal
155,Flower Boy,"Tyler, The Creator",2017,Rap
156,Mothership,Led Zeppelin,2007,Pop/Rock
157,Purpose,Justin Bieber,2015,Pop/Rock
158,Still Striving,A$AP Ferg,2017,Rap
159,Tangled Up,Thomas Rhett,2015,Country
160,Grateful,DJ Khaled,2017,Rap
161,"Love, Simon",Soundtrack,2018,Stage & Screen
162,Dangerous Woman,Ariana Grande,2016,Pop/Rock
163,Abbey Road,The Beatles,1969,Pop/Rock
164,A Love Letter To You,Trippie Redd,N/A,N/A
165,Blonde,Frank Ocean,2016,R&B
166,The Mountain,Dierks Bentley,2018,Country
167,And Justice For None,Five Finger Death Punch,2018,Pop/Rock
168,Greatest Hits,2Pac,1998,Rap
169,Greatest Hits,Red Hot Chili Peppers,2003,Pop/Rock
170,Flicker,Niall Horan,2017,Pop/Rock
171,[Hybrid Theory],Linkin Park,2000,Pop/Rock
172,GEMINI,Macklemore,2017,Rap
173,Stay Dangerous,YG,2018,Rap
174,Ready (EP),Ella Mai,2017,R&B
175,Egypt Station,Paul McCartney,2018,Pop/Rock
176,The Rest Of Our Life,Tim McGraw & Faith Hill,2017,Country
177,YSIV,Logic,2018,Rap
178,AI YoungBoy,YoungBoy Never Broke Again,2019,Rap
179,21,Adele,2011,Pop/Rock
180,I Can Only Imagine: The Very Best Of MercyMe,MercyMe,2018,Religious
181,Aura,Ozuna,2018,Latin
182,Luca Brasi 3,Kevin Gates,2018,Rap
183,Ripcord,Keith Urban,2016,Country
184,Fifty Shades Freed,Soundtrack,2018,Stage & Screen
185,FUTURE,Future,2017,Rap
186,Speak Your Mind,Anne-Marie,2018,Pop/Rock
187,Reloaded: 20 #1 Hits,Blake Shelton,2015,Country
188,East Atlanta Love Letter,6LACK,2018,R&B
189,Back In Black,AC/DC,1980,Pop/Rock
190,Thriller,Michael Jackson,1982,R&B
191,Pretty Girls Like Trap Music,2 Chainz,2017,Rap
192,Quavo Huncho,Quavo,2018,Rap
193,Dancing Queen,Cher,2018,Pop/Rock
194,Simi,BlocBoy JB,2018,Rap
195,The Fate Of The Furious: The Album,Soundtrack,2017,Stage & Screen
196,Revenge,XXXTENTACION,2017,Rap
197,That's Christmas To Me,Pentatonix,2014,Holiday
198,M A N I A,Fall Out Boy,2018,Pop/Rock
199,Live In No Shoes Nation,Kenny Chesney,2017,Country
200,Memories Don't Die,Tory Lanez,2018,R&B
