RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
2,1993,Breathless,Kenny G,,1992,Jazz
3,1993,Unplugged,Eric Clapton,,1992,Pop/Rock
4,1993,Janet,Janet Jackson,,1993,R&B
5,1993,Some Gave All,Billy Ray Cyrus,,1992,Country
6,1993,The Chronic,Dr. Dre,,1992,Rap
7,1993,Pocket Full Of Kryptonite,Spin Doctors,,1991,Pop/Rock
8,1993,Ten,Pearl Jam,,1991,Pop/Rock
9,1993,The Chase,Garth Brooks,,1992,Country
10,1993,Core,Stone Temple Pilots,,1992,Pop/Rock
11,1993,Timeless (The Classics),Michael Bolton,,1992,Pop/Rock
12,1993,Love Deluxe,Sade,,1992,R&B
13,1993,Pure Country (Soundtrack),George Strait,,1992,Country
14,1993,Get A Grip,Aerosmith,,1993,Pop/Rock
15,1993,Vs.,Pearl Jam,,1993,Pop/Rock
16,1993,It's About Time,SWV,,1992,R&B
17,1993,In Pieces,Garth Brooks,,1993,Country
18,1993,Sleepless In Seattle,Soundtrack,,1993,Stage & Screen
19,1993,It's Your Call,Reba McEntire,,1992,Country
21,1993,Ten Summoner's Tales,Sting,,1993,Pop/Rock
22,1993,Unplugged...And Seated,Rod Stewart,,1993,Pop/Rock
23,1993,River Of Dreams,Billy Joel,,1993,Pop/Rock
24,1993,The Predator,Ice Cube,,1992,Rap
25,1993,A Lot About Livin' (And A Little 'Bout Love),Alan Jackson,,1992,Country
27,1993,Automatic For The People,R.E.M.,,1992,Pop/Rock
28,1993,If I Ever Fall In Love,Shai,,1992,R&B
29,1993,Zooropa,U2,,1993,Pop/Rock
30,1993,Lose Control,Silk,,1992,R&B
31,1993,Jon Secada,Jon Secada,,1992,R&B
32,1993,Metallica,Metallica,,1991,Pop/Rock
33,1993,Black Sunday,Cypress Hill,,1993,Rap
35,1993,Grave Dancers Union,Soul Asylum,,1992,Pop/Rock
36,1993,What's The 411?,Mary J. Blige,,1992,R&B
37,1993,Are You Gonna Go My Way?,Lenny Kravitz,,1993,Pop/Rock
38,1993,Dangerous,Michael Jackson,,1991,R&B
39,1993,Dirt,Alice In Chains,,1992,Pop/Rock
40,1993,Music Box,Mariah Carey,,1993,R&B
41,1993,12 Inches Of Snow,Snow,,1993,Rap
42,1993,Greatest Hits,Gloria Estefan,,1992,Pop/Rock
43,1993,I Still Believe In You,Vince Gill,,1992,Country
44,1993,Hard Or Smooth,Wreckx-N-Effect,,1992,Rap
45,1993,Blind Melon,Blind Melon,,1992,Pop/Rock
46,1993,Funky Divas,En Vogue,,1992,R&B
47,1993,No Fences,Garth Brooks,,1990,Country
48,1993,Duran Duran,Duran Duran,,1981,Pop/Rock
49,1993,Keep The Faith,Bon Jovi,,1992,Pop/Rock
50,1993,Bat Out Of Hell II: Back Into Hell,Meat Loaf,,1993,Pop/Rock
52,1993,Bobby,Bobby Brown,,1992,R&B
53,1993,Cooleyhighharmony,Boyz II Men,,1991,R&B
55,1993,"Bigger, Better, Faster, More!",4 Non Blondes,,1992,Pop/Rock
56,1993,Back To Broadway,Barbra Streisand,,1993,Vocal
57,1993,Our Time In Eden,"10,000 Maniacs",,1992,Pop/Rock
58,1993,Home For Christmas,Amy Grant,,1992,Religious
60,1993,Greatest Hits,Queen,,2004,Pop/Rock
61,1993,Erotica,Madonna,,1992,Pop/Rock
62,1993,Totally Krossed Out,Kris Kross,,1992,Rap
64,1993,Wynonna,Wynonna,,1992,Country
65,1993,Bacdafucup,Onyx,,1993,Rap
66,1993,Boomerang,Soundtrack,,1992,Stage & Screen
67,1993,19 Naughty III,Naughty By Nature,,1993,Rap
68,1993,Ropin' The Wind,Garth Brooks,,1991,Country
69,1993,Toni Braxton,Toni Braxton,,1993,R&B
70,1993,Diva,Annie Lennox,,1992,Pop/Rock
71,1993,A Very Special Christmas 2,Various Artists,,1992,Pop/Rock
72,1993,Beyond The Season,Garth Brooks,,1992,Country
73,1993,It Won't Be The Last,Billy Ray Cyrus,,1993,Country
74,1993,In Utero,Nirvana,,1993,Pop/Rock
75,1993,Shepherd Moons,Enya,,1991,New Age
76,1993,Life's A Dance,John Michael Montgomery,,1992,Country
77,1993,Promises And Lies,UB40,,1993,Pop/Rock
78,1993,"Time, Love And Tenderness",Michael Bolton,,1991,Pop/Rock
79,1993,House Of Pain,House Of Pain,,1992,Rap
80,1993,Tell Me Why,Wynonna,,1993,Country
81,1993,Us,Peter Gabriel,,1992,Pop/Rock
82,1993,Achtung Baby,U2,,1991,Pop/Rock
83,1993,Last Action Hero,Soundtrack,,1993,Stage & Screen
84,1993,Live,AC/DC,,1992,Pop/Rock
86,1993,Menace II Society,Soundtrack,,1992,Rap
87,1993,This Time,Dwight Yoakam,,1993,Country
88,1993,America's Least Wanted,Ugly Kid Joe,,1992,Pop/Rock
89,1993,Songs Of Faith And Devotion,Depeche Mode,,1993,Pop/Rock
90,1993,The One,Elton John,,1992,Pop/Rock
92,1993,Alibis,Tracy Lawrence,,1993,Country
93,1993,Sons Of Soul,Tony Toni Tone,,1993,R&B
95,1993,Ingenue,k.d. lang,,1992,Pop/Rock
96,1993,Garth Brooks,Garth Brooks,,1989,Country
98,1993,Never Let Me Go,Luther Vandross,,1993,R&B
99,1993,Watch Me,Lorrie Morgan,,1992,Country
100,1993,Live: The Way We Walk Volume 1,Genesis,,1992,Pop/Rock
