RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,1999,Millennium,Backstreet Boys,,1999,Pop/Rock
3,1999,Come On Over,Shania Twain,,1997,Country
4,1999,'N Sync,'N Sync,,1998,Pop/Rock
5,1999,Ricky Martin,Ricky Martin,,1999,Latin
6,1999,Double Live,Garth Brooks,,1998,Country
7,1999,Americana,The Offspring,,1998,Pop/Rock
9,1999,Significant Other,Limp Bizkit,,1999,Pop/Rock
10,1999,Fanmail,TLC,,1999,R&B
11,1999,The Miseducation Of Lauryn Hill,Lauryn Hill,,1998,R&B
12,1999,Backstreet Boys,Backstreet Boys,,1996,Pop/Rock
13,1999,Spirit,Jewel,,1998,Pop/Rock
14,1999,Devil Without A Cause,Kid Rock,,1998,Pop/Rock
17,1999,Believe,Cher,,1998,Pop/Rock
18,1999,400 Degreez,Juvenile,,1998,Rap
20,1999,Supernatural,Santana,,1999,Pop/Rock
21,1999,Flesh Of My Flesh Blood Of My Blood,DMX,,1998,Rap
22,1999,The Slim Shady LP,Eminem,,1999,Rap
23,1999,These Are Special Times,Celine Dion,,1998,Pop/Rock
24,1999,Whitey Ford Sings The Blues,Everlast,,1998,Rap
25,1999,98 Degrees And Rising,98 Degrees,,1998,Pop/Rock
26,1999,Never S-A-Y Never,Brandy,,1998,R&B
27,1999,Garage Inc.,Metallica,,1998,Pop/Rock
28,1999,Big Willie Style,Will Smith,,1997,Rap
29,1999,Dizzy Up The Girl,Goo Goo Dolls,,1998,Pop/Rock
30,1999,My Love Is Your Love,Whitney Houston,,1998,R&B
31,1999,R.,R. Kelly,,1995,R&B
32,1999,Follow The Leader,Korn,,1998,Pop/Rock
33,1999,It's Dark And Hell Is Hot,DMX,,1998,Rap
34,1999,Astro Lounge,Smash Mouth,,1999,Pop/Rock
35,1999,Ruff Ryders: Ryde Or Die Vol. 1,Various Artists,,1999,Rap
36,1999,Californication,Red Hot Chili Peppers,,1999,Pop/Rock
37,1999,14:59,Sugar Ray,,1999,Pop/Rock
38,1999,MY OWN PRISON,Creed,,1997,Pop/Rock
39,1999,Christina Aguilera,Christina Aguilera,,1999,Pop/Rock
40,1999,I Am...,Nas,,1999,Rap
41,1999,Enter The Dru,Dru Hill,,1998,R&B
42,1999,Mirrorball,Sarah McLachlan,,1999,Pop/Rock
43,1999,5,Lenny Kravitz,,1998,Pop/Rock
44,1999,Surfacing,Sarah McLachlan,,1997,Pop/Rock
45,1999,Enema Of The State,Blink-182,,1999,Pop/Rock
46,1999,Supposed Former Infatuation Junkie,Alanis Morissette,,1998,Pop/Rock
47,1999,Now,Various Artists,,2006,Pop/Rock
48,1999,A Place In The Sun,Tim McGraw,,1999,Country
49,1999,E.L.E.: Extinction Level Event: The Final World Front,Busta Rhymes,,1998,Rap
50,1999,On The 6,Jennifer Lopez,,1999,Pop/Rock
51,1999,Stunt,Barenaked Ladies,,1998,Pop/Rock
52,1999,Fly,Dixie Chicks,,1999,Country
53,1999,Hellbilly Deluxe,Rob Zombie,,1998,Pop/Rock
54,1999,Tarzan,Soundtrack,,1999,Stage & Screen
55,1999,City Of Angels,Soundtrack,,1998,Stage & Screen
56,1999,"Three Dollar Bill, Y'all",Limp Bizkit,,1997,Pop/Rock
57,1999,Tical 2000: Judgement Day,Method Man,,1998,Rap
58,1999,Home For Christmas,'N Sync,,1998,Pop/Rock
59,1999,Faith,Faith Hill,,1998,Country
60,1999,Godsmack,Godsmack,,1998,Pop/Rock
61,1999,A Little Bit Of Mambo,Lou Bega,,1999,Pop/Rock
62,1999,Sogno,Andrea Bocelli,,1999,Vocal
63,1999,Wild Wild West,Soundtrack,,1999,Stage & Screen
64,1999,The Rugrats Movie,Soundtrack,,1998,Stage & Screen
65,1999,Room 112,112,,1998,R&B
67,1999,Now 2,Various Artists,,1999,Pop/Rock
70,1999,Austin Powers: The Spy Who Shagged Me,Soundtrack,,1999,Stage & Screen
71,1999,Human Clay,Creed,,1999,Pop/Rock
73,1999,Romanza,Andrea Bocelli,,1997,Vocal
74,1999,Venni Vetti Vecci,Ja Rule,,1999,Rap
75,1999,Chef Aid: The South Park Album,Soundtrack,,1998,Comedy/Spoken
76,1999,The Globe Sessions,Sheryl Crow,,1998,Pop/Rock
77,1999,Before These Crowded Streets,Dave Matthews Band,,1998,Pop/Rock
80,1999,Tyrese,Tyrese,,1998,R&B
81,1999,No Limit Top Dogg,Snoop Dogg,,1999,Rap
82,1999,Runaway Bride,Soundtrack,,1999,Stage & Screen
83,1999,The Boy Is Mine,Monica,,1998,R&B
84,1999,Aquemini,OutKast,,1998,Rap
85,1999,B*Witched,B*Witched,,1998,Pop/Rock
86,1999,The Nu Nation Project,Kirk Franklin,,1998,Religious
87,1999,Yourself Or Someone Like You,matchbox 20,,1996,Pop/Rock
88,1999,The Writing's On The Wall,Destiny's Child,,1999,R&B
89,1999,Mary,Mary J. Blige,,1999,R&B
91,1999,The Matrix,Soundtrack,,1999,Stage & Screen
92,1999,Forever,Puff Daddy,,1999,Rap
93,1999,"You've Come A Long Way, Baby",Fatboy Slim,,1998,Electronic
94,1999,Doc's Da Name 2000,Redman,,1998,Rap
95,1999,Made Man,Silkk The Shocker,,1999,Rap
97,1999,Candyass,Orgy,,1998,Pop/Rock
98,1999,Ray Of Light,Madonna,,1998,Pop/Rock
100,1999,I'm Alright,Jo Dee Messina,,1998,Country
101,1999,Let's Talk About Love,Celine Dion,,1997,Pop/Rock
102,1999,Lonely Grill,Lonestar,,1999,Country
104,1999,Hello Nasty,Beastie Boys,,1998,Rap
105,1999,Always Never The Same,George Strait,,1999,Country
106,1999,A Place In The Sun,Lit,,1999,Pop/Rock
107,1999,Life,Soundtrack,,1999,Stage & Screen
111,1999,DJ Clue? The Professional,DJ Clue,,1998,Rap
112,1999,So Much For The Afterglow,Everclear,,1997,Pop/Rock
113,1999,The Prince Of Egypt,Soundtrack,,1998,Stage & Screen
114,1999,Notting Hill,Soundtrack,,1999,Stage & Screen
115,1999,Chopper City In The Ghetto,B.G.,,1999,Rap
116,1999,Touched By An Angel: The Album,Soundtrack,,1998,Stage & Screen
117,1999,Da Crime Family,Tru,,1999,Rap
118,1999,Tonight,Silk,,1999,R&B
119,1999,Chyna Doll,Foxy Brown,,1999,Rap
120,1999,Hope Floats,Soundtrack,,1998,Stage & Screen
121,1999,Back At One,Brian McKnight,,1999,R&B
124,1999,Dosage,Collective Soul,,1999,Pop/Rock
125,1999,www.thug.com,Trick Daddy,,1998,Rap
128,1999,Voice Of An Angel,Charlotte Church,,1998,Classical
129,1999,CELEBRITY SKIN,Hole,,1998,Pop/Rock
130,1999,Five,Five,,2004,Pop/Rock
131,1999,Version 2.0,Garbage,,1998,Pop/Rock
133,1999,Monster Ballads,Various Artists,,1999,Pop/Rock
136,1999,Murda Muzik,Mobb Deep,,1999,Rap
137,1999,The Dirty Boogie,The Brian Setzer Orchestra,,1998,Pop/Rock
138,1999,Third Eye Blind,Third Eye Blind,,1997,Pop/Rock
