RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,2001,1,The Beatles,,2000,Pop/Rock
2,2001,Hotshot,Shaggy,,2000,Reggae
3,2001,Black & Blue,Backstreet Boys,,2000,Pop/Rock
4,2001,Now 5,Various Artists,,N/A,Pop/Rock
5,2001,Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit,,2000,Pop/Rock
6,2001,[Hybrid Theory],Linkin Park,,2000,Pop/Rock
7,2001,Break The Cycle,Staind,,2001,Pop/Rock
8,2001,A Day Without Rain,Enya,,2000,New Age
9,2001,Celebrity,'N Sync,,2001,Pop/Rock
10,2001,Country Grammar,Nelly,,2000,Rap
11,2001,Human Clay,Creed,,1999,Pop/Rock
12,2001,Survivor,Destiny's Child,,2001,R&B
13,2001,Songs In A Minor,Alicia Keys,,2001,R&B
14,2001,Lovers Rock,Sade,,2000,R&B
15,2001,Now 6,Various Artists,,2001,Pop/Rock
16,2001,Stankonia,OutKast,,2000,Rap
17,2001,No Angel,Dido,,1999,Pop/Rock
18,2001,Greatest Hits,Lenny Kravitz,,2000,Pop/Rock
19,2001,tp-2.com,R. Kelly,,2000,R&B
20,2001,Everyday,Dave Matthews Band,,2001,Pop/Rock
21,2001,Greatest Hits,Tim McGraw,,2000,Country
23,2001,"O Brother, Where Art Thou?",Soundtrack,,2000,Stage & Screen
24,2001,Now 7,Various Artists,,2001,Pop/Rock
25,2001,All For You,Janet,,2001,R&B
26,2001,All That You Can't Leave Behind,U2,,2000,Pop/Rock
27,2001,Rule 3:36,Ja Rule,,2000,Rap
28,2001,Oops!...I Did It Again,Britney Spears,,2000,Pop/Rock
29,2001,Back For The First Time,Ludacris,,2000,Rap
30,2001,No Strings Attached,'N Sync,,2000,Pop/Rock
31,2001,Coyote Ugly,Soundtrack,,2000,Stage & Screen
32,2001,No Name Face,Lifehouse,,2000,Pop/Rock
33,2001,Save The Last Dance,Soundtrack,,2000,Stage & Screen
34,2001,Breathe,Faith Hill,,1999,Country
35,2001,Aaron's Party (Come Get It),Aaron Carter,,2000,Pop/Rock
36,2001,Beware Of Dog,Lil Bow Wow,,2000,Rap
37,2001,Tha Last Meal,Snoop Dogg,,2000,Rap
38,2001,Who Let The Dogs Out,Baha Men,,2000,Pop/Rock
40,2001,Until The End Of Time,2Pac,,2001,Rap
41,2001,Drops Of Jupiter,Train,,2001,Pop/Rock
42,2001,Fly,Dixie Chicks,,1999,Country
43,2001,The Better Life,3 Doors Down,,2000,Pop/Rock
44,2001,Who Is Jill Scott? Words And Sounds Vol. 1,Jill Scott,,2000,R&B
45,2001,Part III,112,,2001,R&B
46,2001,Mad Season,matchbox twenty,,2000,Pop/Rock
47,2001,Lateralus,Tool,,2001,Pop/Rock
