RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,1986,Whitney Houston,Whitney Houston,,1985,R&B
2,1986,Heart,Heart,,1985,Pop/Rock
4,1986,Afterburner,ZZ Top,,1985,Pop/Rock
5,1986,Brothers In Arms,Dire Straits,,1985,Pop/Rock
6,1986,Control,Janet Jackson,,1986,R&B
7,1986,Welcome To The Real World,Mr. Mister,,1985,Pop/Rock
8,1986,Promise,Sade,,1985,R&B
9,1986,No Jacket Required,Phil Collins,,1985,Pop/Rock
10,1986,Primitive Love,Miami Sound Machine,,1985,Pop/Rock
11,1986,Riptide,Robert Palmer,,1985,R&B
12,1986,The Broadway Album,Barbra Streisand,,1985,Vocal
13,1986,Knee Deep In The Hoopla,Starship,,1985,Pop/Rock
14,1986,5150,Van Halen,,1986,Pop/Rock
15,1986,Listen Like Thieves,INXS,,1985,Pop/Rock
16,1986,Born In The U.S.A.,Bruce Springsteen,,1984,Pop/Rock
17,1986,Play Deep,The Outfield,,1985,Pop/Rock
18,1986,In Square Circle,Stevie Wonder,,1985,R&B
19,1986,Songs From The Big Chair,Tears For Fears,,1985,Pop/Rock
21,1986,Top Gun,Soundtrack,,1986,Stage & Screen
23,1986,Nervous Night,Hooters,,1985,Pop/Rock
24,1986,Once Upon A Time,Simple Minds,,1985,Pop/Rock
25,1986,Miami Vice,Soundtrack,,1985,Stage & Screen
26,1986,All For Love,New Edition,,1985,R&B
28,1986,Tuff Enuff,The Fabulous Thunderbirds,,1986,Pop/Rock
29,1986,Under Lock And Key,Dokken,,1985,Pop/Rock
30,1986,The Ultimate Sin,Ozzy Osbourne,,1986,Pop/Rock
31,1986,Love Zone,Billy Ocean,,1986,R&B
32,1986,Winner In You,Patti LaBelle,,1986,R&B
33,1986,The Dream Of The Blue Turtles,Sting,,1985,Pop/Rock
34,1986,Raising Hell,Run-D.M.C.,,1986,Rap
35,1986,So,Peter Gabriel,,1986,Pop/Rock
36,1986,Raised On Radio,Journey,,1986,Pop/Rock
37,1986,True Blue,Madonna,,1986,Pop/Rock
38,1986,Little Creatures,Talking Heads,,1985,Pop/Rock
39,1986,Please,Pet Shop Boys,,1986,Pop/Rock
40,1986,Invisible Touch,Genesis,,1986,Pop/Rock
41,1986,Rock A Little,Stevie Nicks,,1985,Pop/Rock
42,1986,Rock Me Tonight,Freddie Jackson,,1985,R&B
43,1986,The Other Side Of Life,The Moody Blues,,1986,Pop/Rock
45,1986,Lovin' Every Minute Of It,Loverboy,,1985,Pop/Rock
46,1986,Who's Zoomin' Who,Aretha Franklin,,1985,R&B
47,1986,Street Called Desire,Rene & Angela,,1985,R&B
48,1986,How To Be A Zillionaire,ABC,,1985,Pop/Rock
49,1986,Picture Book,Simply Red,,1985,Pop/Rock
50,1986,Pretty In Pink,Soundtrack,,1986,Stage & Screen
51,1986,As The Band Turns,Atlantic Starr,,1986,R&B
52,1986,Like A Virgin,Madonna,,1984,Pop/Rock
53,1986,Greatest Hits,The Cars,,1985,Pop/Rock
54,1986,Falco 3,Falco,,1986,Pop/Rock
55,1986,World Machine,Level 42,,1985,Pop/Rock
56,1986,Theatre Of Pain,Motley Crue,,1985,Pop/Rock
57,1986,Here's To Future Days,Thompson Twins,,1985,Pop/Rock
58,1986,Strength,The Alarm,,1985,Pop/Rock
59,1986,Rapture,Anita Baker,,1986,R&B
60,1986,Greatest Hits,Alabama,,1986,Country
61,1986,Diamond Life,Sade,,1984,R&B
63,1986,Pictures For Pleasure,Charlie Sexton,,1985,Pop/Rock
64,1986,The Jets,The Jets,,1990,Pop/Rock
65,1986,Rocky IV,Soundtrack,,1985,Stage & Screen
66,1986,Reckless,Bryan Adams,,---, 
67,1986,Turbo,Judas Priest,,1986,Pop/Rock
68,1986,Lives In The Balance,Jackson Browne,,1986,Pop/Rock
69,1986,Back In The Highlife,Steve Winwood,,1986,R&B
70,1986,Dirty Work,The Rolling Stones,,1986,Pop/Rock
71,1986,Rockin' With The Rhythm,The Judds,,1985,Country
72,1986,Restless,Starpoint,,1985,R&B
73,1986,Hunting High And Low,a-ha,,1985,Pop/Rock
74,1986,Ready For the World,Ready For The World,,1985,R&B
75,1986,Luxury Of Life,Five Star,,1985,R&B
