RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,2000,No Strings Attached,'N Sync,,2000,Pop/Rock
2,2000,Supernatural,Santana,,1999,Pop/Rock
3,2000,The Marshall Mathers LP,Eminem,,2000,Rap
4,2000,Oops!...I Did It Again,Britney Spears,,2000,Pop/Rock
6,2000,Human Clay,Creed,,1999,Pop/Rock
7,2000,All The Way...A Decade Of Song,Celine Dion,,1999,Pop/Rock
8,2000,Christina Aguilera,Christina Aguilera,,1999,Pop/Rock
9,2000,Millennium,Backstreet Boys,,1999,Pop/Rock
10,2000,...And Then There Was X,DMX,,1999,Rap
11,2000,Fly,Dixie Chicks,,1999,Country
12,2000,UNLEASH THE DRAGON,Sisqo,,1999,R&B
13,2000,The Writing's On The Wall,Destiny's Child,,1999,R&B
14,2000,Country Grammar,Nelly,,2000,Rap
15,2000,Devil Without A Cause,Kid Rock,,1998,Pop/Rock
16,2000,Breathe,Faith Hill,,1999,Country
17,2000,...Baby One More Time,Britney Spears,,1999,Pop/Rock
18,2000,The Better Life,3 Doors Down,,2000,Pop/Rock
19,2000,Issues,Korn,,1999,Pop/Rock
20,2000,Come On Over,Shania Twain,,1997,Country
21,2000,On How Life Is,Macy Gray,,1999,R&B
22,2000,Significant Other,Limp Bizkit,,1999,Pop/Rock
24,2000,Californication,Red Hot Chili Peppers,,1999,Pop/Rock
25,2000,Affirmation,Savage Garden,,1999,Pop/Rock
26,2000,Now 3,Various Artists,,1999,Pop/Rock
27,2000,Infest,Papa Roach,,2000,Pop/Rock
28,2000,Brand New Day,Sting,,1999,Pop/Rock
29,2000,Europop,Eiffel 65,,1999,Electronic
30,2000,S & M,Metallica With Michael Kamen Conducting The San Francisco Symphony Orchestra,,---, 
31,2000,Rainbow,Mariah Carey,,1999,R&B
32,2000,Enema Of The State,Blink-182,,1999,Pop/Rock
33,2000,Now 4,Various Artists,,2000,Pop/Rock
34,2000,Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit,,2000,Pop/Rock
36,2000,A Little Bit Of Mambo,Lou Bega,,1999,Pop/Rock
38,2000,Marc Anthony,Marc Anthony,,1999,Latin
39,2000,Mad Season,matchbox twenty,,2000,Pop/Rock
40,2000,The History Of Rock,Kid Rock,,2000,Pop/Rock
41,2000,The Heat,Toni Braxton,,2000,R&B
42,2000,Ricky Martin,Ricky Martin,,1999,Latin
43,2000,Enrique,Enrique Iglesias,,1998,Latin
44,2000,Faith: A Holiday Album,Kenny G,,1999,Jazz
45,2000,Born Again,The Notorious B.I.G.,,1999,Rap
46,2000,Totally Hits,Various Artists,,1999,Pop/Rock
47,2000,A Place In The Sun,Tim McGraw,,1999,Country
48,2000,Back At One,Brian McKnight,,1999,R&B
49,2000,VOODOO,D'Angelo,,2000,R&B
50,2000,400 Degreez,Juvenile,,1998,Rap
51,2000,Sweet Kisses,Jessica Simpson,,1999,Pop/Rock
53,2000,The Battle Of Los Angeles,Rage Against The Machine,,1999,Pop/Rock
54,2000,The Slim Shady LP,Eminem,,1999,Rap
55,2000,Astro Lounge,Smash Mouth,,1999,Pop/Rock
56,2000,J.E. Heartbreak,Jagged Edge,,2000,R&B
57,2000,Lonely Grill,Lonestar,,1999,Country
59,2000,Mission: Impossible 2,Soundtrack,,2000,Stage & Screen
61,2000,Godsmack,Godsmack,,1998,Pop/Rock
62,2000,Tha G-Code,Juvenile,,1999,Rap
63,2000,BTNHResurrection,Bone Thugs-N-Harmony,,2000,Rap
64,2000,Music,Madonna,,2000,Pop/Rock
65,2000,I Got That Work,Big Tymers,,2000,Rap
66,2000,Can't Take Me Home,P!nk,,2000,Pop/Rock
68,2000,Wide Open Spaces,Dixie Chicks,,1998,Country
69,2000,Play,Moby,,1999,Electronic
70,2000,Who Let The Dogs Out,Baha Men,,2000,Pop/Rock
71,2000,Blue,Third Eye Blind,,1999,Pop/Rock
72,2000,Pokemon: The First Movie,Soundtrack,,1999,Stage & Screen
73,2000,Return Of Saturn,No Doubt,,2000,Pop/Rock
74,2000,Hooray For Boobies,Bloodhound Gang,,2000,Pop/Rock
75,2000,Let's Get Ready,Mystikal,,2000,Rap
76,2000,Latest Greatest Straitest Hits,George Strait,,2000,Country
77,2000,LFO,LFO,,1999,Pop/Rock
78,2000,Ryde Or Die Vol. II,Various Artists,,2000,Rap
79,2000,Under The Influence,Alan Jackson,,1999,Country
80,2000,The Magic Of Christmas,Garth Brooks,,1999,Country
81,2000,Whitney: The Greatest Hits,Whitney Houston,,2000,R&B
82,2000,Everything You Want,Vertical Horizon,,1999,Pop/Rock
83,2000,Crush,Bon Jovi,,2000,Pop/Rock
84,2000,Skull & Bones,Cypress Hill,,2000,Rap
86,2000,NASTRADAMUS,Nas,,1999,Rap
87,2000,Mary,Mary J. Blige,,1999,R&B
88,2000,Nutty Professor II: The Klumps,Soundtrack,,2000,Stage & Screen
90,2000,Mer De Noms,A Perfect Circle,,2000,Pop/Rock
92,2000,98 Degrees And Rising,98 Degrees,,1998,Pop/Rock
93,2000,'N Sync,'N Sync,,1998,Pop/Rock
95,2000,The Whole Shebang,SHeDAISY,,1999,Country
96,2000,Goodfellas,504 Boyz,,2000,Rap
97,2000,Emotional,Carl Thomas,,2000,R&B
98,2000,Slipknot,Slipknot,,1999,Pop/Rock
99,2000,War & Peace Vol. 2 (The Peace Disc),Ice Cube,,2000,Rap
100,2000,Mirror Mirror,Kelly Price,,2000,R&B
101,2000,On The 6,Jennifer Lopez,,1999,Pop/Rock
102,2000,Revelation,98 Degrees,,2000,Pop/Rock
103,2000,Inside Job,Don Henley,,2000,Pop/Rock
104,2000,Stankonia,OutKast,,2000,Rap
105,2000,Unrestricted,Da Brat,,2000,Rap
107,2000,Make Yourself,Incubus,,1999,Pop/Rock
108,2000,Beastie Boys Anthology: The Sounds Of Science,Beastie Boys,,1999,Rap
109,2000,Next Friday,Soundtrack,,1999,Stage & Screen
110,2000,Life Story,Black Rob,,1999,Rap
111,2000,Listener Supported,Dave Matthews Band,,1999,Pop/Rock
113,2000,Rule 3:36,Ja Rule,,2000,Rap
114,2000,I Hope You Dance,Lee Ann Womack,,2000,Country
115,2000,One Voice,Billy Gilman,,2000,Country
116,2000,So Real,Mandy Moore,,1999,Pop/Rock
117,2000,There Is Nothing Left To Lose,Foo Fighters,,1999,Pop/Rock
118,2000,LeAnn Rimes,LeAnn Rimes,,1999,Country
119,2000,Charlotte Church,Charlotte Church,,1999,Classical
120,2000,Mountain High...Valley Low,Yolanda Adams,,1999,Religious
121,2000,Dizzy Up The Girl,Goo Goo Dolls,,1998,Pop/Rock
122,2000,G,Gerald Levert,,1999,R&B
123,2000,Yeeeah Baby,Big Punisher,,2000,Rap
125,2000,Grammy Nominees 2000,Various Artists,,2000,Pop/Rock
126,2000,Mirrorball,Sarah McLachlan,,1999,Pop/Rock
127,2000,Two Against Nature,Steely Dan,,2000,Pop/Rock
128,2000,World Wrestling Federation: WWF The Music Volume 4,Jim Johnston,,---, 
129,2000,So Good Together,Reba McEntire,,1999,Country
130,2000,Voice Of An Angel,Charlotte Church,,1998,Classical
131,2000,Tarzan,Soundtrack,,1999,Stage & Screen
132,2000,This Desert Life,Counting Crows,,1999,Pop/Rock
133,2000,The Sickness,Disturbed,,2000,Pop/Rock
134,2000,Totally Hits 2,Various Artists,,2000,Pop/Rock
135,2000,Coyote Ugly,Soundtrack,,2000,Stage & Screen
