RANK,ALBUM,ARTIST,DATE,GENRE
1,I Dreamed A Dream,Susan Boyle,2009,Vocal
2,Recovery,Eminem,2010,Rap
3,Need You Now,Lady Antebellum,2010,Country
4,The Fame,Lady Gaga,2008,Pop/Rock
5,My World 2.0,Justin Bieber,2010,Pop/Rock
6,My Christmas,Andrea Bocelli,2009,Holiday
7,Fearless,Taylor Swift,2008,Country
8,My World (EP),Justin Bieber,2009,Pop/Rock
9,Speak Now,Taylor Swift,2010,Country
10,The E.N.D.,The Black Eyed Peas,2009,Pop/Rock
11,The Element Of Freedom,Alicia Keys,2009,R&B
12,Play On,Carrie Underwood,2009,Country
13,The Fame Monster (EP),Lady Gaga,2009,Pop/Rock
14,Soldier Of Love,Sade,2010,R&B
15,Crazy Love,Michael Buble,2009,Vocal
16,Thank Me Later,Drake,2010,Rap
17,The Foundation,Zac Brown Band,2008,Country
18,Raymond V Raymond,Usher,2010,R&B
19,Battle Studies,John Mayer,2009,Pop/Rock
20,Animal,Ke$ha,2010,Pop/Rock
21,RATED R,Rihanna,2009,Pop/Rock
22,Michael Jackson's This Is It (Soundtrack),Michael Jackson,2009,R&B
23,Glee: Season One: The Music Volume 1,Soundtrack,2009,Pop/Rock
24,STRONGER withEach Tear,Mary J. Blige,2009,R&B
25,Lady Antebellum,Lady Antebellum,2008,Country
26,Glee: Season One: The Music Volume 2,Soundtrack,2009,Pop/Rock
27,Revolution,Miranda Lambert,2009,Country
28,The Fall,Norah Jones,2009,Pop/Rock
29,For Your Entertainment,Adam Lambert,2009,Pop/Rock
30,NOW 32,Various Artists,2009,Pop/Rock
31,The Twilight Saga: New Moon,Soundtrack,2009,Pop/Rock
32,Ocean Eyes,Owl City,2009,Electronic
33,To The Sea,Jack Johnson,2010,Pop/Rock
34,Rebirth,Lil Wayne,2010,Rap
35,Alvin And The Chipmunks: The Squeakquel,Soundtrack,2009,Stage & Screen
36,NOW 33,Various Artists,2010,Pop/Rock
37,Until The Whole World Hears,Casting Crowns,2009,Religious
38,The Time Of Our Lives (EP),Miley Cyrus,2009,Pop/Rock
39,Number Ones,Michael Jackson,2003,R&B
40,Teenage Dream,Katy Perry,2010,Pop/Rock
41,Wide Open,Jason Aldean,2009,Country
42,Dark Horse,Nickelback,2008,Pop/Rock
43,Relapse,Eminem,2009,Rap
44,The Blueprint 3,JAY-Z,2009,Rap
45,Battle Of The Sexes,Ludacris,2010,Rap
46,We Are Young Money,Young Money,2009,Rap
47,Kiss And Tell,Selena Gomez & The Scene,2009,Pop/Rock
48,Still Standing,Monica,2010,R&B
50,Only By The Night,Kings Of Leon,2008,Pop/Rock
51,Ready,Trey Songz,2009,R&B
52,"Passion, Pain & Pleasure",Trey Songz,2010,R&B
53,A Thousand Suns,Linkin Park,2010,Pop/Rock
54,Live At The Troubadour,Carole King & James Taylor,2010,Pop/Rock
55,Teflon Don,Rick Ross,2010,Rap
56,Learn To Live,Darius Rucker,2008,Country
57,"Save Me, San Francisco",Train,2009,Pop/Rock
58,The Twilight Saga: Eclipse,Soundtrack,2010,Pop/Rock
59,Leave This Town,Daughtry,2009,Pop/Rock
60,I Am Not A Human Being,Lil Wayne,2010,Rap
61,B.o.B Presents: The Adventures Of Bobby Ray,B.o.B,2010,Rap
62,Taylor Swift,Taylor Swift,2006,Country
63,NOW 34,Various Artists,2010,Pop/Rock
64,Funhouse,P!nk,2008,Pop/Rock
65,Iron Man 2 (Soundtrack),AC/DC,2010,Pop/Rock
66,Southern Voice,Tim McGraw,2009,Country
