RANK,ALBUM,ARTIST,DATE,GENRE
67,Before I Self-Destruct,50 Cent,2009,Rap
68,Sex Therapy: The Session,Robin Thicke,2009,R&B
69,The Incredible Machine,Sugarland,2010,Country
70,The Taylor Swift Holiday Collection (EP),Taylor Swift,2007,Country
71,The Oracle,Godsmack,2010,Pop/Rock
72,Contra,Vampire Weekend,2010,Pop/Rock
73,You Get What You Give,Zac Brown Band,2010,Country
74,Awake,Skillet,2009,Religious
75,Hemingway's Whiskey,Kenny Chesney,2010,Country
76,Nightmare,Avenged Sevenfold,2010,Pop/Rock
77,NOW 35,Various Artists,2010,Pop/Rock
78,The State Vs. Radric Davis,Gucci Mane,2009,Rap
79,Brothers,The Black Keys,2010,Pop/Rock
80,The Suburbs,Arcade Fire,2010,Pop/Rock
81,Asylum,Disturbed,2010,Pop/Rock
82,Hope For Haiti Now,Various Artists,2010,Pop/Rock
83,Sigh No More,Mumford & Sons,2009,Pop/Rock
84,I Am...Sasha Fierce,Beyonce,2008,R&B
85,Noel,Josh Groban,2007,Vocal
86,Another Round,Jaheim,2010,R&B
87,Peace On Earth,Casting Crowns,2008,Religious
88,The Circle,Bon Jovi,2009,Pop/Rock
89,Plastic Beach,Gorillaz,2010,Pop/Rock
90,If On A Winter's Night...,Sting,2009,Pop/Rock
91,Doin' My Thing,Luke Bryan,2009,Country
92,"Glee: The Music, Journey To Regionals (EP)",Soundtrack,2010,Pop/Rock
93,WOW Hits 2010,Various Artists,2009,Religious
94,Brand New Eyes,Paramore,2009,Pop/Rock
95,Here I Am,Marvin Sapp,2010,Religious
96,Wolfgang Amadeus Phoenix,Phoenix,2009,Pop/Rock
97,Come Around Sundown,Kings Of Leon,2010,Pop/Rock
98,The Resistance,Muse,2009,Pop/Rock
99,Mojo,Tom Petty And The Heartbreakers,2010,Pop/Rock
100,The Gift,Susan Boyle,2010,Vocal
101,Tonight,tobyMac,2010,Religious
102,Dear Agony,Breaking Benjamin,2009,Pop/Rock
103,Haywire,Josh Turner,2010,Country
104,The Sound Of Madness,Shinedown,2008,Pop/Rock
105,Back To Me,Fantasia,2010,R&B
106,Journey's Greatest Hits,Journey,1988,Pop/Rock
107,Hannah Montana: The Movie,Soundtrack,N/A,N/A
108,Twilight,Soundtrack,2008,Stage & Screen
109,Untitled,R. Kelly,2009,R&B
110,American Saturday Night,Brad Paisley,2009,Country
111,Them Crooked Vultures,Them Crooked Vultures,2009,Pop/Rock
112,The Essential Michael Jackson,Michael Jackson,2005,R&B
113,Graffiti,Chris Brown,2009,R&B
114,She Wolf,Shakira,2009,Latin
115,Kris Allen,Kris Allen,---, 
116,This Is War,Thirty Seconds To Mars,2009,Pop/Rock
117,The Bridge,Melanie Fiona,2009,R&B
118,Hands All Over,Maroon 5,2010,Pop/Rock
119,NEW AMERYKAH: Part Two: Return Of The Ankh,Erykah Badu,2010,R&B
120,Crazy Heart,Soundtrack,2010,Country
121,Kidz Bop 18,Kidz Bop Kids,2010,Children's
122,So Far Gone (EP),Drake,2009,Rap
123,My Kinda Party,Jason Aldean,2010,Country
124,Valleys Of Neptune,Jimi Hendrix,2010,Pop/Rock
125,Easton Corbin,Easton Corbin,2010,Country
126,Broken Bells,Broken Bells,2010,Pop/Rock
127,Man On The Moon: The End Of Day,Kid Cudi,2009,Rap
128,Laws Of Illusion,Sarah McLachlan,2010,Pop/Rock
129,Defying Gravity,Keith Urban,2009,Country
130,Can't Be Tamed,Miley Cyrus,2010,Pop/Rock
131,#1s ... And Then Some,Brooks & Dunn,2009,Country
132,Breakthrough,Colbie Caillat,2009,Pop/Rock
133,Good Evening New York City,Paul McCartney,2009,Pop/Rock
134,Night Castle,Trans-Siberian Orchestra,2009,Pop/Rock
135,Malice N Wonderland,Snoop Dogg,2009,Rap
136,Jason Derulo,Jason Derulo,2010,Pop/Rock
137,Thriller,Michael Jackson,1982,R&B
138,Kidz Bop 17,Kidz Bop Kids,2010,Children's
139,Bionic,Christina Aguilera,2010,Pop/Rock
140,Intimacy: Album III,Kem,N/A,N/A
141,2010 Grammy Nominees,Various Artists,2010,R&B
142,Keep On Loving You,Reba,2009,Country
143,Waking Up,OneRepublic,2009,Pop/Rock
144,A Year Without Rain,Selena Gomez & The Scene,2010,Pop/Rock
145,Legend: The Best Of Bob Marley And The Wailers,Bob Marley And The Wailers,1984,Reggae
146,"Glee: The Music, The Power Of Madonna (EP)",Soundtrack,2010,Pop/Rock
147,BLACKsummers'night,Maxwell,2016,R&B
148,Greatest Hits II,Kenny Chesney,2009,Country
149,Timbaland Presents Shock Value II,Timbaland,2009,Pop/Rock
150,Love On The Inside,Sugarland,2008,Country
151,The Man I Want To Be,Chris Young,2009,Country
152,War Is The Answer,Five Finger Death Punch,2009,Pop/Rock
153,Life Starts Now,Three Days Grace,2009,Pop/Rock
154,Scream,Ozzy Osbourne,2010,Pop/Rock
155,Hillbilly Bone (EP),Blake Shelton,2010,Country
156,Christmas: 25th Anniversary Collection,Mannheim Steamroller,2009,New Age
158,The Generous Mr. Lovewell,MercyMe,2010,Pop/Rock
159,Greatest Hits,Foo Fighters,2009,Pop/Rock
160,"Charleston, SC 1966",Darius Rucker,2010,Country
161,That Lonesome Song,Jamey Johnson,2008,Country
162,Soulbook,Rod Stewart,2009,Pop/Rock
163,Gold And Green,Sugarland,2009,Country
164,Unstoppable,Rascal Flatts,2009,Country
165,Greatest Hits,Guns N' Roses,2004,Pop/Rock
166,Memento Mori,Flyleaf,2009,Pop/Rock
167,Get Off On The Pain,Gary Allan,2010,Country
168,Fever,Bullet For My Valentine,2010,Pop/Rock
169,Camp Rock 2: The Final Jam,Soundtrack,2010,Stage & Screen
170,Distant Relatives,"Nas & Damian ""Jr. Gong"" Marley",---, 
171,It's Time,Michael Buble,2005,Vocal
172,Backspacer,Pearl Jam,2009,Pop/Rock
173,Buffet Hotel,Jimmy Buffett,2009,Pop/Rock
174,Black Gives Way To Blue,Alice In Chains,2009,Pop/Rock
175,Kaleidoscope Heart,Sara Bareilles,2010,Pop/Rock
176,Exile On Main St.,The Rolling Stones,1972,Pop/Rock
177,God Willin' & The Creek Don't Rise,Ray Lamontagne And The Pariah Dogs,2010,Pop/Rock
178,American Ride,Toby Keith,2009,Country
179,The Sea,Corinne Bailey Rae,2010,R&B
180,The Guitar Song,Jamey Johnson,2010,Country
181,Tha Carter III,Lil Wayne,2008,Rap
182,All Or Nothing,Jay Sean,2009,R&B
183,Sir Lucious Left Foot: The Son Of Chico Dusty,Big Boi,2010,Rap
184,Let It Snow! (EP),Michael Buble,2003,Holiday
185,Euphoria,Enrique Iglesias,2010,Latin
186,Versus (EP),Usher,---, 
187,Guitar Heaven: The Greatest Guitar Classics Of All Time,Santana,2010,Pop/Rock
188,Call Me Irresponsible,Michael Buble,2007,Vocal
189,Cage The Elephant,Cage The Elephant,---, 
190,Glory In The Highest: Christmas Songs Of Worship,Chris Tomlin,2009,Religious
191,Full Circle,Creed,2009,Pop/Rock
192,Christmas Cheers,Straight No Chaser,2009,Vocal
193,Man On The Moon II: The Legend Of Mr. Rager,Kid Cudi,2010,Rap
194,Freight Train,Alan Jackson,2010,Country
195,Songs From The Heart,Celtic Woman,2010,International
196,Echo,Leona Lewis,2009,Pop/Rock
197,Up On The Ridge,Dierks Bentley,2010,Country
198,The Script,The Script,2008,Pop/Rock
199,Bullets In The Gun,Toby Keith,2010,Country
200,JUDGE JERROD & THE HUNG JURY,Jerrod Niemann,2010,Country
