RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,2009,Fearless,Taylor Swift,,2008,Country
2,2009,I Am...Sasha Fierce,Beyonce,,2008,R&B
3,2009,Dark Horse,Nickelback,,2008,Pop/Rock
4,2009,Twilight,Soundtrack,,2008,Stage & Screen
5,2009,Hannah Montana: The Movie,Soundtrack,,N/A,Pop/Rock
6,2009,Circus,Britney Spears,,2008,Pop/Rock
7,2009,808s & Heartbreak,Kanye West,,2008,Rap
8,2009,The Fame,Lady Gaga,,2008,Pop/Rock
9,2009,Relapse,Eminem,,2009,Rap
10,2009,The E.N.D.,The Black Eyed Peas,,2009,Pop/Rock
11,2009,Only By The Night,Kings Of Leon,,2008,Pop/Rock
12,2009,The Blueprint 3,JAY-Z,,2009,Rap
13,2009,David Cook,David Cook,,2008,Pop/Rock
14,2009,The Foundation,Zac Brown Band,,2008,Country
15,2009,NOW 29,Various Artists,,2008,Pop/Rock
16,2009,Funhouse,P!nk,,2008,Pop/Rock
17,2009,Intuition,Jamie Foxx,,2008,R&B
18,2009,No Line On The Horizon,U2,,2009,Pop/Rock
19,2009,Unstoppable,Rascal Flatts,,2009,Country
20,2009,A Different Me,Keyshia Cole,,2008,R&B
21,2009,Big Whiskey And The GrooGrux King,Dave Matthews Band,,2009,Pop/Rock
22,2009,BLACKsummers'night,Maxwell,,2016,R&B
23,2009,Love On The Inside,Sugarland,,2008,Country
24,2009,Taylor Swift,Taylor Swift,,2006,Country
25,2009,21st Century Breakdown,Green Day,,2009,Pop/Rock
26,2009,Paper Trail,T.I.,,2008,Rap
27,2009,Learn To Live,Darius Rucker,,2008,Country
28,2009,We Sing. We Dance. We Steal Things.,Jason Mraz,,2008,Pop/Rock
29,2009,I Look To You,Whitney Houston,,2009,R&B
30,2009,High School Musical 3: Senior Year,Soundtrack,,2008,Stage & Screen
31,2009,Black Ice,AC/DC,,2008,Pop/Rock
32,2009,NOW 31,Various Artists,,2009,Pop/Rock
33,2009,All I Ever Wanted,Kelly Clarkson,,2009,Pop/Rock
34,2009,The Time Of Our Lives (EP),Miley Cyrus,,2009,Pop/Rock
35,2009,The Fray,The Fray,,2009,Pop/Rock
36,2009,Wide Open,Jason Aldean,,2009,Country
37,2009,Leave This Town,Daughtry,,2009,Pop/Rock
38,2009,NOW 30,Various Artists,,2009,Pop/Rock
39,2009,Viva La Vida or Death And All His Friends,Coldplay,,2008,Pop/Rock
40,2009,Lady Antebellum,Lady Antebellum,,2008,Country
41,2009,The Promise,Il Divo,,2008,Vocal
42,2009,Freedom,Akon,,2008,R&B
43,2009,Michael Jackson's This Is It (Soundtrack),Michael Jackson,,2009,R&B
44,2009,Day & Age,The Killers,,2008,Pop/Rock
45,2009,Rock N Roll Jesus,Kid Rock,,2007,Pop/Rock
46,2009,Mamma Mia!,Soundtrack,,2008,Stage & Screen
47,2009,Defying Gravity,Keith Urban,,2009,Country
48,2009,Crazy Love,Michael Buble,,2009,Vocal
49,2009,Tha Carter III,Lil Wayne,,2008,Rap
50,2009,Theater Of The Mind,Ludacris,,2008,Rap
51,2009,One Of The Boys,Katy Perry,,2008,Pop/Rock
52,2009,Greatest Hits Volume 1,Rascal Flatts,,2008,Country
53,2009,The Sound Of Madness,Shinedown,,2008,Pop/Rock
54,2009,"Lines, Vines And Trying Times",Jonas Brothers,,2009,Pop/Rock
55,2009,Chinese Democracy,Guns N' Roses,,2008,Pop/Rock
56,2009,And Winter Came...,Enya,,2008,New Age
