RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,1976,Frampton Comes Alive,Peter Frampton,,1976,Pop/Rock
2,1976,Fleetwood Mac,Fleetwood Mac,,1975,Pop/Rock
6,1976,The Dream Weaver,Gary Wright,,1975,Pop/Rock
7,1976,Desire,Bob Dylan,,1976,Pop/Rock
8,1976,A Night At The Opera,Queen,,1975,Pop/Rock
10,1976,Gratitude,"Earth, Wind & Fire",,1975,R&B
11,1976,Face The Music,Electric Light Orchestra,,1975,Pop/Rock
12,1976,Brass Construction,Brass Construction,,1975,R&B
13,1976,Tryin' To Get The Feelin',Barry Manilow,,1975,Pop/Rock
14,1976,Still Crazy After All These Years,Paul Simon,,1975,Pop/Rock
15,1976,Toys In The Attic,Aerosmith,,1975,Pop/Rock
16,1976,Red Octopus,Jefferson Starship,,1975,Pop/Rock
17,1976,Silk Degrees,Boz Scaggs,,1976,Pop/Rock
18,1976,Fool For The City,Foghat,,1975,Pop/Rock
19,1976,Breezin',George Benson,,1976,Jazz
20,1976,Eric Carmen,Eric Carmen,,2014,Pop/Rock
23,1976,Look Out For #1,The Brothers Johnson,,1976,R&B
24,1976,Main Course,Bee Gees,,1975,Pop/Rock
25,1976,Love Will Keep Us Together,Captain & Tennille,,1975,Pop/Rock
26,1976,Windsong,John Denver,,1975,Pop/Rock
27,1976,Helen Reddy's Greatest Hits,Helen Reddy,,1975,Vocal
28,1976,Ted Nugent,Ted Nugent,,---, 
29,1976,One Of These Nights,Eagles,,1975,Pop/Rock
31,1976,Alive,KISS,,1975,Pop/Rock
32,1976,Mothership Connection,Parliament,,1975,R&B
33,1976,Greatest Hits,John Denver,,1973,Pop/Rock
34,1976,The Salsoul Orchestra,The Salsoul Orchestra,,1975,R&B
35,1976,Black And Blue,The Rolling Stones,,1976,Pop/Rock
36,1976,City Life,The Blackbyrds,,1975,R&B
37,1976,Rock Of The Westies,Elton John,,1975,Pop/Rock
38,1976,Greatest Hits,Seals & Crofts,,1975,Pop/Rock
39,1976,Takin' It To The Streets,The Doobie Brothers,,1976,Pop/Rock
40,1976,Song Of Joy,Captain & Tennille,,1976,Pop/Rock
41,1976,Diana Ross,Diana Ross,,1980,R&B
42,1976,Family Reunion,The O'Jays,,1975,R&B
43,1976,Movin' On,Commodores,,1975,R&B
44,1976,Rocks,Aerosmith,,1976,Pop/Rock
45,1976,Venus And Mars,Wings,,1975,Pop/Rock
46,1976,Fly Like An Eagle,The Steve Miller Band,,1976,Pop/Rock
47,1976,Presence,Led Zeppelin,,1976,Pop/Rock
48,1976,Aerosmith,Aerosmith,,1973,Pop/Rock
49,1976,Dreamboat Annie,Heart,,1976,Pop/Rock
50,1976,Breakaway,Art Garfunkel,,1975,N/A
51,1976,Station To Station,David Bowie,,1976,Pop/Rock
52,1976,Get Closer,Seals & Crofts,,1976,Pop/Rock
53,1976,I Want You,Marvin Gaye,,1976,R&B
55,1976,Struttin' My Stuff,Elvin Bishop,,1975,Pop/Rock
56,1976,Eargasm,Johnnie Taylor,,1976,R&B
57,1976,Firefall,Firefall,,1976,Pop/Rock
58,1976,Love To Love You Baby,Donna Summer,,1975,R&B
59,1976,Feels So Good,"Grover Washington, Jr.",,1975,Jazz
60,1976,Natalie,Natalie Cole,,1976,R&B
61,1976,Harvest For The World,The Isley Brothers,,1976,R&B
62,1976,Manhattans,The Manhattans,,1976,R&B
63,1976,The Hungry Years,Neil Sedaka,,1975,Pop/Rock
64,1976,City Of Angels,The Miracles,,1975,R&B
65,1976,Bay City Rollers,Bay City Rollers,,1975,Pop/Rock
66,1976,Who Loves You,Four Seasons,,1975,Pop/Rock
67,1976,Who I Am,David Ruffin,,1975,R&B
68,1976,Run With The Pack,Bad Company,,1976,Pop/Rock
70,1976,Royal Scam,Steely Dan,,1976,Pop/Rock
71,1976,Chicago X,Chicago,,1976,Pop/Rock
72,1976,Tales Of Mystery & Imagination,The Alan Parsons Project,,1976,Pop/Rock
73,1976,Hair Of The Dog,Nazareth,,1975,Pop/Rock
75,1976,Amigos,Santana,,1976,Pop/Rock
76,1976,By Numbers,The Who,,1975,Pop/Rock
77,1976,Jailbreak,Thin Lizzy,,1976,Pop/Rock
78,1976,Never Gonna Let You Go,Vicki Sue Robinson,,1976,R&B
79,1976,A Love Trilogy,Donna Summer,,1976,R&B
80,1976,Beautiful Noise,Neil Diamond,,1976,Pop/Rock
81,1976,Desolation Boulevard,Sweet,,1974,Pop/Rock
82,1976,Rastaman Vibration,Bob Marley And The Wailers,,1976,Reggae
83,1976,Between The Lines,Janis Ian,,1975,Pop/Rock
84,1976,All Things In Time,Lou Rawls,,1976,R&B
86,1976,Mahogany/soundtrack,Diana Ross,,1975,Stage & Screen
87,1976,Wake Up Everybody,Harold Melvin And The Blue Notes,,1975,R&B
88,1976,Spitfire,Jefferson Starship,,1976,Pop/Rock
89,1976,Honey,Ohio Players,,1975,R&B
90,1976,Rock 'n' Roll Music,The Beatles,,1976,Pop/Rock
91,1976,Silver Convention,Silver Convention,,1976,R&B
92,1976,Sky High,Tavares,,1976,R&B
93,1976,Summertime Dream,Gordon Lightfoot,,1976,Folk
94,1976,Destroyer,KISS,,1976,Pop/Rock
95,1976,Changesonebowie,David Bowie,,1976,R&B
96,1976,Places And Spaces,Donald Byrd,,1975,Jazz
97,1976,Elite Hotel,Emmylou Harris,,1975,Country
98,1976,Starland Vocal Band,Starland Vocal Band,,1976,Pop/Rock
99,1976,Greatest Hits,Elton John,,1974,Pop/Rock
100,1976,Sparkle/soundtrack,Aretha Franklin,,1976,R&B
