RANK,ALBUM,ARTIST,DATE,GENRE
1,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,2019,Pop/Rock
2,"Thank U, Next",Ariana Grande,2019,Pop/Rock
3,A Star Is Born (Soundtrack),Lady Gaga & Bradley Cooper,2018,Stage & Screen
4,Lover,Taylor Swift,2019,Pop/Rock
5,beerbongs & bentleys,Post Malone,2018,Rap
6,Scorpion,Drake,2018,Rap
7,Championships,Meek Mill,2018,Rap
8,ASTROWORLD,Travis Scott,2018,Rap
9,Hollywood's Bleeding,Post Malone,2019,Rap
10,Hoodie SZN,A Boogie Wit da Hoodie,2018,Rap
11,This One's For You,Luke Combs,2017,Country
12,Bohemian Rhapsody (Soundtrack),Queen,2018,Stage & Screen
13,Free Spirit,Khalid,2019,R&B
14,The Greatest Showman,Soundtrack,2017,Stage & Screen
15,Spider-Man: Into The Spider-Verse,Soundtrack,2018,Rap
16,Dont Smile At Me,Billie Eilish,2017,Pop/Rock
17,Goodbye & Good Riddance,Juice WRLD,2018,Rap
18,I Am > I Was,21 Savage,2018,Rap
19,Invasion Of Privacy,Cardi B,2018,Rap
20,Cuz I Love You,Lizzo,2019,Pop/Rock
21,?,XXXTENTACION,2018,Rap
22,Death Race For Love,Juice WRLD,2019,Rap
23,Drip Harder,Lil Baby & Gunna,2018,Rap
24,Stoney,Post Malone,2016,Rap
25,Happiness Begins,Jonas Brothers,2019,Pop/Rock
26,Dan + Shay,Dan + Shay,2018,Country
27,Greatest Hits,Queen,2004,Pop/Rock
28,Baby On Baby,DaBaby,2019,Rap
29,Hamilton: An American Musical,Original Broadway Cast,2015,Stage & Screen
30,Look Up Child,Lauren Daigle,2018,Religious
31,÷ (Divide),Ed Sheeran,2017,Pop/Rock
32,Sweetener,Ariana Grande,2018,Pop/Rock
33,Dying To Live,Kodak Black,2018,Rap
34,Diamonds,Elton John,2017,Pop/Rock
35,No.6 Collaborations Project,Ed Sheeran,2019,Pop/Rock
36,American Teen,Khalid,2017,R&B
37,Indigo,Chris Brown,2019,R&B
38,Shawn Mendes,Shawn Mendes,2018,Pop/Rock
39,Pray For The Wicked,Panic! At The Disco,2018,Pop/Rock
40,Tha Carter V,Lil Wayne,2018,Rap
41,Ella Mai,Ella Mai,2018,R&B
42,Experiment,Kane Brown,2018,Country
43,X 100PRE,Bad Bunny,2018,Latin
44,Origins,Imagine Dragons,2018,Pop/Rock
45,Street Gossip,Lil Baby,2018,Rap
46,7 (EP),Lil Nas X,2019,Rap
47,Not All Heroes Wear Capes,Metro Boomin,2018,Rap
48,So Much Fun,Young Thug,2019,Rap
49,Traveller,Chris Stapleton,2015,Country
50,Evolve,Imagine Dragons,2017,Pop/Rock
51,Map Of The Soul: PERSONA,BTS,2019,Pop/Rock
52,Kamikaze,Eminem,2018,Rap
53,Victory Lap,Nipsey Hussle,2018,Rap
