RANK,ALBUM,ARTIST,DATE,GENRE
1,DAMN.,Kendrick Lamar,2017,Rap
2,24K Magic,Bruno Mars,2016,R&B
3,Starboy,The Weeknd,2016,R&B
4,÷ (Divide),Ed Sheeran,2017,Pop/Rock
5,More Life,Drake,2017,Rap
6,Moana,Soundtrack,2016,Stage & Screen
7,Stoney,Post Malone,2016,Rap
8,Culture,Migos,2017,Rap
9,Hamilton: An American Musical,Original Broadway Cast,2015,Stage & Screen
10,4 Your Eyez Only,J. Cole,2016,Rap
11,Trolls,Soundtrack,2016,Stage & Screen
12,Hardwired...To Self-Destruct,Metallica,2016,Pop/Rock
13,Views,Drake,2016,Rap
14,American Teen,Khalid,2017,R&B
15,FUTURE,Future,2017,Rap
16,A Pentatonix Christmas,Pentatonix,2016,Holiday
17,Blurryface,twenty one pilots,2015,Pop/Rock
18,Birds In The Trap Sing McKnight,Travis Scott,2016,Rap
19,Traveller,Chris Stapleton,2015,Country
20,I Decided.,Big Sean,2017,Rap
21,Memories...Do Not Open,The Chainsmokers,2017,Pop/Rock
22,Illuminate,Shawn Mendes,2016,Pop/Rock
23,ANTI,Rihanna,2016,Pop/Rock
24,Evolve,Imagine Dragons,2017,Pop/Rock
25,Everybody,Logic,2017,Rap
26,25,Adele,2015,Pop/Rock
27,Ripcord,Keith Urban,2016,Country
28,From A Room: Volume 1,Chris Stapleton,2017,Country
29,Sremmlife 2,Rae Sremmurd,2016,Rap
30,Collage (EP),The Chainsmokers,2016,Electronic
31,Grateful,DJ Khaled,2017,Rap
32,"""Awaken, My Love!""",Childish Gambino,2016,R&B
33,Coloring Book,Chance The Rapper,2016,Rap
34,Suicide Squad: The Album,Soundtrack,2016,Stage & Screen
35,Joanne,Lady Gaga,2016,Pop/Rock
36,4:44,JAY-Z,2017,Rap
37,HNDRXX,Future,2017,Rap
38,Dangerous Woman,Ariana Grande,2016,Pop/Rock
39,Harry Styles,Harry Styles,2017,Pop/Rock
40,Dig Your Roots,Florida Georgia Line,2016,Country
41,Luv Is Rage 2,Lil Uzi Vert,2017,Rap
42,Ctrl,SZA,2017,R&B
43,"Guardians Of The Galaxy, Vol. 2: Awesome Mix Vol. 2",Soundtrack,2017,Stage & Screen
44,The Weight Of These Wings,Miranda Lambert,2016,Country
45,Beauty And The Beast (2017),Soundtrack,2017,Stage & Screen
46,Beautiful Trauma,P!nk,2017,Pop/Rock
47,Beauty Behind The Madness,The Weeknd,2015,R&B
48,Painting Pictures,Kodak Black,2017,Rap
49,Death Of A Bachelor,Panic! At The Disco,2016,Pop/Rock
50,x,Ed Sheeran,2014,Pop/Rock
51,Kane Brown,Kane Brown,2016,Country
52,Pretty Girls Like Trap Music,2 Chainz,2017,Rap
53,La La Land,Soundtrack,2016,Stage & Screen
54,Montevallo,Sam Hunt,2014,Country
55,Issa Album,21 Savage,2017,Rap
56,T R A P S O U L,Bryson Tiller,2015,R&B
57,2014 Forest Hills Drive,J. Cole,2014,Rap
58,Savage Mode,21 Savage & Metro Boomin,2016,Rap
59,Tangled Up,Thomas Rhett,2015,Country
60,"good kid, m.A.A.d city",Kendrick Lamar,2012,Rap
61,hopeless fountain kingdom,Halsey,2017,Pop/Rock
62,Playboi Carti,Playboi Carti,2017,Rap
63,Take Care,Drake,2011,Rap
64,The Life Of Pablo,Kanye West,2016,Rap
65,Sing,Soundtrack,2016,Stage & Screen
66,Back From The Edge,James Arthur,N/A,N/A
67,Lil Uzi Vert Vs. The World,Lil Uzi Vert,2016,Rap
68,Purpose,Justin Bieber,2015,Pop/Rock
69,Fifty Shades Darker,Soundtrack,N/A,N/A
70,Brett Young,Brett Young,2017,Country
71,Lemonade,Beyonce,2016,R&B
72,California Sunrise,Jon Pardi,2016,Country
73,Legend: The Best Of Bob Marley And The Wailers,Bob Marley And The Wailers,1984,Reggae
74,Vessel,twenty one pilots,2013,Pop/Rock
75,The Eminem Show,Eminem,2002,Rap
76,Curtain Call: The Hits,Eminem,2005,Rap
77,Cleopatra,The Lumineers,2016,Pop/Rock
78,Greatest Hits,2Pac,1998,Rap
79,Badlands,Halsey,2015,Pop/Rock
80,17,XXXTENTACION,2017,Rap
81,There's Really A Wolf,Russ,2017,Rap
82,This Is Acting,Sia,2016,Pop/Rock
83,FREE 6LACK,6LACK,2016,R&B
84,They Don't Know,Jason Aldean,2016,Country
85,Islah,Kevin Gates,2015,Rap
86,If You're Reading This It's Too Late,Drake,2015,Rap
87,Cry Baby,Melanie Martinez,2015,Pop/Rock
88,Doo-Wops & Hooligans,Bruno Mars,2010,Pop/Rock
89,Kill The Lights,Luke Bryan,2015,Country
90,One More Light,Linkin Park,2017,Pop/Rock
91,Witness,Katy Perry,2017,Pop/Rock
92,Journey's Greatest Hits,Journey,1988,Pop/Rock
93,Funk Wav Bounces Vol. 1,Calvin Harris,2017,Electronic
94,We Got It From Here...Thank You 4 Your Service,A Tribe Called Quest,2016,Rap
95,Metallica,Metallica,1991,Pop/Rock
96,True To Self,Bryson Tiller,2017,R&B
97,DS2,Future,2015,Rap
98,That's Christmas To Me,Pentatonix,2014,Holiday
99,In The Lonely Hour,Sam Smith,2014,Pop/Rock
100,The Hamilton Mixtape,Various Artists,2016,Stage & Screen
101,1989,Taylor Swift,2014,Pop/Rock
102,Blonde,Frank Ocean,2016,R&B
103,Wins And Losses,Meek Mill,2017,Rap
104,The Fate Of The Furious: The Album,Soundtrack,2017,Stage & Screen
105,Nothing Was The Same,Drake,2013,Rap
106,Hero,Maren Morris,2016,Country
107,21,Adele,2011,Pop/Rock
108,The Human Condition,Jon Bellion,2016,Pop/Rock
109,This One's For You,Luke Combs,2017,Country
110,The Perfect LUV Tape,Lil Uzi Vert,2016,Rap
111,Blue & Lonesome,The Rolling Stones,2016,Pop/Rock
112,Know-It-All,Alessia Cara,2015,R&B
113,Night Visions,Imagine Dragons,2012,Pop/Rock
114,Melodrama,Lorde,2017,Pop/Rock
115,Rainbow,Kesha,2017,Pop/Rock
116,Greatest Hits,Tom Petty And The Heartbreakers,1993,Pop/Rock
117,Artist,A Boogie Wit da Hoodie,2016,Rap
118,Project Baby Two,Kodak Black,2017,Rap
119,Welcome Home,Zac Brown Band,2017,Country
120,When It's Dark Out,G-Eazy,2015,Rap
121,The Devil Dont Sleep,Brantley Gilbert,2017,Country
122,GTTM: Goin Thru The Motions,PnB Rock,2017,Rap
123,Life Changes,Thomas Rhett,2017,Country
124,Rather You Than Me,Rick Ross,2017,Rap
125,Guardians Of The Galaxy: Awesome Mix Vol. 1,Soundtrack,2014,Pop/Rock
126,The Essential Michael Jackson,Michael Jackson,2005,R&B
127,Greatest Hits So Far...,Zac Brown Band,2014,Country
128,digital druglord,blackbear,2017,Rap
129,If I'm Honest,Blake Shelton,2016,Country
130,Jungle Rules,French Montana,2017,Rap
131,NAV,NAV,2017,Rap
132,Live In No Shoes Nation,Kenny Chesney,2017,Country
133,Chronicle The 20 Greatest Hits,Creedence Clearwater Revival Featuring John Fogerty,1976,Pop/Rock
134,Mr. Misunderstood,Eric Church,2015,Country
135,Greatest Hits I II & III: The Platinum Collection,Queen,2001,Pop/Rock
136,Flower Boy,"Tyler, The Creator",2017,Rap
137,The Search For Everything,John Mayer,2017,Pop/Rock
138,Abbey Road,The Beatles,1969,Pop/Rock
139,Humanz,Gorillaz,2017,Pop/Rock
140,Greatest Hits,Guns N' Roses,2004,Pop/Rock
141,Sgt. Pepper's Lonely Hearts Club Band,The Beatles,1967,Pop/Rock
142,Lust For Life,Lana Del Rey,2017,Pop/Rock
143,Born To Die,Lana Del Rey,2012,Pop/Rock
144,SweetSexySavage,Kehlani,2017,R&B
145,The Return Of East Atlanta Santa,Gucci Mane,2016,Rap
146,Christmas,Michael Buble,2011,Vocal
147,The Ultimate Collection,Garth Brooks,2016,Country
148,Unorthodox Jukebox,Bruno Mars,2012,Pop/Rock
149,1,The Beatles,2000,Pop/Rock
150,Nine Track Mind,Charlie Puth,2016,Pop/Rock
151,Reloaded: 20 #1 Hits,Blake Shelton,2015,Country
152,EPIC AF (Yellow/Pink),Various Artists,2011,Pop/Rock
153,The Thrill Of It All,Sam Smith,2017,Pop/Rock
154,Trilogy,The Weeknd,2012,R&B
155,Rumours,Fleetwood Mac,1977,Pop/Rock
156,You Should Be Here,Cole Swindell,2016,Country
157,The Fame,Lady Gaga,2008,Pop/Rock
158,4Ever,Prince,2016,R&B
159,"The RCA-List, Vol 4",Various Artists,2017,Rap
160,Black,Dierks Bentley,2016,Country
161,BEAUTIFUL THUGGER GIRLS,Young Thug,2017,Rap
162,Woodstock,Portugal. The Man,2017,Pop/Rock
163,My Moment,Tee Grizzley,2017,Rap
164,How Can It Be,Lauren Daigle,2015,Religious
165,Greatest Hits,Red Hot Chili Peppers,2003,Pop/Rock
166,NOW 61,Various Artists,2017,Pop/Rock
167,Tremaine The Album,Trey Songz,2017,R&B
168,Recovery,Eminem,2010,Rap
169,Greatest Hits,The Notorious B.I.G.,2007,Rap
170,Tell Me You Love Me,Demi Lovato,2017,Pop/Rock
171,The Bigger Artist,A Boogie Wit da Hoodie,2017,Rap
172,Encore,DJ Snake,2016,Electronic
173,Crash My Party,Luke Bryan,2013,Country
174,What A Time To Be Alive,Drake & Future,2015,Rap
175,Descendants 2,Soundtrack,2017,Stage & Screen
176,Handwritten,Shawn Mendes,2015,Pop/Rock
177,Concrete And Gold,Foo Fighters,2017,Pop/Rock
178,[Hybrid Theory],Linkin Park,2000,Pop/Rock
179,Flicker,Niall Horan,2017,Pop/Rock
180,Here's To The Good Times,Florida Georgia Line,2012,Country
181,To Pimp A Butterfly,Kendrick Lamar,2015,Rap
182,Fetty Wap,Fetty Wap,2015,Rap
183,Nevermind,Nirvana,1991,Pop/Rock
184,Perfect Timing,NAV And Metro Boomin,2017,Rap
185,Christmas Together,Garth Brooks & Trisha Yearwood,2016,Country
186,The First Time,Kelsea Ballerini,2015,Country
187,Big Baby D.R.A.M.,D.R.A.M.,2016,Rap
188,Now,Shania Twain,2017,Country
189,Darkness And Light,John Legend,2016,R&B
190,Hozier,Hozier,2014,Pop/Rock
191,NOW 62,Various Artists,2017,Electronic
192,"The RCA-List, Vol. 2",Various Artists,2016,Rap
193,Long Live Nut,YFN Lucci,2017,Rap
194,Epic Lit (Version 2),Various Artists,2016,Rap
195,+,Ed Sheeran,2017,Pop/Rock
196,Sing It Now: Songs Of Faith & Hope,Reba McEntire,2017,Country
197,Beyonce,Beyonce,2013,R&B
198,The Ultimate Hits,Garth Brooks,2007,Country
199,The Breaker,Little Big Town,2017,Country
200,Heart Break,Lady Antebellum,2017,Country
