RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,1974,Goodbye Yellow Brick Road,Elton John,,1973,Pop/Rock
2,1974,Greatest Hits,John Denver,,1973,Pop/Rock
4,1974,Innervisions,Stevie Wonder,,1973,R&B
6,1974,American Graffiti,Soundtrack,,1973,Stage & Screen
7,1974,Imagination,Gladys Knight And The Pips,,1973,R&B
8,1974,Behind Closed Doors,Charlie Rich,,1973,Country
9,1974,The Sting,Soundtrack,,1973,Stage & Screen
11,1974,The Dark Side Of The Moon,Pink Floyd,,1973,Pop/Rock
12,1974,Bachman-Turner Overdrive II,Bachman-Turner Overdrive,,1973,Pop/Rock
13,1974,Court And Spark,Joni Mitchell,,1974,Pop/Rock
14,1974,Sundown,Gordon Lightfoot,,1974,Folk
15,1974,Maria Muldaur,Maria Muldaur,,1973,Pop/Rock
16,1974,I Got A Name,Jim Croce,,1973,Pop/Rock
17,1974,Brain Salad Surgery,"Emerson, Lake & Palmer",,1973,Pop/Rock
18,1974,Ship Ahoy,The O'Jays,,1973,R&B
19,1974,Full Sail,Loggins & Messina,,1973,Pop/Rock
21,1974,Head Hunters,Herbie Hancock,,1973,Jazz
22,1974,Tubular Bells,Mike Oldfield,,1973,New Age
25,1974,Chicago VII,Chicago,,1974,Pop/Rock
26,1974,Led Zeppelin,Led Zeppelin,,---, 
27,1974,Talking Book,Stevie Wonder,,1972,R&B
28,1974,The Best Of Bread,Bread,,1973,Pop/Rock
29,1974,Los Cochinos,Cheech & Chong,,1973,Comedy/Spoken
30,1974,Ringo,Ringo Starr,,1973,Pop/Rock
33,1974,Laid Back,Gregg Allman,,1973,Pop/Rock
34,1974,What Were Once Vices Are Now Habits,The Doobie Brothers,,1974,Pop/Rock
36,1974,Hotcakes,Carly Simon,,1974,Pop/Rock
38,1974,Open Our Eyes,"Earth, Wind & Fire",,1974,R&B
40,1974,Diamond Girl,Seals & Crofts,,1973,Pop/Rock
41,1974,Pretzel Logic,Steely Dan,,1974,Pop/Rock
42,1974,Stone Gon',Barry White,,1973,R&B
43,1974,The Captain And Me,The Doobie Brothers,,1973,Pop/Rock
44,1974,Shinin' On,Grand Funk Railroad,,1974,Pop/Rock
45,1974,Bridge Of Sighs,Robin Trower,,1974,Pop/Rock
46,1974,Let's Get It On,Marvin Gaye,,1973,R&B
48,1974,On The Border,Eagles,,1974,Pop/Rock
50,1974,The Way We Were,Barbra Streisand,,1974,Vocal
51,1974,Love Is The Message,MFSB,,1973,R&B
52,1974,Unborn Child,Seals & Crofts,,1974,Pop/Rock
53,1974,Mighty Love,Spinners,,1974,R&B
54,1974,Quadrophenia,The Who,,1973,Pop/Rock
56,1974,Piano Man,Billy Joel,,1973,Pop/Rock
57,1974,Love Song For Jeffrey,Helen Reddy,,1974,Vocal
58,1974,Skin Tight,Ohio Players,,1974,R&B
59,1974,Chicago VI,Chicago,,1973,Pop/Rock
61,1974,Don't Cry Now,Linda Ronstadt,,1973,Pop/Rock
62,1974,Back To Oakland,Tower Of Power,,1974,R&B
64,1974,On Stage,Loggins & Messina,,1974,Pop/Rock
65,1974,Caribou,Elton John,,1974,Pop/Rock
66,1974,Second Helping,Lynyrd Skynyrd,,1974,Pop/Rock
67,1974,Don't Shoot Me I'm Only The Piano Player,Elton John,,1973,Pop/Rock
68,1974,Head To The Sky,"Earth, Wind & Fire",,1973,R&B
71,1974,Burn,Deep Purple,,1974,Pop/Rock
72,1974,Over-nite Sensation,The Mothers,,1973,Pop/Rock
73,1974,Love Song,Anne Murray,,1974,Country
74,1974,For Everyman,Jackson Browne,,1973,Pop/Rock
75,1974,Planet Waves,Bob Dylan,,1974,Pop/Rock
77,1974,Body Heat,Quincy Jones,,1974,R&B
78,1974,Sabbath Bloody Sabbath,Black Sabbath,,1973,Pop/Rock
79,1974,Rockin' Roll Baby,The Stylistics,,1973,R&B
82,1974,Moontan,Golden Earring,,1973,Pop/Rock
84,1974,Goats Head Soup,The Rolling Stones,,1973,Pop/Rock
85,1974,Tales From Topographic Oceans,Yes,,1973,Pop/Rock
86,1974,Euphrates River,The Main Ingredient,,1974,R&B
87,1974,Bette Midler,Bette Midler,,1973,Vocal
88,1974,461 Ocean Boulevard,Eric Clapton,,1974,Pop/Rock
90,1974,Back Home Again,John Denver,,1974,Folk
91,1974,Killing Me Softly,Roberta Flack,,1973,R&B
94,1974,Rhapsody In White,Love Unlimited Orchestra,,1974,R&B
97,1974,Long Hard Climb,Helen Reddy,,1973,Vocal
98,1974,Let's Put It All Together,The Stylistics,,1974,R&B
100,1974,Livin' For You,Al Green,,1973,R&B
