RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,1972,Harvest,Neil Young,,1972,Pop/Rock
2,1972,Tapestry,Carole King,,1971,Pop/Rock
3,1972,American Pie,Don McLean,,1971,Pop/Rock
5,1972,Hot Rocks 1964-1971,The Rolling Stones,,1972,Pop/Rock
6,1972,Killer,Alice Cooper,,1971,Pop/Rock
7,1972,First Take,Roberta Flack,,1969,R&B
8,1972,America,America,,1971,Pop/Rock
9,1972,Music,Carole King,,1971,Pop/Rock
10,1972,Madman Across The Water,Elton John,,1971,Pop/Rock
11,1972,All Day Music,War,,1971,R&B
12,1972,Let's Stay Together,Al Green,,1972,R&B
13,1972,Baby I'm-A Want You,Bread,,1972,Pop/Rock
14,1972,Led Zeppelin,Led Zeppelin,,---, 
17,1972,Quiet Fire,Roberta Flack,,1971,R&B
18,1972,Fragile,Yes,,1972,Pop/Rock
19,1972,Fiddler On The Roof,Soundtrack,,2001,Stage & Screen
20,1972,Nilsson Schmilsson,Nilsson,,1971,Pop/Rock
23,1972,Gather Me,Melanie,,1971,Folk
24,1972,Honky Chateau,Elton John,,1972,Pop/Rock
26,1972,THICK AS A BRICK,Jethro Tull,,1972,Pop/Rock
27,1972,History Of Eric Clapton,Eric Clapton,,1972,Pop/Rock
28,1972,Chicago V,Chicago,,1972,Pop/Rock
29,1972,Santana,Santana,,1969,Pop/Rock
32,1972,Paul Simon,Paul Simon,,---, 
36,1972,Smokin',Humble Pie,,1972,Pop/Rock
38,1972,Black Moses,Isaac Hayes,,1971,R&B
41,1972,Jesus Christ Superstar,Various Artists,,2015,Classical
43,1972,Carpenters,Carpenters,,1971,Pop/Rock
44,1972,Still Bill,Bill Withers,,1972,R&B
45,1972,There's A Riot Goin' On,Sly & The Family Stone,,1971,R&B
47,1972,Music Of My Mind,Stevie Wonder,,1972,R&B
48,1972,Cher,Cher,,2003,Pop/Rock
49,1972,E Pluribus Funk,Grand Funk Railroad,,1971,Pop/Rock
50,1972,Chicago At Carnegie Hall,Chicago,,1971,Pop/Rock
53,1972,Manassas,Stephen Stills,,1972,Pop/Rock
55,1972,Joplin In Concert,Janis Joplin,,1972,Pop/Rock
57,1972,Harmony,Three Dog Night,,1971,Pop/Rock
58,1972,Malo,Malo,,1972,Pop/Rock
59,1972,STRAIGHT UP,Badfinger,,1971,Pop/Rock
60,1972,All I Ever Need Is You,Sonny & Cher,,1972,Pop/Rock
61,1972,TEA FOR THE TILLERMAN,Cat Stevens,,1970,Pop/Rock
65,1972,Every Picture Tells A Story,Rod Stewart,,1971,Pop/Rock
66,1972,Big Bambu,Cheech & Chong,,1972,Comedy/Spoken
68,1972,Anticipation,Carly Simon,,1971,Pop/Rock
69,1972,I Wrote A Simple Song,Billy Preston,,1971,R&B
73,1972,Layla,Derek & The Dominos,,1970,Blues
75,1972,Electric Warrior,T. Rex,,1971,Pop/Rock
76,1972,Master Of Reality,Black Sabbath,,1971,Pop/Rock
77,1972,A Clockwork Orange,Soundtrack,,1972,Stage & Screen
78,1972,A Song For You,Carpenters,,1972,Pop/Rock
79,1972,School's Out,Alice Cooper,,1972,Pop/Rock
80,1972,Aqualung,Jethro Tull,,1971,Pop/Rock
81,1972,Moods,Neil Diamond,,1972,Pop/Rock
82,1972,Summer Of '42,Peter Nero,,1973,Easy Listening
84,1972,Flash,Flash,,1972,Pop/Rock
86,1972,Machine Head,Deep Purple,,1972,Pop/Rock
90,1972,Sonny & Cher Live,Sonny & Cher,,1971,Pop/Rock
91,1972,Got To Be There,Michael Jackson,,1972,R&B
93,1972,Every Good Boy Deserves Favour,The Moody Blues,,1971,Pop/Rock
97,1972,Cabaret,Soundtrack,,1972,Easy Listening
99,1972,Whatcha See Is Whatcha Get,The Dramatics,,1972,R&B
