RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,1990,Janet Jackson's Rhythm Nation 1814,Janet Jackson,,---, 
3,1990,Soul Provider,Michael Bolton,,1989,Pop/Rock
4,1990,Pump,Aerosmith,,1989,Pop/Rock
5,1990,Please Hammer Don't Hurt 'Em,M.C. Hammer,,1990,Rap
6,1990,Forever Your Girl,Paula Abdul,,1988,Pop/Rock
7,1990,Dr. Feelgood,Motley Crue,,1989,Pop/Rock
8,1990,The End Of The Innocence,Don Henley,,1989,Pop/Rock
10,1990,Storm Front,Billy Joel,,1989,Pop/Rock
11,1990,Girl You Know It's True,Milli Vanilli,,1989,Pop/Rock
12,1990,Poison,Bell Biv DeVoe,,1990,R&B
13,1990,Hangin' Tough,New Kids On The Block,,1988,Pop/Rock
14,1990,"Cry Like A Rainstorm, Howl Like The Wind",Linda Ronstadt (Featuring Aaron Neville),,1989,Pop/Rock
15,1990,Wilson Phillips,Wilson Phillips,,1990,Pop/Rock
16,1990,Nick Of Time,Bonnie Raitt,,1989,Pop/Rock
17,1990,Violator,Depeche Mode,,1990,Pop/Rock
18,1990,Pretty Woman,Soundtrack,,1990,Pop/Rock
19,1990,I Do Not Want What I Haven't Got,Sinead O'Connor,,1990,Pop/Rock
20,1990,Can't Fight Fate,Taylor Dayne,,1989,Pop/Rock
21,1990,Tender Lover,Babyface,,1989,R&B
22,1990,Full Moon Fever,Tom Petty,,1989,Pop/Rock
23,1990,Stick It To Ya,Slaughter,,1990,Pop/Rock
24,1990,Journeyman,Eric Clapton,,1989,Pop/Rock
25,1990,Stone Cold Rhymin',Young M.C.,,1989,Rap
26,1990,Brigade,Heart,,1990,Pop/Rock
27,1990,Cuts Both Ways,Gloria Estefan,,1989,Pop/Rock
28,1990,Affection,Lisa Stansfield,,1989,R&B
29,1990,Johnny Gill,Johnny Gill,,1990,R&B
30,1990,As Nasty As They Wanna Be,The 2 Live Crew,,1989,Rap
31,1990,Back On The Block,Quincy Jones,,1989,R&B
32,1990,Mariah Carey,Mariah Carey,,---, 
33,1990,Pump Up The Jam - The Album,Technotronic,,1989,Electronic
34,1990,Step By Step,New Kids On The Block,,1990,Pop/Rock
35,1990,Live,Kenny G,,1989,Jazz
36,1990,New Kids On The Block,New Kids On The Block,,1986,Pop/Rock
37,1990,Repeat Offender,Richard Marx,,1989,Pop/Rock
38,1990,Skid Row,Skid Row,,1989,Pop/Rock
39,1990,Alannah Myles,Alannah Myles,,1989,Pop/Rock
40,1990,The Best Of Luther Vandross: The Best Of Love,Luther Vandross,,1989,R&B
41,1990,The Real Thing,Faith No More,,1989,Pop/Rock
42,1990,I'm Breathless: Music From And Inspired By The Film Dick Tracy (Soundtrack),Madonna,,1990,Pop/Rock
43,1990,Heart Of Stone,Cher,,1989,Pop/Rock
44,1990,Slip Of The Tongue,Whitesnake,,1989,Pop/Rock
45,1990,Look Sharp!,Roxette,,1988,Pop/Rock
47,1990,I'll Give All My Love To You,Keith Sweat,,1990,R&B
