RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,1991,Mariah Carey,Mariah Carey,,---, 
2,1991,No Fences,Garth Brooks,,1990,Country
3,1991,Shake Your Money Maker,The Black Crowes,,1990,Pop/Rock
5,1991,Wilson Phillips,Wilson Phillips,,1990,Pop/Rock
6,1991,To The Extreme,Vanilla Ice,,1990,Rap
8,1991,The Immaculate Collection,Madonna,,1990,Pop/Rock
9,1991,Empire,Queensryche,,1990,Pop/Rock
10,1991,I'm Your Baby Tonight,Whitney Houston,,1990,R&B
11,1991,Out Of Time,R.E.M.,,1991,Pop/Rock
12,1991,The Razors Edge,AC/DC,,1990,Pop/Rock
14,1991,"Time, Love And Tenderness",Michael Bolton,,1991,Pop/Rock
15,1991,Heart In Motion,Amy Grant,,1991,Religious
16,1991,Some People's Lives,Bette Midler,,1990,Vocal
17,1991,Crazy World,Scorpions,,1990,Pop/Rock
18,1991,Spellbound,Paula Abdul,,1991,Pop/Rock
19,1991,Put Yourself In My Shoes,Clint Black,,2006,Country
20,1991,Coolin' At The Playground Ya' Know!,Another Bad Creation,,1991,R&B
21,1991,Cherry Pie,Warrant,,1990,Pop/Rock
22,1991,Rhythm Of The Saints,Paul Simon,,1990,Pop/Rock
23,1991,Extreme II Pornograffitti,Extreme,,1990,Pop/Rock
24,1991,Unforgettable,Natalie Cole,,1991,R&B
25,1991,Five Man Acoustical Jam,Tesla,,1990,Pop/Rock
27,1991,Cooleyhighharmony,Boyz II Men,,1991,R&B
28,1991,The Simpsons Sing The Blues,The Simpsons,,1990,Pop/Rock
29,1991,After The Rain,Nelson,,1990,Pop/Rock
30,1991,Flesh And Blood,Poison,,1990,Pop/Rock
32,1991,New Jack City,Soundtrack,,1991,Stage & Screen
33,1991,Poison,Bell Biv DeVoe,,1990,R&B
34,1991,Garth Brooks,Garth Brooks,,1989,Country
35,1991,The Future,Guy,,1990,R&B
36,1991,LUCK OF THE DRAW,Bonnie Raitt,,1991,Pop/Rock
37,1991,For Unlawful Carnal Knowledge,Van Halen,,1991,Pop/Rock
38,1991,Vagabond Heart,Rod Stewart,,1991,Pop/Rock
39,1991,Doubt,Jesus Jones,,1991,Pop/Rock
40,1991,Into The Light,Gloria Estefan,,1991,Pop/Rock
41,1991,MCMXC A.D.,Enigma,,1990,New Age
42,1991,Power Of Love,Luther Vandross,,1991,R&B
43,1991,Janet Jackson's Rhythm Nation 1814,Janet Jackson,,---, 
44,1991,Listen Without Prejudice Vol. 1,George Michael,,1990,Pop/Rock
45,1991,X,INXS,,1990,Pop/Rock
46,1991,The Soul Cages,Sting,,1991,Pop/Rock
47,1991,Damn Yankees,Damn Yankees,,1990,Pop/Rock
48,1991,Firehouse,Firehouse,,1991,Pop/Rock
49,1991,We Are In Love,"Harry Connick, Jr.",,1990,Vocal
50,1991,Efil4zaggin,N.W.A,,1991,Rap
51,1991,Recycler,ZZ Top,,1990,Pop/Rock
52,1991,Joyride,Roxette,,1991,Pop/Rock
53,1991,Soul Provider,Michael Bolton,,1989,Pop/Rock
54,1991,Slave To The Grind,Skid Row,,1991,Pop/Rock
56,1991,Pretty Woman,Soundtrack,,1990,Pop/Rock
57,1991,Schubert Dip,EMF,,1991,Pop/Rock
58,1991,C.M.B.,Color Me Badd,,1991,R&B
59,1991,Labour Of Love II,UB40,,1989,Pop/Rock
60,1991,Trixter,Trixter,,1990,Pop/Rock
61,1991,Reflections Of Passion,Yanni,,1990,New Age
62,1991,Metallica,Metallica,,1991,Pop/Rock
63,1991,Rumor Has It,Reba McEntire,,1990,Country
64,1991,Quik Is the Name,DJ Quik,,1991,Rap
65,1991,Don't Rock The Jukebox,Alan Jackson,,1991,Country
66,1991,Ralph Tresvant,Ralph Tresvant,,1990,R&B
67,1991,It's All About To Change,Travis Tritt,,1991,Country
68,1991,Stick It To Ya,Slaughter,,1990,Pop/Rock
69,1991,Robin Hood: Prince Of Thieves,Soundtrack,,1991,Stage & Screen
70,1991,Heartbreak Station,Cinderella,,1990,Pop/Rock
72,1991,Steelheart,Steelheart,,1991,Pop/Rock
74,1991,Backroads,Ricky Van Shelton,,1991,Country
75,1991,Hi-Five,Hi-Five,,1990,R&B
76,1991,Vol. 3,Traveling Wilburys,,1990,Pop/Rock
