RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,1997,Spice,Spice Girls,,1996,Pop/Rock
2,1997,Tragic Kingdom,No Doubt,,1995,Pop/Rock
3,1997,Falling Into You,Celine Dion,,1996,Pop/Rock
4,1997,Space Jam,Soundtrack,,1996,Stage & Screen
5,1997,Pieces Of You,Jewel,,1995,Pop/Rock
6,1997,Blue,LeAnn Rimes,,1996,Country
7,1997,Bringing Down The Horse,The Wallflowers,,1996,Pop/Rock
8,1997,Life After Death,The Notorious B.I.G.,,1997,Rap
9,1997,Secrets,Toni Braxton,,1996,R&B
11,1997,Razorblade Suitcase,Bush,,1996,Pop/Rock
12,1997,Romeo + Juliet,Soundtrack,,1996,Stage & Screen
13,1997,Middle Of Nowhere,Hanson,,1997,Pop/Rock
14,1997,Did I Shave My Legs For This?,Deana Carter,,1996,Country
15,1997,The Don Killuminati: The 7 Day Theory,Makaveli,,1996,Rap
16,1997,Another Level,BLACKstreet,,1996,R&B
17,1997,The Preacher's Wife,Soundtrack,,1996,R&B
18,1997,Sublime,Sublime,,1996,Pop/Rock
20,1997,Baduizm,Erykah Badu,,1997,R&B
21,1997,Unchained Melody/The Early Years,LeAnn Rimes,,1997,Country
22,1997,Yourself Or Someone Like You,matchbox 20,,1996,Pop/Rock
23,1997,Jagged Little Pill,Alanis Morissette,,1995,Pop/Rock
24,1997,Carrying Your Love With Me,George Strait,,1997,Country
25,1997,Share My World,Mary J. Blige,,1997,R&B
26,1997,Evita,Soundtrack,,1997,Pop/Rock
27,1997,The Moment,Kenny G,,1996,Jazz
28,1997,Everywhere,Tim McGraw,,1997,Country
29,1997,Crash,Dave Matthews Band,,1996,Pop/Rock
30,1997,Wu-Tang Forever,Wu-Tang Clan,,1997,Rap
32,1997,Butterfly Kisses (Shades Of Grace),Bob Carlisle,,1996,Religious
33,1997,Keith Sweat,Keith Sweat,,1996,R&B
34,1997,Sheryl Crow,Sheryl Crow,,1996,Pop/Rock
35,1997,Recovering The Satellites,Counting Crows,,1996,Pop/Rock
36,1997,The Dance,Fleetwood Mac,,1997,Pop/Rock
38,1997,Ultimate Dance Party 1997,Various Artists,,1996,Pop/Rock
39,1997,Everything I Love,Alan Jackson,,1996,Country
40,1997,God's Property,God's Property From Kirk Franklin's Nu Nation,,1997,Religious
41,1997,Tidal,Fiona Apple,,1996,Pop/Rock
42,1997,Secret Samadhi,Live,,1997,Pop/Rock
44,1997,One In A Million,Aaliyah,,1996,R&B
45,1997,Pop,U2,,1997,Pop/Rock
46,1997,Ill Na Na,Foxy Brown,,1996,Rap
47,1997,The Art Of War,Bone Thugs-N-Harmony,,1997,Rap
48,1997,Ginuwine... The Bachelor,Ginuwine,,1996,R&B
49,1997,Surfacing,Sarah McLachlan,,1997,Pop/Rock
50,1997,Ghetto D,Master P,,1997,Rap
51,1997,Pure Moods,Various Artists,,1997,New Age
52,1997,Jock Jams Vol. 2,Various Artists,,1996,Pop/Rock
53,1997,Nine Lives,Aerosmith,,1997,Pop/Rock
54,1997,Butterfly,Mariah Carey,,1997,R&B
55,1997,The Day,Babyface,,1996,R&B
56,1997,Load,Metallica,,1996,Pop/Rock
57,1997,311,311,,1995,Pop/Rock
58,1997,Best Of Volume 1,Van Halen,,1996,Pop/Rock
59,1997,(Songbook) A Collection Of Hits,Trisha Yearwood,,1997,Country
60,1997,Dru Hill,Dru Hill,,1996,R&B
61,1997,Floored,Sugar Ray,,1997,Pop/Rock
62,1997,Let's Face It,The Mighty Mighty Bosstones,,1997,Pop/Rock
63,1997,Odelay,Beck,,1996,Pop/Rock
64,1997,Bow Down,Westside Connection,,1996,Rap
65,1997,What If It's You,Reba McEntire,,1996,Country
66,1997,Hard Core,Lil' Kim,,1996,Rap
67,1997,The Untouchable,Scarface,,1997,Rap
68,1997,Evolution,Boyz II Men,,1997,R&B
69,1997,Villains,The Verve Pipe,,1996,Pop/Rock
70,1997,Set It Off,Soundtrack,,1996,Stage & Screen
71,1997,If We Fall In Love Tonight,Rod Stewart,,1996,Pop/Rock
72,1997,AEnima,Tool,,1996,Pop/Rock
73,1997,Home Again,New Edition,,1996,R&B
74,1997,Aquarium,Aqua,,1997,Pop/Rock
75,1997,Antichrist Superstar,Marilyn Manson,,1996,Pop/Rock
76,1997,Selena,Soundtrack,,1997,Stage & Screen
77,1997,Tru 2 Da Game,Tru,,1997,Rap
78,1997,Ixnay On The Hombre,The Offspring,,1997,Pop/Rock
79,1997,The Greatest Hits,Clint Black,,1996,Country
80,1997,Fashion Nugget,Cake,,1996,Pop/Rock
81,1997,Soul Food,Soundtrack,,1997,N/A
82,1997,Love Songs,Elton John,,1996,Pop/Rock
83,1997,Blurring The Edges,Meredith Brooks,,1997,Pop/Rock
84,1997,Traveling Without Moving,Jamiroquai,,1996,R&B
85,1997,All Eyez On Me,2Pac,,1996,Rap
86,1997,Hot,Squirrel Nut Zippers,,1997,Pop/Rock
87,1997,Lemon Parade,Tonic,,1996,Pop/Rock
90,1997,Family Scriptures,Mo Thugs Family,,1997,Rap
91,1997,"Enigma 3 Le Roi Est Mort, Vive Le Roi!",Enigma,,1996,New Age
92,1997,Trial By Fire,Journey,,1996,Pop/Rock
93,1997,I'm Bout It,Soundtrack,,1997,Rap
94,1997,Maxwell's Urban Hang Suite,Maxwell,,1996,R&B
95,1997,Batman & Robin,Soundtrack,,1997,Stage & Screen
96,1997,When Disaster Strikes...,Busta Rhymes,,1997,Rap
97,1997,Love Jones: The Music,Soundtrack,,1997,Stage & Screen
98,1997,Savage Garden,Savage Garden,,1997,Pop/Rock
99,1997,My Best Friend's Wedding,Soundtrack,,1997,Stage & Screen
100,1997,House Of Music,Tony Toni Tone,,1996,R&B
101,1997,Third Eye Blind,Third Eye Blind,,1997,Pop/Rock
104,1997,This Fire,Paula Cole,,1996,Pop/Rock
105,1997,Mellon Collie And The Infinite Sadness,The Smashing Pumpkins,,1995,Pop/Rock
106,1997,Rome,Rome,,1988,Pop/Rock
107,1997,Anthology 3,The Beatles,,1996,Pop/Rock
108,1997,Beavis And Butt-Head Do America,Soundtrack,,1996,Stage & Screen
109,1997,The Colour And The Shape,Foo Fighters,,1997,Pop/Rock
110,1997,The Mirror Has Two Faces,Soundtrack,,1996,Stage & Screen
111,1997,Hourglass,James Taylor,,1997,Pop/Rock
112,1997,Club Mix '97,Various Artists,,1997,Pop/Rock
113,1997,E. 1999 Eternal,Bone Thugs-N-Harmony,,1995,Rap
114,1997,112,112,,1996,R&B
115,1997,The Velvet Rope,Janet,,1997,R&B
116,1997,Death Row Greatest Hits,Various Artists,,1996,Rap
117,1997,Harlem World,Mase,,1997,Rap
118,1997,Booty Call,Soundtrack,,1997,Stage & Screen
119,1997,New Beginning,Tracy Chapman,,1995,Pop/Rock
120,1997,Dreamin' Out Loud,Trace Adkins,,1996,Country
121,1997,Fush Yu Mang,Smash Mouth,,1997,Pop/Rock
122,1997,Be Here Now,Oasis,,1997,Pop/Rock
124,1997,Lie To Me,Jonny Lang,,1997,Pop/Rock
125,1997,Muddy Waters,Redman,,1996,Rap
126,1997,Measure Of A Man,Kevin Sharp,,1996,Country
127,1997,Bridges To Babylon,The Rolling Stones,,1997,Pop/Rock
128,1997,The Greatest Hits Collection,Alan Jackson,,1995,Country
129,1997,Your Secret Love,Luther Vandross,,1996,R&B
130,1997,Blue Clear Sky,George Strait,,1996,Country
132,1997,Life Is Peachy,Korn,,1996,Pop/Rock
133,1997,Waterbed Hev,Heavy D,,1997,Rap
134,1997,Disciplined Breakdown,Collective Soul,,1997,Pop/Rock
135,1997,Jerry Maguire,Soundtrack,,1996,Stage & Screen
137,1997,First Band On The Moon,The Cardigans,,1996,Pop/Rock
138,1997,Flaming Pie,Paul McCartney,,1997,Pop/Rock
140,1997,Straight On Till Morning,Blues Traveler,,1997,Pop/Rock
141,1997,Backstreet Boys,Backstreet Boys,,1996,Pop/Rock
142,1997,Still Waters,Bee Gees,,1997,Pop/Rock
143,1997,Gridlock'd,Soundtrack,,1997,Stage & Screen
144,1997,Ten Thousand Angels,Mindy McCready,,1996,Country
145,1997,Garbage,Garbage,,1995,Pop/Rock
146,1997,Emancipation,Prince,,1996,R&B
147,1997,The Woman In Me,Shania Twain,,1995,Country
148,1997,Hell On Earth,Mobb Deep,,1996,Rap
149,1997,Lost Highway,Soundtrack,,1997,Stage & Screen
150,1997,Tubthumper,Chumbawamba,,1997,Pop/Rock
151,1997,Shaming Of The Sun,Indigo Girls,,1997,Pop/Rock
152,1997,Dr. Dre Presents... The Aftermath,Various Artists,,1996,Rap
153,1997,All That I Am,Joe,,1997,R&B
154,1997,Howard Stern Private Parts: The Album,Soundtrack,,1997,Pop/Rock
155,1997,Az Yet,Az Yet,,1996,R&B
156,1997,What I Do The Best,John Michael Montgomery,,1996,Country
157,1997,Now In A Minute,Donna Lewis,,1996,Pop/Rock
158,1997,EV3,En Vogue,,1997,R&B
159,1997,A Few Small Repairs,Shawn Colvin,,1996,Pop/Rock
160,1997,Transistor,311,,1997,Pop/Rock
161,1997,1997 Grammy Nominees,Various Artists,,1997,Pop/Rock
162,1997,Ultra.,Depeche Mode,,1997,Pop/Rock
163,1997,"Yesterday, Today, Tomorrow: The Greatest Hits Of Kenny Loggins",Kenny Loggins,,1997,Pop/Rock
164,1997,My Way,Usher,,1997,R&B
165,1997,Somewhere More Familiar,Sister Hazel,,1997,Pop/Rock
166,1997,All World,LL Cool J,,1996,Rap
167,1997,Freak Show,Silverchair,,1997,Pop/Rock
168,1997,Greatest Hits Volume III,Billy Joel,,1997,Pop/Rock
169,1997,Blue Moon Swamp,John Fogerty,,1997,Pop/Rock
