RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,1996,Jagged Little Pill,Alanis Morissette,,1995,Pop/Rock
2,1996,Daydream,Mariah Carey,,1995,R&B
3,1996,Falling Into You,Celine Dion,,1996,Pop/Rock
4,1996,Waiting To Exhale,Soundtrack,,1995,Stage & Screen
5,1996,The Score,Fugees,,1996,Rap
6,1996,The Woman In Me,Shania Twain,,1995,Country
7,1996,Fresh Horses,Garth Brooks,,1995,Country
8,1996,Anthology 1,The Beatles,,1995,Pop/Rock
10,1996,Mellon Collie And The Infinite Sadness,The Smashing Pumpkins,,1995,Pop/Rock
11,1996,Sixteen Stone,Bush,,1994,Pop/Rock
12,1996,All Eyez On Me,2Pac,,1996,Rap
13,1996,(What's The Story) Morning Glory?,Oasis,,1995,Pop/Rock
14,1996,Load,Metallica,,1996,Pop/Rock
15,1996,The Greatest Hits Collection,Alan Jackson,,1995,Country
16,1996,E. 1999 Eternal,Bone Thugs-N-Harmony,,1995,Rap
17,1996,R. Kelly,R. Kelly,,1995,R&B
18,1996,New Beginning,Tracy Chapman,,1995,Pop/Rock
19,1996,Tragic Kingdom,No Doubt,,1995,Pop/Rock
20,1996,Gangsta's Paradise,Coolio,,1995,Rap
22,1996,CrazySexyCool,TLC,,1994,R&B
23,1996,Secrets,Toni Braxton,,1996,R&B
24,1996,The Presidents Of The United States Of America,The Presidents Of The United States Of America,,1995,Pop/Rock
25,1996,Tigerlily,Natalie Merchant,,1995,Pop/Rock
26,1996,Crash,Dave Matthews Band,,1996,Pop/Rock
27,1996,Christmas In The Aire,Mannheim Steamroller,,1995,New Age
28,1996,Mr. Smith,LL Cool J,,1995,Rap
29,1996,Relish,Joan Osborne,,1995,Pop/Rock
30,1996,It Was Written,Nas,,1996,Rap
31,1996,The Memory Of Trees,Enya,,1995,New Age
32,1996,Keith Sweat,Keith Sweat,,1996,R&B
33,1996,Blue,LeAnn Rimes,,1996,Country
34,1996,Evil Empire,Rage Against The Machine,,1996,Pop/Rock
35,1996,four,Blues Traveler,,1994,Pop/Rock
36,1996,Something To Remember,Madonna,,1995,Pop/Rock
38,1996,All I Want,Tim McGraw,,1995,Country
39,1996,Anthology 2,The Beatles,,1996,Pop/Rock
40,1996,Blue Clear Sky,George Strait,,1996,Country
41,1996,Tiny Music...Songs From The Vatican Gift Shop,Stone Temple Pilots,,1996,Pop/Rock
42,1996,To The Faithful Departed,The Cranberries,,1996,Pop/Rock
43,1996,Souvenirs,Vince Gill,,1995,Country
45,1996,Alice In Chains,Alice In Chains,,1995,Pop/Rock
46,1996,The Hits,Garth Brooks,,1994,Country
47,1996,Down On The Upside,Soundgarden,,1996,Pop/Rock
48,1996,Insomniac,Green Day,,1995,Pop/Rock
49,1996,Dogg Food,Tha Dogg Pound,,1995,Rap
50,1996,Dangerous Minds,Soundtrack,,1995,Rap
51,1996,Your Little Secret,Melissa Etheridge,,1995,Pop/Rock
52,1996,Garbage,Garbage,,1995,Pop/Rock
53,1996,Seal,Seal,,1991,Pop/Rock
54,1996,Under The Table And Dreaming,Dave Matthews Band,,1994,Pop/Rock
55,1996,Design Of A Decade 1986/1996,Janet Jackson,,1995,R&B
56,1996,311,311,,1995,Pop/Rock
57,1996,No Code,Pearl Jam,,1996,Pop/Rock
58,1996,Pieces Of You,Jewel,,1995,Pop/Rock
59,1996,Sweet Dreams,La Bouche,,1996,Electronic
60,1996,The Don Killuminati: The 7 Day Theory,Makaveli,,1996,Rap
61,1996,It Matters To Me,Faith Hill,,1995,Country
62,1996,A Boy Named Goo,Goo Goo Dolls,,1995,Pop/Rock
63,1996,American Standard,Seven Mary Three,,1995,Pop/Rock
64,1996,One Hot Minute,Red Hot Chili Peppers,,1995,Pop/Rock
65,1996,Greatest Hits 1985-1995,Michael Bolton,,2015,Pop/Rock
67,1996,Home Again,New Edition,,1996,R&B
68,1996,Starting Over,Reba McEntire,,1995,Country
70,1996,Brown Sugar,D'Angelo,,1995,R&B
71,1996,The Remix Collection,Boyz II Men,,1995,R&B
72,1996,Vault - Greatest Hits 1980-1995,Def Leppard,,1995,Pop/Rock
73,1996,Ozzmosis,Ozzy Osbourne,,1995,Pop/Rock
74,1996,The Nutty Professor,Soundtrack,,1996,R&B
75,1996,Collective Soul,Collective Soul,,1995,Pop/Rock
76,1996,Pulp Fiction,Soundtrack,,1994,Stage & Screen
77,1996,ATLiens,OutKast,,1996,Rap
78,1996,What The Hell Happened To Me?,Adam Sandler,,1996,Comedy/Spoken
79,1996,Time Marches On,Tracy Lawrence,,1996,Country
80,1996,Mercury Falling,Sting,,1996,Pop/Rock
81,1996,Jesus Freak,dc Talk,,1995,Religious
82,1996,Hell Freezes Over,Eagles,,1994,Pop/Rock
83,1996,Frogstomp,Silverchair,,1995,Pop/Rock
84,1996,Miss Thang,Monica,,1995,R&B
85,1996,Games Rednecks Play,Jeff Foxworthy,,1995,Comedy/Spoken
86,1996,The Bridge,Ace Of Base,,1995,Pop/Rock
87,1996,Another Level,BLACKstreet,,1996,R&B
88,1996,Sparkle And Fade,Everclear,,1995,Pop/Rock
89,1996,Jars Of Clay,Jars Of Clay,,1995,Pop/Rock
90,1996,The Moment,Kenny G,,1996,Jazz
91,1996,Metallica,Metallica,,1991,Pop/Rock
92,1996,Q's Jook Joint,Quincy Jones,,1995,R&B
93,1996,Words,The Tony Rich Project,,1995,R&B
95,1996,Throwing Copper,Live,,1994,Pop/Rock
96,1996,New Adventures In Hi-Fi,R.E.M.,,1996,Pop/Rock
