RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,1987,Slippery When Wet,Bon Jovi,,1986,Pop/Rock
2,1987,Graceland,Paul Simon,,1986,Pop/Rock
3,1987,Licensed To Ill,Beastie Boys,,1986,Rap
4,1987,The Way It Is,Bruce Hornsby & The Range,,1986,Pop/Rock
5,1987,Control,Janet Jackson,,1986,R&B
6,1987,The Joshua Tree,U2,,1987,Pop/Rock
7,1987,Fore!,Huey Lewis & The News,,1986,Pop/Rock
8,1987,Night Songs,Cinderella,,1986,Pop/Rock
9,1987,Rapture,Anita Baker,,1986,R&B
10,1987,Invisible Touch,Genesis,,1986,Pop/Rock
11,1987,True Blue,Madonna,,1986,Pop/Rock
12,1987,The Final Countdown,Europe,,1986,Pop/Rock
13,1987,Look What The Cat Dragged In,Poison,,1986,Pop/Rock
14,1987,Back In The Highlife,Steve Winwood,,1986,R&B
15,1987,Duotones,Kenny G,,1986,Jazz
16,1987,Whitesnake,Whitesnake,,1987,Pop/Rock
17,1987,Third Stage,Boston,,1986,Pop/Rock
18,1987,Dancing On The Ceiling,Lionel Richie,,1986,R&B
19,1987,Give Me The Reason,Luther Vandross,,1986,R&B
20,1987,Just Like The First Time,Freddie Jackson,,1986,R&B
21,1987,So,Peter Gabriel,,1986,Pop/Rock
22,1987,Whitney Houston,Whitney Houston,,1985,R&B
23,1987,Whitney,Whitney Houston,,1985,R&B
26,1987,Word Up,Cameo,,1986,R&B
27,1987,Raising Hell,Run-D.M.C.,,1986,Rap
28,1987,Whiplash Smile,Billy Idol,,1986,Pop/Rock
29,1987,Exposure,Expose,,1987,Pop/Rock
30,1987,Top Gun,Soundtrack,,1986,Stage & Screen
31,1987,Crowded House,Crowded House,,1986,Pop/Rock
32,1987,Can't Hold Back,Eddie Money,,1986,Pop/Rock
33,1987,"Life, Love And Pain",Club Nouveau,,1986,R&B
34,1987,To Hell With The Devil,Stryper,,1986,Religious
35,1987,Bad Animals,Heart,,1987,Pop/Rock
36,1987,Georgia Satellites,The Georgia Satellites,,1986,Pop/Rock
37,1987,Break Every Rule,Tina Turner,,1986,R&B
38,1987,Robbie Nevil,Robbie Nevil,,1986,Pop/Rock
39,1987,True Colors,Cyndi Lauper,,1986,Pop/Rock
40,1987,Tango In The Night,Fleetwood Mac,,1987,Pop/Rock
41,1987,Jody Watley,Jody Watley,,1987,R&B
44,1987,Into The Fire,Bryan Adams,,---, 
45,1987,Forever,Kool & The Gang,,1986,R&B
46,1987,"Girls, Girls, Girls",Motley Crue,,1987,Pop/Rock
47,1987,Sign 'O' The Times,Prince,,1987,R&B
48,1987,Aretha,Aretha Franklin,,1967,R&B
49,1987,One Heartbeat,Smokey Robinson,,1987,R&B
50,1987,The Bridge,Billy Joel,,1986,Pop/Rock
51,1987,Bigger And Deffer,LL Cool J,,1987,Rap
52,1987,Raised On Radio,Journey,,1986,Pop/Rock
53,1987,Shake You Down,Gregory Abbott,,1986,R&B
54,1987,Life As We Know It,REO Speedwagon,,1987,Pop/Rock
55,1987,Thin Red Line,Glass Tiger,,1986,Pop/Rock
57,1987,Mechanical Resonance,Tesla,,1986,Pop/Rock
58,1987,Coming Around Again,Carly Simon,,1987,Pop/Rock
59,1987,Keep Your Eye On Me,Herb Alpert,,1987,Easy Listening
60,1987,Notorious,Duran Duran,,1986,Pop/Rock
61,1987,Solitude Standing,Suzanne Vega,,1987,Pop/Rock
62,1987,Trio,"Dolly Parton, Linda Ronstadt, Emmylou Harris",,1987,Country
63,1987,Riptide,Robert Palmer,,1985,R&B
64,1987,All In The Name Of Love,Atlantic Starr,,1986,R&B
65,1987,Crushin',Fat Boys,,1987,Rap
66,1987,Somewhere In Time,Iron Maiden,,1986,Pop/Rock
67,1987,Running In The Family,Level 42,,1987,Pop/Rock
68,1987,La Bamba,Soundtrack,,1987,Stage & Screen
69,1987,Beverly Hills Cop II,Soundtrack,,1987,Stage & Screen
70,1987,August,Eric Clapton,,1986,Pop/Rock
71,1987,Broadcast,Cutting Crew,,1986,Pop/Rock
72,1987,7800 Degrees Fahrenheit,Bon Jovi,,1985,Pop/Rock
73,1987,Especially For You,The Smithereens,,1986,Pop/Rock
74,1987,Always & Forever,Randy Travis,,1987,Country
75,1987,Najee's Theme,Najee,,1986,Jazz
76,1987,Bon Jovi,Bon Jovi,,1984,Pop/Rock
77,1987,The Jets,The Jets,,1990,Pop/Rock
78,1987,Electric,The Cult,,1987,Pop/Rock
80,1987,Dancin' Undercover,Ratt,,1986,Pop/Rock
81,1987,Mosaic,Wang Chung,,1986,Pop/Rock
82,1987,Just Gets Better With Time,The Whispers,,1987,R&B
83,1987,Tribute,Ozzy Osbourne/Randy Rhoads,,1987,Pop/Rock
84,1987,The Return Of Bruno,Bruce Willis,,1987,Pop/Rock
85,1987,Stand By Me,Soundtrack,,1986,Stage & Screen
87,1987,I'm No Angel,Gregg Allman,,1986,Pop/Rock
88,1987,Let It Loose,Gloria Estefan & Miami Sound Machine,,1987,Pop/Rock
89,1987,The Breakfast Club,The Breakfast Club,,1985,Stage & Screen
90,1987,Touch Me,Samantha Fox,,1986,Pop/Rock
91,1987,Midnight To Midnight,Psychedelic Furs,,1987,Pop/Rock
93,1987,Hysteria,Def Leppard,,1987,Pop/Rock
94,1987,One Voice,Barbra Streisand,,1987,Vocal
95,1987,In The Dark,Grateful Dead,,1987,Pop/Rock
96,1987,Never Let Me Down,David Bowie,,1987,Pop/Rock
97,1987,Richard Marx,Richard Marx,,1987,Pop/Rock
98,1987,Opera Sauvage,Vangelis,,1979,Electronic
99,1987,Ready Or Not,Lou Gramm,,1987,Pop/Rock
100,1987,"Kiss Me, Kiss Me, Kiss Me",The Cure,,1987,Pop/Rock
