RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,2005,The Massacre,50 Cent,,2005,Rap
2,2005,Encore,Eminem,,2004,Rap
3,2005,American Idiot,Green Day,,2004,Pop/Rock
4,2005,The Emancipation Of Mimi,Mariah Carey,,2005,R&B
5,2005,Breakaway,Kelly Clarkson,,2004,Pop/Rock
6,2005,Love. Angel. Music. Baby.,Gwen Stefani,,2004,Pop/Rock
7,2005,Destiny Fulfilled,Destiny's Child,,2004,R&B
8,2005,How To Dismantle An Atomic Bomb,U2,,2004,Pop/Rock
9,2005,Greatest Hits,Shania Twain,,2004,Country
10,2005,Feels Like Today,Rascal Flatts,,2004,Country
11,2005,Confessions,Usher,,2004,R&B
12,2005,Greatest Hits 2,Toby Keith,,2004,Country
13,2005,Now 17,Various Artists,,2004,Pop/Rock
14,2005,X&Y,Coldplay,,2005,Pop/Rock
15,2005,Crunk Juice,Lil Jon & The East Side Boyz,,2004,Rap
16,2005,The Documentary,The Game,,2005,Rap
17,2005,Hot Fuss,The Killers,,2004,Pop/Rock
18,2005,MONKEY BUSINESS,The Black Eyed Peas,,2005,Pop/Rock
19,2005,Goodies,Ciara,,2004,R&B
20,2005,Genius Loves Company,Ray Charles,,2004,R&B
21,2005,Late Registration,Kanye West,,2005,Rap
22,2005,The Red Light District,Ludacris,,2004,Rap
23,2005,Here For The Party,Gretchen Wilson,,2004,Country
24,2005,Now 19,Various Artists,,2005,Pop/Rock
25,2005,Live Like You Were Dying,Tim McGraw,,2004,Country
26,2005,MTV Ultimate Mash-Ups Presents: Collision Course,Jay-Z/Linkin Park,,2004,Pop/Rock
27,2005,Free Yourself,Fantasia,,2004,R&B
28,2005,R&G (Rhythm & Gangsta): The Masterpiece,Snoop Dogg,,2004,Rap
29,2005,In Between Dreams,Jack Johnson,,2005,Pop/Rock
30,2005,Be Here,Keith Urban,,2004,Country
31,2005,50 Number Ones,George Strait,,2004,Country
32,2005,Mezmerize,System Of A Down,,2005,Pop/Rock
33,2005,Suit,Nelly,,2004,Rap
34,2005,GET LIFTED,John Legend,,2004,R&B
35,2005,Now 18,Various Artists,,2005,Pop/Rock
36,2005,Stand Up,Dave Matthews Band,,2005,Pop/Rock
37,2005,Honkytonk University,Toby Keith,,2005,Country
38,2005,Songs About Jane,Maroon 5,,2002,Pop/Rock
39,2005,Urban Legend,T.I.,,2004,Rap
40,2005,Who Is Mike Jones?,Mike Jones,,2005,Rap
41,2005,Demon Days,Gorillaz,,2005,Pop/Rock
42,2005,Horse Of A Different Color,Big & Rich,,2004,Country
43,2005,Ray (Soundtrack),Ray Charles,,2004,R&B
44,2005,Seventeen Days,3 Doors Down,,2005,Pop/Rock
45,2005,Turning Point,Mario,,2004,R&B
46,2005,...Something To Be,Rob Thomas,,2005,Pop/Rock
47,2005,Greatest Hits,Guns N' Roses,,2004,Pop/Rock
48,2005,Still Not Getting Any...,Simple Plan,,2004,Pop/Rock
49,2005,TP.3 Reloaded,R. Kelly,,2005,R&B
50,2005,Twice The Speed Of Life,Sugarland,,2004,Country
51,2005,Loyal To The Game,2Pac,,2004,Rap
52,2005,Merry Christmas With Love,Clay Aiken,,2004,Pop/Rock
53,2005,From Under The Cork Tree,Fall Out Boy,,2005,Pop/Rock
54,2005,In Your Honor,Foo Fighters,,2005,Pop/Rock
55,2005,Let's Get It: Thug Motivation 101,Young Jeezy,,2005,Rap
56,2005,Be As You Are: Songs From An Old Blue Chair,Kenny Chesney,,2005,Country
57,2005,When The Sun Goes Down,Kenny Chesney,,2004,Country
58,2005,Three Cheers For Sweet Revenge,My Chemical Romance,,2004,Pop/Rock
59,2005,Beautiful Soul,Jesse McCartney,,2004,Pop/Rock
60,2005,Fireflies,Faith Hill,,2005,Country
61,2005,It's Time,Michael Buble,,2005,Vocal
62,2005,Speak,Lindsay Lohan,,2004,Pop/Rock
63,2005,All The Right Reasons,Nickelback,,2005,Pop/Rock
64,2005,Il Divo,Il Divo,,2005,Vocal
65,2005,Hilary Duff,Hilary Duff,,2004,Pop/Rock
66,2005,Trouble,Akon,,2004,R&B
67,2005,Stardust... The Great American Songbook Vol. III,Rod Stewart,,2004,Pop/Rock
68,2005,Under My Skin,Avril Lavigne,,2004,Pop/Rock
69,2005,Out Of Exile,Audioslave,,2005,Pop/Rock
