RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,1971,"Jesus Christ, Superstar",Andrew Lloyd Webber,,1970,Pop/Rock
2,1971,Tapestry,Carole King,,1971,Pop/Rock
3,1971,Close To You,Carpenters,,1970,Pop/Rock
4,1971,Pearl,Janis Joplin,,1971,Pop/Rock
5,1971,Abraxas,Santana,,1970,Pop/Rock
6,1971,The Partridge Family Album,The Partridge Family,,2012,Pop/Rock
7,1971,Sweet Baby James,James Taylor,,1970,Pop/Rock
8,1971,TEA FOR THE TILLERMAN,Cat Stevens,,1970,Pop/Rock
9,1971,Greatest Hits,Sly & The Family Stone,,1995,R&B
10,1971,Chicago III,Chicago,,1971,Pop/Rock
11,1971,Chapter Two,Roberta Flack,,1970,R&B
12,1971,Naturally,Three Dog Night,,1970,Pop/Rock
13,1971,Paranoid,Black Sabbath,,1970,Pop/Rock
14,1971,Golden Bisquits,Three Dog Night,,1971,Pop/Rock
15,1971,Chicago Transit Authority,Chicago,,1969,Pop/Rock
16,1971,Live Album,Grand Funk Railroad,,1970,Pop/Rock
17,1971,To Be Continued,Isaac Hayes,,1970,R&B
18,1971,All Things Must Pass,George Harrison,,1970,Pop/Rock
19,1971,Chicago,Chicago Transit Authority,,1969,Pop/Rock
20,1971,After The Gold Rush,Neil Young,,1970,Pop/Rock
21,1971,Sticky Fingers,The Rolling Stones,,1971,Pop/Rock
22,1971,Up To Date,The Partridge Family,,1971,Pop/Rock
23,1971,4-Way Street,"Crosby, Stills, Nash & Young",,1971,Pop/Rock
24,1971,Tumbleweed Connection,Elton John,,1970,Pop/Rock
25,1971,"Emerson, Lake & Palmer","Emerson, Lake & Palmer",,1970,Pop/Rock
26,1971,Love Story,Soundtrack,,1970,Stage & Screen
27,1971,Mud Slide Slim & The Blue Horizon,James Taylor,,1971,Pop/Rock
28,1971,Pendulum,Creedence Clearwater Revival,,1970,Pop/Rock
29,1971,The Cry of Love,Jimi Hendrix,,1971,Pop/Rock
30,1971,Elton John,Elton John,,1970,Pop/Rock
31,1971,The Best of the Guess Who,The Guess Who,,1971,Pop/Rock
32,1971,Osmonds,The Osmonds,,1970,Pop/Rock
33,1971,Aqualung,Jethro Tull,,1971,Pop/Rock
34,1971,Every Picture Tells A Story,Rod Stewart,,1971,Pop/Rock
35,1971,Cosmos Factory,Creedence Clearwater Revival,,1970,Pop/Rock
36,1971,"Temptations' Greatest Hits, Vol. 2",The Temptations,,1970,R&B
37,1971,Survival,Grand Funk Railroad,,1971,Pop/Rock
38,1971,Ram,Paul & Linda McCartney,,1971,Pop/Rock
39,1971,Carpenters,The Carpenters,,1971,Pop/Rock
40,1971,"Poems, Prayers & Promises",John Denver,,1971,Pop/Rock
41,1971,For The Good Times,Ray Price,,1970,Country
42,1971,L.A. Woman,The Doors,,1971,Pop/Rock
43,1971,Maybe Tomorrow,Jackson 5,,1971,R&B
44,1971,Tap Root Manuscript,Neil Diamond,,1970,Pop/Rock
45,1971,Love It To Death,Alice Cooper,,1971,Pop/Rock
46,1971,Love Story,Andy Williams,,1971,Vocal
47,1971,Woodstock,Soundtrack,,1970,Pop/Rock
48,1971,The Worst Of Jefferson Airplane,Jefferson Airplane,,1970,Pop/Rock
49,1971,,,,,
50,1971,Deja Vu,"Crosby, Stills, Nash & Young",,1970,Pop/Rock
51,1971,Aretha: Live At Fillmore West,Aretha Franklin,,1971,R&B
52,1971,What's Going On,Marvin Gaye,,1971,R&B
53,1971,Rose Garden,Lynn Anderson,,1970,Country
54,1971,,,,,
55,1971,Bridge Over Troubled Water,Simon & Garfunkel,,1970,Pop/Rock
56,1971,If You Could Read My Mind,Gordon Lightfoot,,1970,Pop/Rock
57,1971,Curtis,Curtis Mayfield,,1970,R&B
58,1971,,,,,
59,1971,,,,,
60,1971,Black Sabbath,Black Sabbath,,1970,Pop/Rock
61,1971,Them Changes,Buddy Miles,,1970,R&B
62,1971,A Question Of Balance,The Moody Blues,,1970,Pop/Rock
63,1971,Melting Pot,Booker T. & The MG's,,1971,R&B
64,1971,,,,,
65,1971,,,,,
66,1971,,,,,
67,1971,Tommy,The Who,,1969,Pop/Rock
68,1971,,,,,
69,1971,,,,,
70,1971,Stephen Stills,Stephen Stills,,1970,Pop/Rock
71,1971,,,,,
72,1971,Leon Russell & The Shelter People,Leon Russell,,1971,Pop/Rock
73,1971,,,,,
74,1971,Workin' Together,Ike & Tina Turner,,1971,R&B
75,1971,Tarkus,"Emerson, Lake & Palmer",,1971,Pop/Rock
76,1971,Bloodrock 2,Bloodrock,,1970,Pop/Rock
77,1971,It's Impossible,Perry Como,,1970,Vocal
78,1971,Santana,Santana,,1969,Pop/Rock
79,1971,,,,,
80,1971,Manna,Bread,,1971,Pop/Rock
81,1971,This Is A Recording,Lily Tomlin,,1971,Comedy/Spoken
82,1971,,,,,
83,1971,,,,,
84,1971,,,,,
85,1971,,,,,
86,1971,,,,,
87,1971,Blue,Joni Mitchell,,1971,Pop/Rock
88,1971,,,,,
89,1971,Sweetheart,Engelbert Humperdinck,,N/A,Pop/Rock
90,1971,Alarm Clock,Richie Havens,,1971,Folk
91,1971,,,,,
92,,,,,,
93,1971,One World,Rare Earth,,1971,Pop/Rock
94,1971,Led Zeppelin III,Led Zeppelin,,1970,Pop/Rock
95,1971,Mad Dogs & Englishmen,Joe Cocker,,1970,Pop/Rock
96,,,,,,
97,,,,,,
98,,,,,,
99,1971,Chase,Chase,,1971,Pop/Rock
100,1971,Closer To Home,Grand Funk Railroad,,1970,Pop/Rock
