RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,2015,1989,Taylor Swift,,2014,Pop/Rock
2,2015,x,Ed Sheeran,,2014,Pop/Rock
3,2015,In The Lonely Hour,Sam Smith,,2014,Pop/Rock
4,2015,If You're Reading This It's Too Late,Drake,,2015,Rap
5,2015,Title,Meghan Trainor,,2015,Pop/Rock
6,2015,V,Maroon 5,,2014,Pop/Rock
7,2015,The Pinkprint,Nicki Minaj,,2014,Rap
8,2015,2014 Forest Hills Drive,J. Cole,,2014,Rap
9,2015,Fifty Shades Of Grey,Soundtrack,,2015,Stage & Screen
10,2015,FOUR,One Direction,,2014,Pop/Rock
11,2015,Montevallo,Sam Hunt,,2014,Country
12,2015,Hozier,Hozier,,2014,Pop/Rock
13,2015,Beauty Behind The Madness,The Weeknd,,2015,R&B
14,2015,That's Christmas To Me,Pentatonix,,2014,Holiday
15,2015,American Beauty / American Psycho,Fall Out Boy,,2015,Pop/Rock
16,2015,To Pimp A Butterfly,Kendrick Lamar,,2015,Rap
17,2015,My Everything,Ariana Grande,,2014,Pop/Rock
18,2015,Kill The Lights,Luke Bryan,,2015,Country
19,2015,Furious 7,Soundtrack,,2015,Electronic
20,2015,Dreams Worth More Than Money,Meek Mill,,2015,Rap
21,2015,Guardians Of The Galaxy: Awesome Mix Vol. 1,Soundtrack,,2014,Pop/Rock
22,2015,Dark Sky Paradise,Big Sean,,2015,Rap
23,2015,Anything Goes,Florida Georgia Line,,2014,Country
24,2015,JEKYLL + HYDE,Zac Brown Band,,2015,Country
25,2015,"Old Boots, New Dirt",Jason Aldean,,2014,Country
26,2015,What A Time To Be Alive,Drake & Future,,2015,Rap
27,2015,Uptown Special.,Mark Ronson,,2015,R&B
28,2015,Greatest Hits: Decade #1,Carrie Underwood,,2014,Country
29,2015,Smoke + Mirrors,Imagine Dragons,,2015,Pop/Rock
30,2015,Frozen,Soundtrack,,2014,Children's
31,2015,Blurryface,twenty one pilots,,2015,Pop/Rock
32,2015,TALKING IS HARD,WALK THE MOON,,2014,Pop/Rock
33,2015,Wilder Mind,Mumford & Sons,,2015,Pop/Rock
34,2015,Handwritten,Shawn Mendes,,2015,Pop/Rock
35,2015,The Outsiders,Eric Church,,2014,Country
36,2015,Crash My Party,Luke Bryan,,2013,Country
37,2015,Empire: Original Soundtrack From Season 1,Soundtrack,,2015,Stage & Screen
38,2015,Pain Killer,Little Big Town,,2014,Country
39,2015,SremmLife,Rae Sremmurd,,2015,Rap
40,2015,1000 Forms Of Fear,Sia,,2014,Pop/Rock
41,2015,Nick Jonas,Nick Jonas,,2004,Religious
42,2015,DS2,Future,,2015,Rap
43,2015,Globalization,Pitbull,,2014,Latin
44,2015,Stages,Josh Groban,,2015,Vocal
45,2015,Compton,Dr. Dre,,2015,Rap
46,2015,Rock Or Bust,AC/DC,,2014,Pop/Rock
47,2015,Night Visions,Imagine Dragons,,2012,Pop/Rock
48,2015,Reflection,Fifth Harmony,,2015,Pop/Rock
49,2015,Queen Of The Clouds,Tove Lo,,2014,Pop/Rock
50,2015,Man Against Machine,Garth Brooks,,2014,Country
51,2015,NOW 53,Various Artists,,2002,Pop/Rock
52,2015,Pitch Perfect 2,Soundtrack,,2015,Pop/Rock
53,2015,Listen,David Guetta,,2014,Electronic
54,2015,BRINGING BACK THE SUNSHINE,Blake Shelton,,2014,Country
55,2015,Just As I Am,Brantley Gilbert,,2014,Country
56,2015,AT.LONG.LAST.A$AP,A$AP Rocky,,2015,Rap
57,2015,Beyonce,Beyonce,,2013,R&B
58,2015,Native,OneRepublic,,2013,Pop/Rock
59,2015,+,Ed Sheeran,,2017,Pop/Rock
60,2015,Fetty Wap,Fetty Wap,,2015,Rap
61,2015,Here's To The Good Times,Florida Georgia Line,,2012,Country
62,2015,Born To Die,Lana Del Rey,,2012,Pop/Rock
63,2015,Greatest Hits So Far...,Zac Brown Band,,2014,Country
64,2015,Skrillex And Diplo Present Jack U,Skrillex & Diplo,,2015,Electronic
65,2015,Magazines Or Novels,Andy Grammer,,2014,Pop/Rock
66,2015,Dream Your Life Away,Vance Joy,,2014,Pop/Rock
67,2015,NOW 52,Various Artists,,2014,Pop/Rock
68,2015,Traveller,Chris Stapleton,,2015,Country
69,2015,Nothing Was The Same,Drake,,2013,Rap
70,2015,Legend: The Best Of Bob Marley And The Wailers,Bob Marley And The Wailers,,1984,Reggae
71,2015,Greatest Hits,Fleetwood Mac,,1988,Pop/Rock
72,2015,"good kid, m.A.A.d city",Kendrick Lamar,,2012,Rap
73,2015,5 Seconds Of Summer,5 Seconds Of Summer,,2014,Pop/Rock
74,2015,21,Adele,,2011,Pop/Rock
75,2015,Motion,Calvin Harris,,2014,Pop/Rock
76,2015,Platinum,Miranda Lambert,,2014,Country
77,2015,Christmas,Michael Buble,,2011,Vocal
78,2015,Journey's Greatest Hits,Journey,,1988,Pop/Rock
79,2015,AM,Arctic Monkeys,,2013,Pop/Rock
80,2015,First Kiss,Kid Rock,,2015,Pop/Rock
81,2015,Dark Before Dawn,Breaking Benjamin,,2015,Pop/Rock
82,2015,Cole Swindell,Cole Swindell,,2014,Country
83,2015,PRISM,Katy Perry,,2013,Pop/Rock
84,2015,The Big Revival,Kenny Chesney,,2014,Country
