RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,1977,Rumours,Fleetwood Mac,,1977,Pop/Rock
2,1977,Songs In The Key Of Life,Stevie Wonder,,1976,R&B
4,1977,Hotel California,Eagles,,1976,Pop/Rock
5,1977,BOSTON,Boston,,1976,Pop/Rock
6,1977,A New World Record,Electric Light Orchestra,,1976,Pop/Rock
8,1977,Silk Degrees,Boz Scaggs,,1976,Pop/Rock
9,1977,Night Moves,Bob Seger & The Silver Bullet Band,,1976,Pop/Rock
10,1977,Fleetwood Mac,Fleetwood Mac,,1975,Pop/Rock
11,1977,Fly Like An Eagle,The Steve Miller Band,,1976,Pop/Rock
15,1977,This One's For You,Barry Manilow,,1976,Pop/Rock
16,1977,Endless Flight,Leo Sayer,,1976,Pop/Rock
17,1977,Leftoverture,Kansas,,1976,Pop/Rock
18,1977,Year Of The Cat,Al Stewart,,1976,Pop/Rock
19,1977,Rock And Roll Over,KISS,,1976,Pop/Rock
20,1977,Greatest Hits,Linda Ronstadt,,1976,Country
22,1977,Dreamboat Annie,Heart,,1976,Pop/Rock
23,1977,Commodores,Commodores,,1977,R&B
24,1977,Children Of The World,Bee Gees,,1976,Pop/Rock
25,1977,Foreigner,Foreigner,,1977,Pop/Rock
26,1977,Breezin',George Benson,,1976,Jazz
27,1977,In Flight,George Benson,,1977,Jazz
28,1977,Anyway You Want It,Thelma Houston,,1976,R&B
29,1977,Pretender,Jackson Browne,,1976,Pop/Rock
30,1977,Best Of The Doobies,The Doobie Brothers,,1976,Pop/Rock
31,1977,A Night On The Town,Rod Stewart,,1976,Pop/Rock
33,1977,A Place In The Sun,Pablo Cruise,,1977,Pop/Rock
34,1977,Arrival,ABBA,,1977,Pop/Rock
37,1977,Rocky,Soundtrack,,1977,Stage & Screen
38,1977,Destroyer,KISS,,1976,Pop/Rock
39,1977,Dr. Buzzard's Original Savannah Band,Dr. Buzzard's Original Savannah Band,,1976,R&B
40,1977,Car Wash,Soundtrack,,1976,Stage & Screen
41,1977,Even In The Quietest Moments,Supertramp,,1977,Pop/Rock
42,1977,Go For Your Guns,The Isley Brothers,,1977,R&B
44,1977,Book Of Dreams,The Steve Miller Band,,1977,Pop/Rock
45,1977,Marvin Gaye Live At The London Palladium,Marvin Gaye,,1977,R&B
46,1977,Little Queen,Heart,,1977,Pop/Rock
47,1977,Right On Time,The Brothers Johnson,,1977,R&B
48,1977,Animals,Pink Floyd,,1977,Pop/Rock
49,1977,Live,Barry Manilow,,1977,Pop/Rock
50,1977,Teddy Pendergrass,Teddy Pendergrass,,1977,R&B
53,1977,Unpredictable,Natalie Cole,,1977,R&B
54,1977,Toys In The Attic,Aerosmith,,1975,Pop/Rock
55,1977,This Is Niecy,Deniece Williams,,1976,R&B
57,1977,Maze Featuring Frankie Beverly,Maze Featuring Frankie Beverly,,1977,R&B
58,1977,Celebrate Me Home,Kenny Loggins,,1977,Pop/Rock
61,1977,I Hope We Get To Love In Time,Marilyn McCoo & Billy Davis Jr.,,1976,R&B
62,1977,Alive,KISS,,1975,Pop/Rock
63,1977,I Remember Yesterday,Donna Summer,,1977,R&B
64,1977,Star Wars,Soundtrack,,N/A,N/A
65,1977,Slave,Slave,,1977,R&B
66,1977,Four Seasons Of Love,Donna Summer,,1976,R&B
67,1977,Ol' Waylon,Waylon Jennings,,1977,Country
69,1977,Firefall,Firefall,,1976,Pop/Rock
72,1977,I'm In You,Peter Frampton,,1977,Pop/Rock
73,1977,Shaun Cassidy,Shaun Cassidy,,1977,Pop/Rock
74,1977,Rejoice,The Emotions,,1977,R&B
75,1977,Conquistador,Maynard Ferguson,,1977,Jazz
76,1977,"Ahh, The Name Is Bootsy, Baby",Bootsy's Rubber Band,,1977,R&B
77,1977,Don't Stop Believin',Olivia Newton-John,,1976,Pop/Rock
78,1977,Burnin' Sky,Bad Company,,1977,Pop/Rock
79,1977,Cat Scratch Fever,Ted Nugent,,1977,Pop/Rock
80,1977,Blue Moves,Elton John,,1976,Pop/Rock
81,1977,Izitso,Cat Stevens,,1977,Pop/Rock
84,1977,Superman,Barbra Streisand,,1977,Vocal
85,1977,Greatest Hits,ABBA,,1993,Pop/Rock
86,1977,JT,James Taylor,,1977,Pop/Rock
87,1977,Lights Out,UFO,,1977,Pop/Rock
89,1977,One More For The Road,Lynyrd Skynyrd,,1976,Pop/Rock
90,1977,Chicago X,Chicago,,1976,Pop/Rock
91,1977,Exodus,Bob Marley And The Wailers,,1977,Reggae
92,1977,After The Lovin',Engelbert Humperdinck,,1976,Vocal
93,1977,Hasten Down The Wind,Linda Ronstadt,,1976,Pop/Rock
94,1977,Floaters,The Floaters,,1977,R&B
97,1977,Hot On The Tracks,Commodores,,1976,R&B
98,1977,Tryin' To Get The Feelin',Barry Manilow,,1975,Pop/Rock
99,1977,Roaring Silence,Manfred Mann's Earth Band,,1976,Pop/Rock
100,1977,Heavy Weather,Weather Report,,1977,Jazz
