RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
3,1978,Rumours,Fleetwood Mac,,1977,Pop/Rock
4,1978,The Stranger,Billy Joel,,1977,Pop/Rock
5,1978,Aja,Steely Dan,,1977,Pop/Rock
6,1978,Feels So Good,Chuck Mangione,,1977,Jazz
7,1978,The Grand Illusion,Styx,,1977,Pop/Rock
8,1978,Simple Dreams,Linda Ronstadt,,1977,Pop/Rock
10,1978,Slowhand,Eric Clapton,,1977,Pop/Rock
11,1978,Running On Empty,Jackson Browne,,1977,Pop/Rock
12,1978,All 'n' All,"Earth, Wind & Fire",,1977,R&B
13,1978,Bat Out Of Hell,Meat Loaf,,1977,Pop/Rock
15,1978,Fantasy Love Affair,Peter Brown,,1978,R&B
16,1978,Even Now,Barry Manilow,,1978,Pop/Rock
17,1978,French Kiss,Bob Welch,,1977,Pop/Rock
18,1978,Out Of The Blue,Electric Light Orchestra,,1977,Pop/Rock
19,1978,Foreigner,Foreigner,,1977,Pop/Rock
20,1978,Here You Come Again,Dolly Parton,,1977,Country
22,1978,The Album,ABBA,,1978,Pop/Rock
23,1978,Earth,Jefferson Starship,,1978,Pop/Rock
24,1978,Thankful,Natalie Cole,,1977,R&B
25,1978,Eddie Money,Eddie Money,,1977,Pop/Rock
26,1978,Weekend In L.a.,George Benson,,1978,Jazz
27,1978,Village People,Village People,,1977,R&B
28,1978,Infinity,Journey,,1978,Pop/Rock
29,1978,News Of The World,Queen,,1977,Pop/Rock
30,1978,Flowing Rivers,Andy Gibb,,1977,Pop/Rock
31,1978,Champagne Jam,Atlanta Rhythm Section,,1978,Pop/Rock
33,1978,Van Halen,Van Halen,,1978,Pop/Rock
34,1978,Macho Man,Village People,,1978,R&B
35,1978,Live,Barry Manilow,,1977,Pop/Rock
36,1978,Blue Lights In The Basement,Roberta Flack,,1977,R&B
37,1978,Chic,Chic,,1977,R&B
38,1978,City To City,Gerry Rafferty,,1978,Pop/Rock
39,1978,Boys In The Trees,Carly Simon,,1978,Pop/Rock
40,1978,Funkentelechy Vs. The Placebo Syndrome,Parliament,,1977,R&B
41,1978,Natural High,Commodores,,1978,R&B
42,1978,Street Survivors,Lynyrd Skynyrd,,1977,Pop/Rock
43,1978,Some Girls,The Rolling Stones,,1978,Pop/Rock
46,1978,Alive Ii,KISS,,1977,Pop/Rock
48,1978,Send It,Ashford & Simpson,,1977,R&B
49,1978,"When You Hear Lou, You've Heard It All",Lou Rawls,,1977,R&B
51,1978,So Full Of Love,The O'Jays,,1978,R&B
52,1978,Shaun Cassidy,Shaun Cassidy,,1977,Pop/Rock
53,1978,Little Criminals,Randy Newman,,1977,Pop/Rock
54,1978,EXCITABLE BOY,Warren Zevon,,1978,Pop/Rock
55,1978,Live,Commodores,,1977,R&B
56,1978,London Town,Wings,,1978,Pop/Rock
58,1978,Born Late,Shaun Cassidy,,1977,Pop/Rock
59,1978,And Then There Were Three,Genesis,,1978,Pop/Rock
62,1978,Player,Player,,1977,Pop/Rock
63,1978,Son Of A Son Of A Sailor,Jimmy Buffett,,1978,Pop/Rock
64,1978,My Aim Is True,Elvis Costello,,1977,Pop/Rock
65,1978,Too Hot To Handle,Heatwave,,1976,R&B
66,1978,Greatest Hits,Linda Ronstadt,,1976,Country
67,1978,But Seriously Folks,Joe Walsh,,1978,Pop/Rock
70,1978,Central Heating,Heatwave,,1977,R&B
71,1978,Shadow Dancing,Andy Gibb,,1978,Pop/Rock
73,1978,You Light Up My Life,Johnny Mathis,,1978,Vocal
74,1978,Book Of Dreams,The Steve Miller Band,,1977,Pop/Rock
75,1978,Waiting For Columbus,Little Feat,,1978,Pop/Rock
77,1978,Worlds Away,Pablo Cruise,,1978,Pop/Rock
78,1978,Double Vision,Foreigner,,1978,Pop/Rock
79,1978,Hermit Of Mink Hollow,Todd Rundgren,,1978,Pop/Rock
80,1978,A Taste Of Honey,A Taste Of Honey,,1978,R&B
81,1978,Stardust,Willie Nelson,,1978,Country
82,1978,Showdown,The Isley Brothers,,1978,R&B
83,1978,Come Get It,Rick James,,1978,R&B
84,1978,Odyssey,Odyssey,,1977,R&B
85,1978,Reaching For The Sky,Peabo Bryson,,1977,R&B
86,1978,Bootsy? Player Of The Year,Bootsy's Rubber Band,,1978,R&B
87,1978,Songbird,Barbra Streisand,,1978,Vocal
88,1978,Down Two Then Left,Boz Scaggs,,1977,Pop/Rock
89,1978,Life Is A Song Worth Singing,Teddy Pendergrass,,1978,R&B
90,1978,Magazine,Heart,,1978,Pop/Rock
92,1978,Sleeper Catcher,Little River Band,,1978,Pop/Rock
93,1978,Heads,Bob James,,1977,Jazz
94,1978,Brick,Brick,,1990,Pop/Rock
95,1978,Galaxy,War,,1977,R&B
96,1978,Don't Let Me Be Misunderstood,Santa Esmeralda,,1977,Pop/Rock
97,1978,Raydio,Raydio,,1978,R&B
98,1978,Easter,Patti Smith Group,,1978,Pop/Rock
99,1978,BOSTON,Boston,,1976,Pop/Rock
