RANK,ALBUM,ARTIST,DATE,GENRE
1,The 20/20 Experience,Justin Timberlake,2013,Pop/Rock
2,Red,Taylor Swift,2012,Pop/Rock
3,Take Me Home,One Direction,2012,Pop/Rock
4,Unorthodox Jukebox,Bruno Mars,2012,Pop/Rock
5,Babel,Mumford & Sons,2012,Pop/Rock
6,Night Visions,Imagine Dragons,2012,Pop/Rock
7,Here's To The Good Times,Florida Georgia Line,2012,Country
8,The Truth About Love,P!nk,2012,Pop/Rock
9,Crash My Party,Luke Bryan,2013,Country
10,Unapologetic,Rihanna,2012,Pop/Rock
11,Nothing Was The Same,Drake,2013,Rap
12,Magna Carta... Holy Grail,JAY-Z,2013,Rap
13,The Lumineers,The Lumineers,2012,Pop/Rock
14,The World From The Side Of The Moon,Phillip Phillips,2012,Pop/Rock
15,The Heist,Macklemore & Ryan Lewis,2012,Rap
16,The Marshall Mathers LP 2,Eminem,2013,Rap
17,Based On A True Story ...,Blake Shelton,2013,Country
18,Night Train,Jason Aldean,2012,Country
19,Random Access Memories,Daft Punk,2013,Electronic
20,Pitch Perfect,Soundtrack,2012,Pop/Rock
21,21,Adele,2011,Pop/Rock
22,Overexposed,Maroon 5,2012,Pop/Rock
23,Some Nights,fun.,2012,Pop/Rock
24,"good kid, m.A.A.d city",Kendrick Lamar,2012,Rap
25,Girl On Fire,Alicia Keys,2012,R&B
26,"Merry Christmas, Baby",Rod Stewart,2012,Holiday
27,Hunter Hayes,Hunter Hayes,2011,Country
28,To Be Loved,Michael Buble,2013,Vocal
29,Tornado,Little Big Town,2012,Country
30,Les Miserables,Soundtrack,2012,Classical
31,Blown Away,Carrie Underwood,2012,Country
32,NOW 44,Various Artists,2012,Pop/Rock
33,Tailgates & Tanlines,Luke Bryan,2011,Country
34,Born Sinner,J. Cole,2013,Rap
35,Christmas,Michael Buble,2011,Vocal
36,Blurred Lines,Robin Thicke,2013,R&B
37,Yeezus,Kanye West,2013,Rap
38,I Am Not A Human Being II,Lil Wayne,2013,Rap
39,Rebel Soul,Kid Rock,2012,Pop/Rock
40,The 20/20 Experience (2 Of 2),Justin Timberlake,2013,Pop/Rock
41,Believe,Justin Bieber,2013,Pop/Rock
42,Greatest Hits: Chapter One,Kelly Clarkson,2012,Pop/Rock
43,Up All Night,One Direction,2011,Pop/Rock
44,The Great Gatsby: Music From Baz Luhrmann's Film,Soundtrack,2013,Pop/Rock
45,Spring Break... Here To Party,Luke Bryan,2013,Country
46,+,Ed Sheeran,2017,Pop/Rock
47,Chief,Eric Church,2011,Country
48,My Head Is An Animal,Of Monsters And Men,2012,Pop/Rock
49,PRISM,Katy Perry,2013,Pop/Rock
50,Trouble Man: Heavy Is The Head,T.I.,2012,Rap
51,Bangerz,Miley Cyrus,2013,Pop/Rock
52,Sigh No More,Mumford & Sons,2009,Pop/Rock
53,Born To Die,Lana Del Rey,2012,Pop/Rock
54,NOW 45,Various Artists,2013,Pop/Rock
55,Pioneer,The Band Perry,2013,Country
56,Golden,Lady Antebellum,2013,Country
57,All That Echoes,Josh Groban,2013,Vocal
58,Two Lanes Of Freedom,Tim McGraw,2013,Country
59,Save Rock And Roll,Fall Out Boy,2013,Pop/Rock
60,Long.Live.A$AP,A$AP Rocky,2013,Rap
61,True Believers,Darius Rucker,2013,Country
62,Celebration Day,Led Zeppelin,2012,Pop/Rock
63,NOW 46,Various Artists,2013,Pop/Rock
64,Pure Heroine,Lorde,2013,Pop/Rock
65,Trilogy,The Weeknd,2012,R&B
66,On This Winter's Night,Lady Antebellum,2012,Country
67,O.N.I.F.C.,Wiz Khalifa,2012,Rap
68,"Cheers, It's Christmas",Blake Shelton,2012,Country
69,Uncaged,Zac Brown Band,2012,Country
70,Life On A Rock,Kenny Chesney,2013,Country
71,Passione,Andrea Bocelli,2013,Vocal
72,Believe: Acoustic,Justin Bieber,2013,Pop/Rock
73,Doo-Wops & Hooligans,Bruno Mars,2010,Pop/Rock
74,Modern Vampires Of The City,Vampire Weekend,2013,Pop/Rock
75,Kidz Bop 23,Kidz Bop Kids,2013,Children's
76,Teen Beach Movie,Soundtrack,2013,Stage & Screen
77,Love Is Everything,George Strait,2013,Country
78,Global Warming,Pitbull,2012,Latin
79,El Camino,The Black Keys,2011,Pop/Rock
80,The Gifted,Wale,2013,Rap
81,Woman To Woman,Keyshia Cole,2012,R&B
82,Hail To The King,Avenged Sevenfold,2013,Pop/Rock
83,NOW 47,Various Artists,2013,Pop/Rock
84,2013 Grammy Nominees,Various Artists,2013,Pop/Rock
85,Boys & Girls,Alabama Shakes,2012,Pop/Rock
86,13,Black Sabbath,2013,Pop/Rock
87,Set You Free,Gary Allan,2013,Country
88,Native,OneRepublic,2013,Pop/Rock
89,Kaleidoscope Dream,Miguel,2012,R&B
90,The Twilight Saga: Breaking Dawn: Part 2,Soundtrack,2012,Stage & Screen
91,The Wrong Side Of Heaven And The Righteous Side Of Hell: Volume 1,Five Finger Death Punch,2013,Pop/Rock
92,Warrior,Ke$ha,2012,Pop/Rock
93,Nashville: Season 1: Volume 1,Soundtrack,2012,Country
94,Demi,Demi Lovato,2013,Pop/Rock
95,Paramore,Paramore,2013,Pop/Rock
96,Paradise Valley,John Mayer,2013,Pop/Rock
97,Four The Record,Miranda Lambert,2011,Country
98,Christmas With Scotty McCreery,Scotty McCreery,2012,Country
99,Lightning Bolt,Pearl Jam,2013,Pop/Rock
100,Wheelhouse,Brad Paisley,2013,Country
101,Stars Dance,Selena Gomez,2013,Pop/Rock
102,WOW Hits 2013,Various Artists,2012,Pop/Rock
103,ARTPOP,Lady Gaga,2013,Pop/Rock
104,Side Effects Of You,Fantasia,2013,R&B
105,The Civil Wars,The Civil Wars,2013,Pop/Rock
106,Yours Truly,Ariana Grande,2013,Pop/Rock
107,The Legend Of Johnny Cash,Johnny Cash,2005,Country
108,Based On A T.R.U. Story,2 Chainz,2012,Rap
109,Kidz Bop 24,Kidz Bop Kids,2013,Children's
110,Love And War,Tamar Braxton,2013,R&B
111,Burning Lights,Chris Tomlin,2013,Religious
112,Legend: The Best Of Bob Marley And The Wailers,Bob Marley And The Wailers,1984,Reggae
113,The 2nd Law,Muse,2012,Pop/Rock
114,Same Trailer Different Park,Kacey Musgraves,2013,Country
