RANK,ALBUM,ARTIST,DATE,GENRE
115,Paradise (EP),Lana Del Rey,2012,Pop/Rock
116,Indicud,Kid Cudi,2013,Rap
117,Lotus,Christina Aguilera,2012,Pop/Rock
118,Halcyon,Ellie Goulding,2012,Pop/Rock
119,Best Days,Tamela Mann,2012,Religious
120,Annie Up,Pistol Annies,2013,Country
121,Closer To The Truth,Cher,2013,Pop/Rock
122,From Here To Now To You,Jack Johnson,2013,Pop/Rock
123,Jesus Piece,The Game,2012,Rap
124,Duck The Halls: A Robertson Family Christmas,The Robertsons,2013,Country
125,Hard 2 Love,Lee Brice,2012,Country
126,Fuse,Keith Urban,2013,Country
127,Teenage Dream,Katy Perry,2010,Pop/Rock
128,Precious Memories: Volume II,Alan Jackson,2013,Country
129,Red River Blue,Blake Shelton,2011,Country
130,Love In The Future,John Legend,2013,R&B
131,Halfway To Heaven,Brantley Gilbert,2010,Country
132,Standing Ovation: The Greatest Songs From The Stage,Susan Boyle,2012,Stage & Screen
133,Caught In The Act: Live,Eric Church,2013,Country
134,The Blessed Unrest,Sara Bareilles,2013,Pop/Rock
135,Reflektor,Arcade Fire,2013,Pop/Rock
136,Watching Movies With The Sound Off,Mac Miller,2013,Rap
137,Mechanical Bull,Kings Of Leon,2013,Pop/Rock
138,What About Now,Bon Jovi,2013,Pop/Rock
139,GRRR!,The Rolling Stones,2012,Pop/Rock
140,My Kinda Party,Jason Aldean,2010,Country
141,...Like Clockwork,Queens Of The Stone Age,2013,Pop/Rock
142,Off The Beaten Path,Justin Moore,2013,Country
143,Three Kings,TGT,2013,R&B
144,The Foundation,Zac Brown Band,2008,Country
145,Journey's Greatest Hits,Journey,1988,Pop/Rock
146,Hesitation Marks,Nine Inch Nails,2013,Pop/Rock
147,Channel Orange,Frank Ocean,2012,R&B
148,Dreams Of Fireflies (On A Christmas Night) (EP),Trans-Siberian Orchestra,2012,Easy Listening
149,King Animal,Soundgarden,2012,Pop/Rock
150,An Awesome Wave,alt-J,2012,Pop/Rock
151,Kiss Land,The Weeknd,2013,R&B
152,Rise,Skillet,2013,Religious
153,Cee Lo's Magic Moment,CeeLo Green,2012,Holiday
154,Finally Rich,Chief Keef,2012,Rap
155,Trouble Will Find Me,The National,2013,Pop/Rock
156,Loaded: The Best Of Blake Shelton,Blake Shelton,---, 
157,La Misma Gran Senora,Jenni Rivera,2009,Latin
158,Come To The Well,Casting Crowns,2011,Pop/Rock
159,B.O.A.T.S. II #METIME,2 Chainz,2013,Rap
160,"People, Hell And Angels",Jimi Hendrix,2013,Pop/Rock
161,Lindsey Stirling,Lindsey Stirling,2012,Pop/Rock
162,The Next Day,David Bowie,2013,Pop/Rock
163,Megalithic Symphony,AWOLNATION,2011,Pop/Rock
164,Talk A Good Game,Kelly Rowland,2013,R&B
165,R.E.D,Ne-Yo,2012,R&B
166,Miracle,Third Day,2012,Religious
167,Rebellious Soul,K. Michelle,2013,R&B
168,I Will Always Love You: The Best Of Whitney Houston,Whitney Houston,2012,R&B
169,Eye On It,tobyMac,2012,Religious
170,Wrapped In Red,Kelly Clarkson,2013,Pop/Rock
171,19,Adele,2008,Pop/Rock
172,Under The Mistletoe,Justin Bieber,2011,Holiday
173,Wrote A Song For Everyone,John Fogerty,2013,Pop/Rock
174,Koi No Yokan,Deftones,2012,Pop/Rock
175,Dos!,Green Day,2012,Pop/Rock
176,Stay Trippy,Juicy J,2013,Rap
177,Up All Night,Kip Moore,2012,Pop/Rock
178,12-12-12 The Concert For Sandy Relief,Various Artists,2013,Pop/Rock
179,Noel,Josh Groban,2007,Vocal
180,"Love, Charlie",Charlie Wilson,2013,R&B
181,Wolf,"Tyler, The Creator",2013,Rap
182,The Love Club (EP),Lorde,2013,Pop/Rock
184,Chronicle The 20 Greatest Hits,Creedence Clearwater Revival Featuring John Fogerty,1976,Pop/Rock
185,Pink Friday: Roman Reloaded,Nicki Minaj,2012,Rap
186,Hotel California,Tyga,2013,Rap
187,California 37,Train,2012,Pop/Rock
188,The Devil Put Dinosaurs Here,Alice In Chains,2013,Pop/Rock
190,Our Version Of Events,Emeli Sande,2012,Pop/Rock
191,How Country Feels,Randy Houser,2013,Country
192,Take Care,Drake,2011,Rap
193,Dreams And Nightmares,Meek Mill,2012,Rap
194,The Hobbit: An Unexpected Journey,Soundtrack,2012,Stage & Screen
195,Outlaw Gentlemen & Shady Ladies,Volbeat,2013,Pop/Rock
196,Joyas Prestadas: Pop,Jenni Rivera,2011,Latin
197,Excuse My French,French Montana,2013,Rap
198,NOW 43,Various Artists,2012,Pop/Rock
199,Recovery,Eminem,2010,Rap
200,The Best Of Eric Clapton: 20th Century Masters The Millennium Collection,Eric Clapton,2004,Pop/Rock
