RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,1981,Hi Infidelity,REO Speedwagon,,1980,Pop/Rock
2,1981,Double Fantasy,John Lennon & Yoko Ono,,1980,Pop/Rock
3,1981,Greatest Hits,Kenny Rogers,,N/A,Country
4,1981,Christopher Cross,Christopher Cross,,1979,Pop/Rock
5,1981,Crimes Of Passion,Pat Benatar,,1980,Pop/Rock
6,1981,Paradise Theater,Styx,,1981,Pop/Rock
7,1981,Back In Black,AC/DC,,1980,Pop/Rock
9,1981,Zenyatta Mondatta,The Police,,1980,Pop/Rock
10,1981,The River,Bruce Springsteen,,1980,Pop/Rock
11,1981,The Turn Of A Friendly Card,The Alan Parsons Project,,1980,N/A
12,1981,Guilty,Barbra Streisand,,1980,Vocal
13,1981,Winelight,"Grover Washington, Jr.",,1980,Jazz
15,1981,Mistaken Identity,Kim Carnes,,1981,Pop/Rock
16,1981,Greatest Hits,The Doors,,1996,Pop/Rock
17,1981,Arc Of A Diver,Steve Winwood,,1980,Pop/Rock
18,1981,Moving Pictures,Rush,,1981,Pop/Rock
19,1981,Celebrate,Kool & The Gang,,1980,R&B
20,1981,Face Value,Phil Collins,,1981,Pop/Rock
21,1981,Hotter Than July,Stevie Wonder,,1980,R&B
22,1981,Tattoo You,The Rolling Stones,,1981,Pop/Rock
24,1981,Juice,Juice Newton,,1981,Country
25,1981,Feels So Right,Alabama,,1981,Country
27,1981,Long Distance Voyager,The Moody Blues,,1981,Pop/Rock
28,1981,Autoamerican,Blondie,,1980,Pop/Rock
29,1981,Gaucho,Steely Dan,,1980,Pop/Rock
30,1981,Dirty Deeds Done Dirt Cheap,AC/DC,,1976,Pop/Rock
31,1981,The Dude,Quincy Jones,,1981,R&B
32,1981,Zebop,Santana,,1981,Pop/Rock
33,1981,Super Trouper,ABBA,,1980,Pop/Rock
34,1981,Lost In Love,Air Supply,,1980,Pop/Rock
35,1981,Loverboy,Loverboy,,1980,Pop/Rock
36,1981,Street Songs,Rick James,,1981,R&B
38,1981,Working Class Dog,Rick Springfield,,1981,Pop/Rock
39,1981,Nothin' Matters And What If It Did,John Cougar,,1980,Pop/Rock
40,1981,9 To 5 And Odd Jobs,Dolly Parton,,1980,Country
41,1981,Horizon,Eddie Rabbitt,,1980,Country
42,1981,The Nature Of The Beast,April Wine,,1981,Pop/Rock
43,1981,BLIZZARD OF OZZ,Ozzy Osbourne,,1980,Pop/Rock
44,1981,Three For Love,Shalamar,,1980,R&B
45,1981,Don't Say No,Billy Squier,,1981,Pop/Rock
46,1981,Being With You,Smokey Robinson,,1981,R&B
47,1981,Modern Times,Jefferson Starship,,1981,Pop/Rock
49,1981,Hard Promises,Tom Petty And The Heartbreakers,,1981,Pop/Rock
50,1981,Fantastic Voyage,Lakeside,,1980,R&B
52,1981,Captured,Journey,,1981,Pop/Rock
53,1981,Sheena Easton,Sheena Easton,,1981,Pop/Rock
55,1981,The Game,Queen,,1980,Pop/Rock
56,1981,A Woman Needs Love,Ray Parker Jr. & Raydio,,1981,R&B
57,1981,Greatest Hits,Ronnie Milsap,,1980,Country
59,1981,Diana,Diana Ross,,1980,R&B
60,1981,Glass Houses,Billy Joel,,1980,Pop/Rock
61,1981,Nightwalker,Gino Vannelli,,1981,Pop/Rock
62,1981,Triumph,The Jacksons,,1980,R&B
63,1981,Imagination,The Whispers,,1981,R&B
64,1981,Freedom Of Choice,Devo,,1980,Pop/Rock
65,1981,Dad Loves His Work,James Taylor,,1981,Pop/Rock
66,1981,The One That You Love,Air Supply,,1981,Pop/Rock
67,1981,Eagles Live,Eagles,,1980,Pop/Rock
68,1981,In The Heat Of The Night,Pat Benatar,,1979,Pop/Rock
69,1981,Franke & The Knockouts,Franke & The Knockouts,,1981,Pop/Rock
70,1981,4,Foreigner,,1981,Pop/Rock
71,1981,Fair Warning,Van Halen,,1981,Pop/Rock
72,1981,Another Ticket,Eric Clapton,,1981,Pop/Rock
73,1981,Greatest Hits,Waylon Jennings,,1979,Country
74,1981,Face Dances,The Who,,1981,Pop/Rock
75,1981,Alive,Kenny Loggins,,1980,Pop/Rock
76,1981,One Step Closer,The Doobie Brothers,,1980,Pop/Rock
77,1981,Fancy Free,The Oak Ridge Boys,,1981,Country
78,1981,One More Song,Randy Meisner,,1980,Pop/Rock
81,1981,The Two Of Us,Yarbrough & Peoples,,1980,R&B
83,1981,Hits,Boz Scaggs,,1980,Pop/Rock
84,1981,GREATEST HITS/LIVE,Heart,,1980,Pop/Rock
86,1981,My Melody,Deniece Williams,,1981,R&B
88,1981,It Must Be Magic,Teena Marie,,1981,R&B
90,1981,Aretha,Aretha Franklin,,1967,R&B
91,1981,Rit,Lee Ritenour,,1981,Jazz
93,1981,Extended Play,Pretenders,,1981,Pop/Rock
94,1981,Point Of Entry,Judas Priest,,1981,Pop/Rock
95,1981,Precious Time,Pat Benatar,,1981,Pop/Rock
96,1981,Evangeline,Emmylou Harris,,1981,Country
97,1981,In The Pocket,Commodores,,1981,R&B
98,1981,Share Your Love,Kenny Rogers,,1981,Country
100,1981,Chain Lightning,Don McLean,,1980,Pop/Rock
