RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,1992,Ropin' The Wind,Garth Brooks,,1991,Country
2,1992,Dangerous,Michael Jackson,,1991,R&B
3,1992,Nevermind,Nirvana,,1991,Pop/Rock
4,1992,Some Gave All,Billy Ray Cyrus,,1992,Country
5,1992,Achtung Baby,U2,,1991,Pop/Rock
6,1992,No Fences,Garth Brooks,,1990,Country
7,1992,Metallica,Metallica,,1991,Pop/Rock
8,1992,"Time, Love And Tenderness",Michael Bolton,,1991,Pop/Rock
10,1992,Totally Krossed Out,Kris Kross,,1992,Rap
11,1992,Ten,Pearl Jam,,1991,Pop/Rock
12,1992,Cooleyhighharmony,Boyz II Men,,1991,R&B
13,1992,We Can't Dance,Genesis,,1991,Pop/Rock
14,1992,Blood Sugar Sex Magik,Red Hot Chili Peppers,,1991,Pop/Rock
15,1992,Adrenalize,Def Leppard,,1992,Pop/Rock
16,1992,LUCK OF THE DRAW,Bonnie Raitt,,1991,Pop/Rock
17,1992,Use Your Illusion I,Guns N' Roses,,1991,Pop/Rock
18,1992,Unforgettable,Natalie Cole,,1991,R&B
20,1992,Use Your Illusion II,Guns N' Roses,,1991,Pop/Rock
21,1992,The Chase,Garth Brooks,,1992,Country
22,1992,Emotions,Mariah Carey,,1991,R&B
23,1992,Waking Up The Neighbours,Bryan Adams,,2004,Pop/Rock
24,1992,Heart In Motion,Amy Grant,,1991,Religious
25,1992,Funky Divas,En Vogue,,1992,R&B
26,1992,Forever My Lady,Jodeci,,1991,R&B
27,1992,Garth Brooks,Garth Brooks,,1989,Country
28,1992,Shepherd Moons,Enya,,1991,New Age
29,1992,Wynonna,Wynonna,,1992,Country
30,1992,NO MORE TEARS,Ozzy Osbourne,,1991,Pop/Rock
32,1992,For My Broken Heart,Reba McEntire,,1991,Country
33,1992,Wayne's World,Soundtrack,,1992,Pop/Rock
34,1992,Classic Queen,Queen,,1992,Pop/Rock
35,1992,MTV Unplugged EP,Mariah Carey,,1992,R&B
36,1992,Unplugged,Eric Clapton,,1992,Pop/Rock
37,1992,Beauty & The Beast,Soundtrack,,2017,Stage & Screen
38,1992,Mack Daddy,Sir Mix-A-Lot,,1992,Rap
39,1992,Boomerang,Soundtrack,,1992,Stage & Screen
40,1992,Spellbound,Paula Abdul,,1991,Pop/Rock
41,1992,The Southern Harmony And Musical Companion,The Black Crowes,,1992,Pop/Rock
44,1992,"Blue Light, Red Light","Harry Connick, Jr.",,1991,Vocal
45,1992,The Comfort Zone,Vanessa Williams,,1991,R&B
46,1992,It's All About To Change,Travis Tritt,,1991,Country
47,1992,Naughty By Nature,Naughty By Nature,,1991,Rap
48,1992,Human Touch,Bruce Springsteen,,1992,Pop/Rock
49,1992,Two Rooms: Songs Of Elton John & Bernie Taupin,Various Artists,,1991,Pop/Rock
50,1992,Out Of Time,R.E.M.,,1991,Pop/Rock
51,1992,Don't Rock The Jukebox,Alan Jackson,,1991,Country
55,1992,Wish,The Cure,,1992,Pop/Rock
56,1992,Greatest Hits,ZZ Top,,1992,Pop/Rock
57,1992,Rush Street,Richard Marx,,1991,Pop/Rock
58,1992,Decade Of Decadence,Motley Crue,,1991,Pop/Rock
59,1992,The One,Elton John,,1992,Pop/Rock
60,1992,Keep It Comin',Keith Sweat,,1991,R&B
61,1992,Beyond The Season,Garth Brooks,,1992,Country
63,1992,Death Certificate,Ice Cube,,1991,Rap
64,1992,Countdown To Extinction,Megadeth,,1992,Pop/Rock
65,1992,Temple Of The Dog,Temple Of The Dog,,1991,Pop/Rock
66,1992,Lean Into It,Mr. Big,,1991,Pop/Rock
67,1992,Empire,Queensryche,,1990,Pop/Rock
68,1992,Timeless (The Classics),Michael Bolton,,1992,Pop/Rock
69,1992,Diva,Annie Lennox,,1992,Pop/Rock
70,1992,Cypress Hill,Cypress Hill,,1991,Rap
72,1992,What's The 411?,Mary J. Blige,,1992,R&B
73,1992,Pocket Full Of Gold,Vince Gill,,1991,Country
75,1992,For Unlawful Carnal Knowledge,Van Halen,,1991,Pop/Rock
76,1992,Shadows And Light,Wilson Phillips,,1992,Pop/Rock
77,1992,Check Your Head,Beastie Boys,,1992,Rap
78,1992,Dead Serious,Das EFX,,1992,Rap
79,1992,Lucky Town,Bruce Springsteen,,1992,Pop/Rock
80,1992,The Commitments,Soundtrack,,1991,Stage & Screen
81,1992,Trisha Yearwood,Trisha Yearwood,,1991,Country
82,1992,Bobby,Bobby Brown,,1992,R&B
83,1992,Automatic For The People,R.E.M.,,1992,Pop/Rock
85,1992,Singles,Soundtrack,,1992,Pop/Rock
86,1992,Badmotorfinger,Soundgarden,,1991,Pop/Rock
87,1992,Shake Your Money Maker,The Black Crowes,,1990,Pop/Rock
88,1992,The Immaculate Collection,Madonna,,1990,Pop/Rock
89,1992,Soul Provider,Michael Bolton,,1989,Pop/Rock
90,1992,Something In Red,Lorrie Morgan,,1991,Country
91,1992,Whenever We Wanted,John Mellencamp,,1991,Pop/Rock
92,1992,Celine Dion,Celine Dion,,---, 
93,1992,Rush,Soundtrack,,1992,Pop/Rock
94,1992,T.E.V.I.N.,Tevin Campbell,,1991,R&B
95,1992,Mo' Money,Soundtrack,,1992,Stage & Screen
97,1992,Real Love,Lisa Stansfield,,1991,R&B
98,1992,A Wolf In Sheep's Clothing,Black Sheep,,1991,Rap
99,1992,Seminole Wind,John Anderson,,1992,Country
100,1992,Back To Front,Lionel Richie,,1992,R&B
