RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
1,2002,The Eminem Show,Eminem,,2002,Rap
2,2002,Weathered,Creed,,2001,Pop/Rock
3,2002,Nellyville,Nelly,,2002,Rap
4,2002,M!ssundaztood,P!nk,,2001,Pop/Rock
5,2002,[Hybrid Theory],Linkin Park,,2000,Pop/Rock
6,2002,"O Brother, Where Art Thou?",Soundtrack,,2000,Stage & Screen
7,2002,Silver Side Up,Nickelback,,2001,Pop/Rock
8,2002,Britney,Britney Spears,,2001,Pop/Rock
9,2002,Now 8,Various Artists,,2001,Pop/Rock
10,2002,Word Of Mouf,Ludacris,,2001,Rap
11,2002,Laundry Service,Shakira,,2001,Latin
12,2002,Ashanti,Ashanti,,2002,R&B
13,2002,Scarecrow,Garth Brooks,,2001,Country
14,2002,Let Go,Avril Lavigne,,2002,Pop/Rock
15,2002,Drive,Alan Jackson,,2002,Country
16,2002,8701,Usher,,2001,R&B
17,2002,Escape,Enrique Iglesias,,2001,Latin
18,2002,A Day Without Rain,Enya,,2000,New Age
19,2002,A New Day Has Come,Celine Dion,,2002,Pop/Rock
20,2002,Pain Is Love,Ja Rule,,2001,Rap
21,2002,Now 9,Various Artists,,2002,Pop/Rock
22,2002,Home,Dixie Chicks,,2002,Country
23,2002,Songs In A Minor,Alicia Keys,,2001,R&B
24,2002,Come Clean,Puddle Of Mudd,,2001,Pop/Rock
25,2002,Rock Steady,No Doubt,,2001,Pop/Rock
26,2002,Satellite,P.O.D.,,2001,Pop/Rock
27,2002,Cocky,Kid Rock,,2001,Pop/Rock
28,2002,Toxicity,System Of A Down,,2001,Pop/Rock
29,2002,Josh Groban,Josh Groban,,2001,Vocal
30,2002,Come Away With Me,Norah Jones,,2002,Jazz
31,2002,Stillmatic,Nas,,2001,Rap
32,2002,"No Shoes, No Shirt, No Problems",Kenny Chesney,,2002,Country
33,2002,8 Mile,Soundtrack,,2002,Rap
34,2002,The Rising,Bruce Springsteen,,2002,Pop/Rock
35,2002,"C'mon, C'mon",Sheryl Crow,,2002,Pop/Rock
37,2002,Busted Stuff,Dave Matthews Band,,2002,Pop/Rock
38,2002,NOW That's What I Call Christmas!,Various Artists,,2001,Jazz
39,2002,Unleashed,Toby Keith,,2002,Country
40,2002,Morning View,Incubus,,2001,Pop/Rock
41,2002,Room For Squares,John Mayer,,2001,Pop/Rock
42,2002,This Way,Jewel,,2001,Pop/Rock
43,2002,Invincible,Michael Jackson,,2001,R&B
45,2002,Pull My Chain,Toby Keith,,2001,Country
46,2002,Now 10,Various Artists,,2002,Pop/Rock
47,2002,Christmas Extraordinaire,Mannheim Steamroller,,2001,New Age
48,2002,P. Diddy & Bad Boy Records Present... We Invented The Remix,Various Artists,,2002,Rap
49,2002,J To Tha L-O! The Remixes,Jennifer Lopez,,2002,Pop/Rock
50,2002,GENESIS,Busta Rhymes,,2001,Rap
51,2002,Shrek,Soundtrack,,2001,Stage & Screen
52,2002,The Spirit Room,Michelle Branch,,2001,Pop/Rock
53,2002,Untouchables,Korn,,2002,Pop/Rock
54,2002,Celebrity,'N Sync,,2001,Pop/Rock
56,2002,Break The Cycle,Staind,,2001,Pop/Rock
58,2002,GHV2: Greatest Hits Volume 2,Madonna,,2008,Pop/Rock
59,2002,By The Way,Red Hot Chili Peppers,,2002,Pop/Rock
60,2002,Hood Rich,Big Tymers,,2002,Rap
61,2002,Cry,Faith Hill,,2002,Country
62,2002,"Watermelon, Chicken & Gritz",Nappy Roots,,2002,Rap
63,2002,Doggy Bag,Lil Bow Wow,,2001,Rap
64,2002,Ultimate Manilow,Barry Manilow,,2002,Pop/Rock
