RANK,CHARTYR,ALBUM,ARTIST,ALBUMID,DATE,GENRE
2,1995,The Hits,Garth Brooks,,1994,Country
3,1995,II,Boyz II Men,,1994,R&B
4,1995,Hell Freezes Over,Eagles,,1994,Pop/Rock
5,1995,CrazySexyCool,TLC,,1994,R&B
6,1995,Vitalogy,Pearl Jam,,1994,Pop/Rock
7,1995,Dookie,Green Day,,1994,Pop/Rock
8,1995,Throwing Copper,Live,,1994,Pop/Rock
10,1995,The Lion King,Soundtrack,,1994,Stage & Screen
12,1995,No Need To Argue,The Cranberries,,1994,Pop/Rock
13,1995,MTV Unplugged In New York,Nirvana,,1994,Pop/Rock
14,1995,Jagged Little Pill,Alanis Morissette,,1995,Pop/Rock
15,1995,Tuesday Night Music Club,Sheryl Crow,,1993,Pop/Rock
16,1995,Wildflowers,Tom Petty,,1994,Pop/Rock
17,1995,Dangerous Minds,Soundtrack,,1995,Rap
18,1995,Yes I Am,Melissa Etheridge,,1993,Pop/Rock
19,1995,The Woman In Me,Shania Twain,,1995,Country
20,1995,My Life,Mary J. Blige,,1994,R&B
21,1995,Merry Christmas,Mariah Carey,,1994,Holiday
23,1995,Pocahontas,Soundtrack,,1995,Stage & Screen
24,1995,Big Ones,Aerosmith,,1994,Pop/Rock
25,1995,Under The Table And Dreaming,Dave Matthews Band,,1994,Pop/Rock
26,1995,Balance,Van Halen,,1995,Pop/Rock
27,1995,John Michael Montgomery,John Michael Montgomery,,1995,Country
28,1995,Bedtime Stories,Madonna,,1994,Pop/Rock
29,1995,four,Blues Traveler,,1994,Pop/Rock
30,1995,Not A Moment Too Soon,Tim McGraw,,1994,Country
31,1995,Forrest Gump,Soundtrack,,1994,Stage & Screen
32,1995,"HIStory: Past, Present And Future Book 1",Michael Jackson,,1995,R&B
33,1995,Pulp Fiction,Soundtrack,,1994,Stage & Screen
34,1995,Me Against The World,2Pac,,1995,Rap
35,1995,E. 1999 Eternal,Bone Thugs-N-Harmony,,1995,Rap
36,1995,Monster,R.E.M.,,1994,Pop/Rock
37,1995,Sixteen Stone,Bush,,1994,Pop/Rock
38,1995,Greatest Hits,Bruce Springsteen,,1995,Pop/Rock
39,1995,"Astro Creep: 2000 Songs Of Love, Destruction",White Zombie,,1995,Pop/Rock
40,1995,Friday,Soundtrack,,1995,Rap
41,1995,Cross Road,Bon Jovi,,1994,Pop/Rock
42,1995,Brandy,Brandy,,1994,R&B
43,1995,Weezer,Weezer,,1994,Pop/Rock
44,1995,DREAMING OF YOU,Selena,,1995,Latin
45,1995,The Best Of Sade,Sade,,1994,R&B
46,1995,Live At The BBC,The Beatles,,1994,Pop/Rock
47,1995,The Sign,Ace Of Base,,1993,Pop/Rock
48,1995,Batman Forever,Soundtrack,,1995,Pop/Rock
49,1995,Purple,Stone Temple Pilots,,1994,Pop/Rock
50,1995,Medusa,Annie Lennox,,1995,Pop/Rock
51,1995,Daydream,Mariah Carey,,1995,R&B
52,1995,You Might Be A Redneck If...,Jeff Foxworthy,,1994,Comedy/Spoken
53,1995,Now That I've Found You: A Collection,Alison Krauss,,1995,Country
54,1995,Live At The Acropolis,Yanni,,1994,New Age
55,1995,Candlebox,Candlebox,,1993,Pop/Rock
56,1995,Seal,Seal,,1991,Pop/Rock
57,1995,Tigerlily,Natalie Merchant,,1995,Pop/Rock
58,1995,Murder Was The Case,Soundtrack,,1994,Stage & Screen
59,1995,Creepin On Ah Come Up (EP),Bone Thugs-N-Harmony,,1994,Rap
60,1995,The Icon Is Love,Barry White,,1994,R&B
61,1995,"Hold Me, Thrill Me, Kiss Me",Gloria Estefan,,1994,Pop/Rock
62,1995,Fields Of Gold - Best Of Sting 1984-1994,Sting,,1994,Pop/Rock
63,1995,August And Everything After,Counting Crows,,1993,Pop/Rock
64,1995,The Tractors,The Tractors,,1994,Country
65,1995,From The Cradle,Eric Clapton,,1994,Pop/Rock
66,1995,Ready To Die,The Notorious B.I.G.,,1994,Rap
67,1995,This Is How We Do It,Montell Jordan,,1995,R&B
68,1995,Another Night,Real McCoy,,1994,Electronic
69,1995,The Downward Spiral,Nine Inch Nails,,1994,Pop/Rock
70,1995,Collective Soul,Collective Soul,,1995,Pop/Rock
71,1995,Games Rednecks Play,Jeff Foxworthy,,1995,Comedy/Spoken
72,1995,Who I Am,Alan Jackson,,1994,Country
74,1995,"The Show, The After Party, The Hotel",Jodeci,,1995,R&B
75,1995,Tical,Method Man,,1994,Rap
76,1995,Duets II,Frank Sinatra,,1994,Vocal
77,1995,Frogstomp,Silverchair,,1995,Pop/Rock
78,1995,Lead On,George Strait,,1994,Country
79,1995,Read My Mind,Reba McEntire,,1994,Country
80,1995,Rhythm Of Love,Anita Baker,,1994,R&B
81,1995,Breathless,Kenny G,,1992,Jazz
83,1995,No Ordinary Man,Tracy Byrd,,1994,Pop/Rock
84,1995,The Show,Soundtrack,,1995,Stage & Screen
85,1995,Pulse,Pink Floyd,,1995,Pop/Rock
86,1995,Live Through This,Hole,,1994,Pop/Rock
87,1995,Stones In The Road,Mary Chapin Carpenter,,1994,Country
88,1995,Superunknown,Soundgarden,,1994,Pop/Rock
89,1995,Made In England,Elton John,,1995,Pop/Rock
90,1995,Candy Rain,Soul For Real,,1995,R&B
92,1995,When Love Finds You,Vince Gill,,1994,Country
94,1995,Metallica,Metallica,,1991,Pop/Rock
95,1995,From The Bottom Up,Brownstone,,1995,R&B
96,1995,Songs,Luther Vandross,,1994,R&B
97,1995,Let Your Dim Light Shine,Soul Asylum,,1995,Pop/Rock
98,1995,The Diary,Scarface,,1994,Rap
99,1995,Third Rock From The Sun,Joe Diffie,,1994,Country
100,1995,House Of Love,Amy Grant,,1994,Religious
101,1995,All I Want,Tim McGraw,,1995,Country
102,1995,Bootlegs & B-Sides,Ice Cube,,1994,Rap
103,1995,Greatest Hits 1985-1995,Michael Bolton,,2015,Pop/Rock
104,1995,All-4-One,All-4-One,,1994,R&B
106,1995,Ten,Pearl Jam,,1991,Pop/Rock
107,1995,I See It Now,Tracy Lawrence,,1994,Country
108,1995,Regulate...G Funk Era,Warren G,,1994,Rap
109,1995,One Hot Minute,Red Hot Chili Peppers,,1995,Pop/Rock
110,1995,Deluxe,Better Than Ezra,,1995,Pop/Rock
111,1995,Nineteen Ninety Quad,69 Boyz,,1994,Rap
112,1995,Jason's Lyric,Soundtrack,,1994,Rap
113,1995,And The Music Speaks,All-4-One,,1995,R&B
115,1995,Nevermind,Nirvana,,1991,Pop/Rock
116,1995,The Colour Of My Love,Celine Dion,,1993,Pop/Rock
117,1995,Boys On The Side,Soundtrack,,1995,Pop/Rock
118,1995,Off The Hook,Xscape,,1995,R&B
119,1995,Kickin' It Up,John Michael Montgomery,,1994,Country
120,1995,Fumbling Towards Ecstasy,Sarah McLachlan,,1993,Pop/Rock
121,1995,Poverty's Paradise,Naughty By Nature,,1995,Rap
